radius,dimensions,support_size,q,J,z,bound_rational,bound_display,interpretation
1,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
2,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
3,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
4,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
5,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
6,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
7,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
8,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
9,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
10,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
11,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
12,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
13,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
14,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
15,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
16,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
17,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
18,3,4,4,1/4,8,2,2,"certified upper bound, not observed error"
19,3,4,4,1/4,8,4553616713954359884027981202369908664956149137349802432395969554284544/2348774665248037577039942809926302822713664501366479912161309814453125,1.93872012557385296963856217673840193075435,"certified upper bound, not observed error"
20,3,4,4,1/4,8,1770980163099492026210638027760085553665047531933724966386369554284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.754001730903577872078840565966871516253038,"certified upper bound, not observed error"
21,3,4,4,1/4,8,657925542757544883083700757916156309148606889767293979982529554284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.280114373035467833054951921658259350452513,"certified upper bound, not observed error"
22,3,4,4,1/4,8,233904735008231685702010369404183263618534264180082175638209554284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.0995858557523782943791848190645023349094556,"certified upper bound, not observed error"
23,3,4,4,1/4,8,79715350372117795745032046308920337971235127602914246785729554284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.0339391221948911894061785999394997838028893,"certified upper bound, not observed error"
24,3,4,4,1/4,8,26084260063904268803474368710568016006957167054334097619649554284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.0111054757401130659373068715481945486353880,"certified upper bound, not observed error"
25,3,4,4,1/4,8,8207229961166426489621809511117242018864513538140714564289554284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.00349426025518702478101629541775947024622089,"certified upper bound, not observed error"
26,3,4,4,1/4,8,2486580328290316949188990567292994342674864412958831986574354284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.00105867130001069161100331105602024516168742,"certified upper bound, not observed error"
27,3,4,4,1/4,8,726380441251514013671200123039379673078049297518252731892754284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.000309259313802589097153162021638945135677118,"certified upper bound, not observed error"
28,3,4,4,1/4,8,204839733980757588332595546964234585790104078128451471246354284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.0000872113178890772411975623077481895724148075,"certified upper bound, not observed error"
29,3,4,4,1/4,8,55828103331970038235851382371335989422119729731365396775954284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.0000237690333423595680673909609222594114827186,"certified upper bound, not observed error"
30,3,4,4,1/4,8,14721446601270024416059888690536376630951633621824410715154284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.00000626771346740296858320576179786488432903897,"certified upper bound, not observed error"
31,3,4,4,1/4,8,3759671473083354064115490375656479886640141325946814432274284544/2348774665248037577039942809926302822713664501366479912161309814453125,0.00000160069483408120872075637536469301042139106,"certified upper bound, not observed error"
32,3,4,4,1/4,8,930826278712600424904032746010054920366207830236467004434284544/2348774665248037577039942809926302822713664501366479912161309814453125,3.96302928707851336898469188390591348449658E-7,"certified upper bound, not observed error"
33,3,4,4,1/4,8,223614980119912015101168338598448678797724456308880147474284544/2348774665248037577039942809926302822713664501366479912161309814453125,9.52049523645119909339926443149865802143088E-8,"certified upper bound, not observed error"
34,3,4,4,1/4,8,52169816824714824845928482256241105084152729296131818514284544/2348774665248037577039942809926302822713664501366479912161309814453125,2.22115035540054828213922699936278485208908E-8,"certified upper bound, not observed error"
35,3,4,4,1/4,8,11829778402315485962342633705133440680959381763720446994284544/2348774665248037577039942809926302822713664501366479912161309814453125,5.03657442212159855960394662389638224008652E-9,"certified upper bound, not observed error"
36,3,4,4,1/4,8,2609198191481351360380154036308831674515188042026419218284544/2348774665248037577039942809926302822713664501366479912161309814453125,1.11087633483385358548090128224347566161698E-9,"certified upper bound, not observed error"
37,3,4,4,1/4,8,560180366851543671055158554347807450860922770538857490284544/2348774665248037577039942809926302822713664501366479912161309814453125,2.38498982103243591231335650765051977512642E-10,"certified upper bound, not observed error"
38,3,4,4,1/4,8,117149485850504170660564936626504916016757306433438738284544/2348774665248037577039942809926302822713664501366479912161309814453125,4.98768517831117005827809196345819917603519E-11,"certified upper bound, not observed error"
39,3,4,4,1/4,8,23879826692390591630124175000967540260090892937561106284544/2348774665248037577039942809926302822713664501366479912161309814453125,1.01669296104523551830851867650093631809223E-11,"certified upper bound, not observed error"
40,3,4,4,1/4,8,4747588916367293367469659795729104207441372220458002284544/2348774665248037577039942809926302822713664501366479912161309814453125,2.02130454939402792160913899689190090821885E-12,"certified upper bound, not observed error"
41,3,4,4,1/4,8,921141361162633714938756754681416996911468077037381484544/2348774665248037577039942809926302822713664501366479912161309814453125,3.92179537182362469313929443268408453678155E-13,"certified upper bound, not observed error"
42,3,4,4,1/4,8,7155215366030705092241802613556599189130958011167674466304/96299761275169540658637655206978415731260244556025676398613702392578125,7.43014860191106737441324571955318771824094E-14,"certified upper bound, not observed error"
43,3,4,4,1/4,8,1324438139052176097908997979579171058799675506907680866304/96299761275169540658637655206978415731260244556025676398613702392578125,1.37532857975389031594092217530791959451245E-14,"certified upper bound, not observed error"
44,3,4,4,1/4,8,5844935997399512340002538882634674126906288577963884544/2348774665248037577039942809926302822713664501366479912161309814453125,2.48850436096741095760024771727404594749005E-15,"certified upper bound, not observed error"
45,3,4,4,1/4,8,42406782591780716491214296844176290185609163476308066304/96299761275169540658637655206978415731260244556025676398613702392578125,4.40362281590776011816797892582200493374700E-16,"certified upper bound, not observed error"
46,3,4,4,1/4,8,7342677115940842811411666205270450360267178014937186304/96299761275169540658637655206978415731260244556025676398613702392578125,7.62481341460409103441845904147613015319712E-17,"certified upper bound, not observed error"
47,3,4,4,1/4,8,1244571815794777823619904355025956477599006630350946304/96299761275169540658637655206978415731260244556025676398613702392578125,1.29239345904348057402518422117283986028011E-17,"certified upper bound, not observed error"
