scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
correct,0.0,0.0,0.0,0.0,0.4,0.1,1.0016,0.008000000000000002,0.0,0.0924530708185434,6.932117640329194e-18,0.9989306235367933,0.10500000000000072,0.0,0.0,0.0,0.0,3.3306690738754696e-16
correct,0.05,1.319846489133304e-25,-9.769911208693236e-24,3.4973110283599686e-35,0.40437255898366753,0.07485680948484537,1.00163517166459,0.008087451179673352,0.0,0.0924530708185434,6.932117640329194e-18,0.9989657952013832,0.10500000000000076,-3.534149211253819e-44,0.0,4.163336342344337e-17,4.163336342344337e-17,3.3306690738754696e-16
correct,0.1,-7.882840339959305e-20,-4.71505846757619e-18,8.125969278497793e-18,0.4074817827654649,0.04947975235233275,1.001660414032857,0.008149635655309299,0.0,0.0924530708185434,6.932117640329194e-18,0.9989910375696504,0.10500000000000079,-1.914618800101483e-31,0.0,6.938893903907248e-17,6.938893903907248e-17,3.3306690738754696e-16
correct,0.15000000000000002,-1.6470248774237938e-16,2.5789401436352916e-14,4.950892082176969e-12,0.4093179575511031,0.02394811125625039,1.001675411903738,0.008186359151022064,1.4246773088480312e-16,0.09245307081854337,-1.388456407139249e-17,0.9990060354405313,0.10500000000000072,-1.9189342040448767e-25,0.0,1.9189342040448767e-25,1.9189342040448767e-25,3.3306690738754696e-16
correct,0.2,-2.9643936346315664e-13,3.5135949834519e-11,3.837452084313462e-09,0.40987534678850435,-0.0016583482005149025,1.00167997799905,0.008197506935770088,4.403402686912038e-13,0.0924530708185434,-3.6070051025877126e-16,0.9990106015358432,0.10500000000000084,3.667587459202325e-22,0.0,1.248997235115842e-16,1.248997235115842e-16,4.440892098500626e-16
correct,0.25,-3.6858955317203396e-11,2.8988743903418835e-09,2.065977237470714e-07,0.409152209089859,-0.027259626668580214,1.0016740553020311,0.008183044181797182,5.418788546177273e-11,0.09245307081854337,-4.492976493240472e-14,0.9990046788388244,0.10500000000000086,4.184507173800968e-18,0.0,1.345933709043436e-16,1.345933709043436e-16,4.440892098500626e-16
correct,0.30000000000000004,-1.029410548897153e-09,5.8137613321107464e-08,2.9307856066131384e-06,0.4071508036720457,-0.052775740984936516,1.001657717769308,0.008143016073440916,1.4935338170122031e-09,0.09245307081854337,-1.2540399626928891e-12,0.9989883413061013,0.10500000000000234,1.6882311659594004e-15,0.0,-6.452999244510897e-17,-6.452999244510897e-17,4.440892098500626e-16
correct,0.35000000000000003,-1.2018515337558759e-08,5.147031188147612e-07,1.939903043218392e-05,0.4038773832984169,-0.07812697405524918,1.0016311694073998,0.008077547665968339,1.711647275890337e-08,0.0924530708185434,-1.464120561307748e-11,0.9989617929441931,0.10500000000013306,1.3233032027743705e-13,0.0,8.264257881610164e-18,8.264257881610164e-18,5.551115123125783e-16
correct,0.4,-8.043028623012205e-08,2.7173270478063285e-06,7.972425079747773e-05,0.3993421747440012,-0.10323412390491049,1.0015947417252926,0.007986843494880025,1.1180508185725798e-07,0.0924530708185434,-9.798172975148409e-11,0.9989253652620859,0.1050000000036886,3.688335751836365e-12,0.0,-4.524197877510353e-16,-4.524197877510353e-16,5.551115123125783e-16
correct,0.45,-3.686356756795418e-07,1.0124015029356277e-05,0.00023842039340981873,0.3935593468451537,-0.12801875112075625,1.0015488895948919,0.007871186936903075,4.973321070737124e-07,0.09245307081854354,-4.4907911501339097e-10,0.9988795131316851,0.10500000005119846,5.119796937069727e-11,0.0,-2.288791374835582e-16,-2.288791374835582e-16,6.661338147750939e-16
