mass,L,N,a,mode,massless_zero_mode_excluded,omega,fixed_L_continuum_omega,absolute_error
0.0,10.0,8,1.25,1,True,0.6122934917841436,0.6283185307179586,0.016025038933815017
0.0,10.0,16,0.625,1,True,0.6242890304516104,0.6283185307179586,0.004029500266348185
0.0,10.0,32,0.3125,1,True,0.6273096981091879,0.6283185307179586,0.0010088326087707156
0.0,10.0,64,0.15625,1,True,0.6280662313909506,0.6283185307179586,0.00025229932700798763
0.0,10.0,128,0.078125,1,True,0.6282554501865546,0.6283185307179586,6.308053140402503e-05
0.0,10.0,256,0.0390625,1,True,0.6283027602288602,0.6283185307179586,1.5770489098398954e-05
0.0,10.0,512,0.01953125,1,True,0.6283145880734182,0.6283185307179586,3.942644540400053e-06
0.0,10.0,1024,0.009765625,1,True,0.6283175450554319,0.6283185307179586,9.856625267090635e-07
0.7,10.0,8,1.25,1,True,0.9300017849881898,0.9406296699783472,0.010627884990157432
0.7,10.0,16,0.625,1,True,0.9379428519596552,0.9406296699783472,0.002686818018691972
0.7,10.0,32,0.3125,1,True,0.9399560933053418,0.9406296699783472,0.0006735766730053827
0.7,10.0,64,0.15625,1,True,0.9404611586948347,0.9406296699783472,0.00016851128351247358
0.7,10.0,128,0.078125,1,True,0.9405875348361312,0.9406296699783472,4.213514221595993e-05
0.7,10.0,256,0.0390625,1,True,0.9406191357351841,0.9406296699783472,1.0534243163107249e-05
0.7,10.0,512,0.01953125,1,True,0.9406270363889554,0.9406296699783472,2.633589391787261e-06
0.7,10.0,1024,0.009765625,1,True,0.9406290115792116,0.9406296699783472,6.583991355446628e-07
