case,tau,C_full,C_reduced,C_wrong,wrong_invariant_residual
coupled_mixed,0.0,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.0
coupled_mixed,0.025,5.204170427930421e-18,0.0,7.054743578760458e-07,5.2648391627775105e-18
coupled_mixed,0.05,1.214306433183765e-17,6.938893903907228e-18,1.3802607295842345e-06,1.2197274440461925e-17
coupled_mixed,0.07500000000000001,1.734723475976807e-17,1.214306433183765e-17,2.025067276855211e-06,1.642015719899824e-17
coupled_mixed,0.1,1.734723475976807e-17,1.214306433183765e-17,2.640587335631453e-06,1.6881366638778206e-17
coupled_mixed,0.125,4.163336342344337e-17,3.9898639947466563e-17,3.2274997250336668e-06,5.475686839172787e-17
coupled_mixed,0.15000000000000002,9.540979117872439e-17,8.326672684688674e-17,3.786469050033603e-06,1.2360243579513652e-16
coupled_mixed,0.17500000000000002,1.3010426069826053e-16,1.0755285551056204e-16,4.318145998180242e-06,1.7850541737026576e-16
coupled_mixed,0.2,8.847089727481716e-17,6.938893903907228e-17,4.823167630391492e-06,1.367534693342068e-16
coupled_mixed,0.225,-4.5102810375396984e-17,-5.377642775528102e-17,5.302157666019561e-06,-3.323503175141698e-17
coupled_mixed,0.25,-2.1510571102112408e-16,-1.9081958235744878e-16,5.7557267621796e-06,-2.6196442069617923e-16
coupled_mixed,0.275,-2.8102520310824275e-16,-2.203098814490545e-16,6.184472787447437e-06,-3.744520901574448e-16
coupled_mixed,0.30000000000000004,-1.3704315460216776e-16,-7.112366251504909e-17,6.588981089961088e-06,-2.1148125703982293e-16
coupled_mixed,0.325,8.673617379884035e-18,8.673617379884035e-18,6.969824759922583e-06,1.4645199658026853e-18
coupled_mixed,0.35000000000000003,1.9081958235744878e-17,1.734723475976807e-17,7.327564887521856e-06,1.8719428134320037e-17
coupled_mixed,0.375,1.9081958235744878e-17,1.5612511283791264e-17,7.662750815760552e-06,2.461138931542095e-17
coupled_mixed,0.4,2.42861286636753e-17,2.2551405187698492e-17,7.975920387212967e-06,1.8714345936636512e-17
coupled_mixed,0.42500000000000004,5.898059818321144e-17,6.765421556309548e-17,8.26760018662713e-06,6.791848984263882e-17
coupled_mixed,0.45,1.3530843112619095e-16,1.43982048506075e-16,8.538305778292218e-06,1.7419571373463588e-16
coupled_mixed,0.47500000000000003,2.1684043449710089e-16,2.1510571102112408e-16,8.78854193876212e-06,2.961244124259979e-16
coupled_mixed,0.5,2.3418766925686896e-16,1.9949319973733282e-16,9.018802884853613e-06,3.368395921346176e-16
coupled_mixed,0.525,1.0928757898653885e-16,5.724587470723463e-17,9.229572497089153e-06,1.8791934154605006e-16
coupled_mixed,0.55,-1.491862189340054e-16,-1.9949319973733282e-16,9.421324538698775e-06,-1.3775296821196686e-16
coupled_mixed,0.5750000000000001,-4.388850394221322e-16,-4.49293380277993e-16,9.594522870045794e-06,-5.316893572551024e-16
coupled_mixed,0.6000000000000001,-5.551115123125783e-16,-5.0133508455729725e-16,9.749621658778143e-06,-7.303897341538051e-16
coupled_mixed,0.625,-3.5561831257524545e-16,-2.445960101127298e-16,9.887065585490254e-06,-5.086941068030426e-16
coupled_mixed,0.65,-1.214306433183765e-17,5.204170427930421e-18,1.0007290045056794e-05,-4.136908914390003e-17
coupled_mixed,0.675,5.204170427930421e-18,1.0408340855860843e-17,1.0110721344104914e-05,1.1131706992816015e-17
coupled_mixed,0.7000000000000001,1.3877787807814457e-17,1.3877787807814457e-17,1.0197776895828903e-05,1.5671803590099065e-17
coupled_mixed,0.7250000000000001,1.214306433183765e-17,1.3877787807814457e-17,1.0268865408358599e-05,1.3657559241528339e-17
coupled_mixed,0.75,2.42861286636753e-17,2.6020852139652106e-17,1.0324387070693997e-05,2.893125734641788e-17
coupled_mixed,0.775,5.724587470723463e-17,6.071532165918825e-17,1.0364733734575388e-05,8.180813611171484e-17
coupled_mixed,0.8,1.0755285551056204e-16,1.0581813203458523e-16,1.0390289092578747e-05,1.6214751709289071e-16
coupled_mixed,0.8250000000000001,1.3704315460216776e-16,1.231653667943533e-16,1.0401428852550854e-05,2.1246635635747968e-16
coupled_mixed,0.8500000000000001,9.367506770274758e-17,6.591949208711867e-17,1.0398520908493428e-05,1.700604988861404e-16
coupled_mixed,0.875,-3.122502256758253e-17,-6.418476861114186e-17,1.038192550789803e-05,-9.764595815947574e-18
coupled_mixed,0.9,-2.1510571102112408e-16,-2.2724877535296173e-16,1.0351995415663548e-05,-2.6980032249122876e-16
coupled_mixed,0.925,-3.452099717193846e-16,-3.174543961037557e-16,1.0309076074525164e-05,-4.711146430651583e-16
coupled_mixed,0.9500000000000001,-2.896988204881268e-16,-2.237793284010081e-16,1.0253505762128357e-05,-4.3460074677491994e-16
coupled_mixed,0.9750000000000001,-6.071532165918825e-17,-1.3877787807814457e-17,1.0185615744713258e-05,-1.248780674137015e-16
coupled_mixed,1.0,5.204170427930421e-18,1.734723475976807e-18,1.0105730427454468e-05,-1.4873898553785514e-18
coupled_mixed,1.0250000000000001,5.204170427930421e-18,6.938893903907228e-18,1.001416750275215e-05,5.625992835663063e-18
coupled_mixed,1.05,8.673617379884035e-18,5.204170427930421e-18,9.91123809420194e-06,6.615327318056086e-18
coupled_mixed,1.075,8.673617379884035e-18,8.673617379884035e-18,9.797246897808379e-06,5.620910637979537e-18
coupled_mixed,1.1,1.9081958235744878e-17,1.5612511283791264e-17,9.672492320438389e-06,2.5260216553017745e-17
coupled_mixed,1.125,4.163336342344337e-17,3.469446951953614e-17,9.53726661521645e-06,6.462183761192508e-17
coupled_mixed,1.1500000000000001,6.591949208711867e-17,5.0306980803327406e-17,9.391856014090427e-06,1.084896739502253e-16
coupled_mixed,1.175,5.898059818321144e-17,4.163336342344337e-17,9.2365408575594e-06,1.0722420672702737e-16
coupled_mixed,1.2000000000000002,6.938893903907228e-18,-1.214306433183765e-17,9.071595721697051e-06,3.066428675650018e-17
coupled_mixed,1.225,-9.194034422677078e-17,-9.8879238130678e-17,8.897289542437667e-06,-1.1344651075755746e-16
coupled_mixed,1.25,-1.9081958235744878e-16,-1.717376241217039e-16,8.713885737195864e-06,-2.7175019233580816e-16
coupled_mixed,1.2750000000000001,-2.0296264668928643e-16,-1.5959455978986625e-16,8.521642323898113e-06,-3.1200797425291055e-16
coupled_mixed,1.3,-8.673617379884035e-17,-4.683753385137379e-17,8.320812037330635e-06,-1.562335330551612e-16
coupled_mixed,1.3250000000000002,-1.734723475976807e-18,3.469446951953614e-18,8.111642442912986e-06,-4.682398132421772e-18
coupled_mixed,1.35,1.734723475976807e-18,3.469446951953614e-18,7.894376048428117e-06,-9.876404164985142e-19
coupled_mixed,1.375,1.734723475976807e-18,-1.734723475976807e-18,7.669250413256182e-06,-1.878719077010038e-18
coupled_mixed,1.4000000000000001,1.734723475976807e-18,0.0,7.4364982547460434e-06,-8.954832318372463e-18
coupled_mixed,1.425,0.0,-5.204170427930421e-18,7.196347552715018e-06,-6.725441601199145e-19
coupled_mixed,1.4500000000000002,5.204170427930421e-18,0.0,6.949021651504392e-06,1.1179140837862256e-17
coupled_mixed,1.475,1.5612511283791264e-17,6.938893903907228e-18,6.694739359882143e-06,3.674598331778606e-17
coupled_mixed,1.5,2.2551405187698492e-17,1.214306433183765e-17,6.433715048669714e-06,4.68002644016946e-17
coupled_mixed,1.5250000000000001,1.0408340855860843e-17,-5.204170427930421e-18,6.1661587463061884e-06,2.848571801616212e-17
coupled_mixed,1.55,-2.949029909160572e-17,-3.469446951953614e-17,5.892276232251012e-06,-3.581255300991182e-17
coupled_mixed,1.5750000000000002,-8.326672684688674e-17,-7.45931094670027e-17,5.612269128367486e-06,-1.2672629330461038e-16
coupled_mixed,1.6,-1.0928757898653885e-16,-9.194034422677078e-17,5.326334988254092e-06,-1.85397724462074e-16
coupled_mixed,1.625,-7.632783294297951e-17,-5.204170427930421e-17,5.034667384573935e-06,-1.3629014231205869e-16
coupled_mixed,1.6500000000000001,1.734723475976807e-18,0.0,4.737455994363246e-06,-1.9603730531253527e-17
coupled_mixed,1.675,1.734723475976807e-18,-1.734723475976807e-18,4.434886682511477e-06,-1.2219297297090537e-17
coupled_mixed,1.7000000000000002,-1.734723475976807e-18,-6.938893903907228e-18,4.127141583673208e-06,-1.0954677106839866e-17
coupled_mixed,1.725,3.469446951953614e-18,-3.469446951953614e-18,3.814399181796546e-06,-1.4706186030229162e-17
coupled_mixed,1.75,0.0,-6.938893903907228e-18,3.49683438819956e-06,-1.0460009865643355e-17
coupled_mixed,1.7750000000000001,-5.204170427930421e-18,-1.5612511283791264e-17,3.1746186177853547e-06,-1.10597091922994e-17
coupled_mixed,1.8,-1.214306433183765e-17,-1.9081958235744878e-17,2.8479198635900788e-06,-8.581290788633317e-18
coupled_mixed,1.8250000000000002,-5.204170427930421e-18,-1.9081958235744878e-17,2.5169027695892687e-06,-4.101333530605322e-18
coupled_mixed,1.85,-5.204170427930421e-18,-1.214306433183765e-17,2.1817287018770226e-06,2.603355763386092e-18
coupled_mixed,1.875,-8.673617379884035e-18,-1.3877787807814457e-17,1.8425558182006557e-06,-1.2412420809064517e-17
coupled_mixed,1.9000000000000001,-2.7755575615628914e-17,-2.2551405187698492e-17,1.4995391359583915e-06,-4.7547347461172895e-17
coupled_mixed,1.925,-4.683753385137379e-17,-3.2959746043559335e-17,1.1528305986028414e-06,-8.478143351481424e-17
coupled_mixed,1.9500000000000002,-4.336808689942018e-17,-2.7755575615628914e-17,8.025791405335408e-07,-8.126434095957757e-17
coupled_mixed,1.975,-1.214306433183765e-17,-5.204170427930421e-18,4.4893075045425446e-07,-2.8314829119053565e-17
coupled_mixed,2.0,1.734723475976807e-18,-6.938893903907228e-18,9.202853327137939e-08,-8.744397570538973e-18
coupled_mixed,2.025,-5.204170427930421e-18,-8.673617379884035e-18,-2.6798722928787766e-07,-1.533198455957248e-17
coupled_mixed,2.0500000000000003,-6.938893903907228e-18,-6.938893903907228e-18,-6.309790196099008e-07,-1.3461259356002155e-17
coupled_mixed,2.075,-5.204170427930421e-18,-8.673617379884035e-18,-9.96812026509905e-07,-1.492408525591033e-17
coupled_mixed,2.1,-1.0408340855860843e-17,-1.734723475976807e-17,-1.3653540888031168e-06,-2.163322147287483e-17
coupled_mixed,2.125,-1.9081958235744878e-17,-2.6020852139652106e-17,-1.7364756402255682e-06,-2.4447488440127244e-17
coupled_mixed,2.15,-2.0816681711721685e-17,-2.949029909160572e-17,-2.1100496556576698e-06,-2.8085071432110836e-17
coupled_mixed,2.1750000000000003,-1.734723475976807e-17,-2.2551405187698492e-17,-2.485951598574232e-06,-2.5540584458558918e-17
coupled_mixed,2.2,-1.3877787807814457e-17,-1.0408340855860843e-17,-2.864059369755631e-06,-2.0278815790215204e-17
coupled_mixed,2.225,-1.214306433183765e-17,-1.734723475976807e-18,-3.244253257180321e-06,-1.1794933790516132e-17
coupled_mixed,2.25,-8.673617379884035e-18,0.0,-3.62641588712298e-06,-2.5658322038227266e-17
coupled_mixed,2.275,-1.214306433183765e-17,-1.734723475976807e-18,-4.010432176336856e-06,-3.250573638383103e-17
coupled_mixed,2.3000000000000003,-8.673617379884035e-18,-6.938893903907228e-18,-4.39618928546083e-06,-2.4610542282473696e-17
coupled_mixed,2.325,1.734723475976807e-18,-1.734723475976807e-18,-4.783576573475987e-06,-6.422203806082105e-18
coupled_mixed,2.35,-5.204170427930421e-18,-8.673617379884035e-18,-5.172485553265466e-06,-1.86330307737001e-17
coupled_mixed,2.375,-1.734723475976807e-18,-8.673617379884035e-18,-5.56280984813709e-06,-1.348645858618297e-17
coupled_mixed,2.4000000000000004,-5.204170427930421e-18,-1.0408340855860843e-17,-5.954445149549889e-06,-1.8302687924270922e-17
coupled_mixed,2.4250000000000003,-8.673617379884035e-18,-1.5612511283791264e-17,-6.347289175683696e-06,-2.1687431581499106e-17
coupled_mixed,2.45,-1.734723475976807e-17,-2.42861286636753e-17,-6.74124163109642e-06,-3.0720190931018965e-17
coupled_mixed,2.475,-2.0816681711721685e-17,-2.949029909160572e-17,-7.1362041672920484e-06,-3.7840349885638613e-17
coupled_mixed,2.5,-2.42861286636753e-17,-2.7755575615628914e-17,-7.5320803442583545e-06,-3.332566427677319e-17
coupled_mixed,2.5250000000000004,-1.734723475976807e-17,-1.9081958235744878e-17,-7.928775592929219e-06,-2.4736750191614587e-17
coupled_mixed,2.5500000000000003,-1.734723475976807e-18,-1.734723475976807e-18,-8.326197178517777e-06,-7.121853020514157e-18
coupled_mixed,2.575,8.673617379884035e-18,8.673617379884035e-18,-8.724254164765508e-06,3.215337067777324e-18
coupled_mixed,2.6,5.204170427930421e-18,1.0408340855860843e-17,-9.122857379008364e-06,6.556035011748285e-18
coupled_mixed,2.625,5.204170427930421e-18,3.469446951953614e-18,-9.521919378115487e-06,-6.335806445462167e-19
coupled_mixed,2.6500000000000004,1.734723475976807e-18,-3.469446951953614e-18,-9.921354415222405e-06,-2.605473345754228e-18
coupled_mixed,2.6750000000000003,-1.734723475976807e-18,-3.469446951953614e-18,-1.032107840730559e-05,-1.0360907010814602e-17
coupled_mixed,2.7,-5.204170427930421e-18,-6.938893903907228e-18,-1.0721008903487317e-05,-1.1163894244811678e-17
coupled_mixed,2.725,-3.469446951953614e-18,-8.673617379884035e-18,-1.1121065054154125e-05,-1.927508174771886e-17
coupled_mixed,2.75,-1.734723475976807e-18,-1.214306433183765e-17,-1.1521167580762215e-05,-1.4026865606531214e-17
coupled_mixed,2.7750000000000004,-1.3877787807814457e-17,-1.5612511283791264e-17,-1.192123874644603e-05,-1.6385005331687186e-17
coupled_mixed,2.8000000000000003,-1.9081958235744878e-17,-2.2551405187698492e-17,-1.2321202327260014e-05,-2.568881522432842e-17
coupled_mixed,2.825,-2.0816681711721685e-17,-2.2551405187698492e-17,-1.2720983584157616e-05,-3.3688194378198033e-17
coupled_mixed,2.85,-1.5612511283791264e-17,-1.5612511283791264e-17,-1.3120509235639913e-05,-2.551940863487756e-17
coupled_mixed,2.875,-6.938893903907228e-18,-5.204170427930421e-18,-1.351970743108423e-05,-1.6822074332470405e-17
coupled_mixed,2.9000000000000004,1.734723475976807e-18,8.673617379884035e-18,-1.391850772467125e-05,-6.5052130349130266e-18
