dataset,scope,K,N,a,abs_error,b,discrete,exact,nk
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.0,0.036371813441658116,10.0,0.06501154669337326,0.10138336013503138,32
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.3,0.023291342421472364,10.0,0.07809190474216925,0.10138324716364161,32
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,5.0,0.02834078083166988,10.0,0.12968733912551114,0.10134655829384126,32
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,20.0,1.3693705727263472e-06,10.0,0.05072003631168523,0.050721405682257956,32
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,40.0,6.776263578034403e-20,10.0,3.161758429210124e-05,3.161758429210117e-05,32
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,-20.0,1.3693705727263472e-06,10.0,0.05072003631168523,0.050721405682257956,32
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.0,0.0035772962744433506,10.0,0.09780606386058803,0.10138336013503138,64
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.3,0.0012632957755773777,10.0,0.10264654293921899,0.10138324716364161,64
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,5.0,0.001235907415879256,10.0,0.100110650877962,0.10134655829384126,64
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,20.0,1.6614556952454507e-12,10.0,0.0507214056805965,0.050721405682257956,64
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,40.0,1.0842021724855044e-19,10.0,3.1617584292101063e-05,3.161758429210117e-05,64
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,-20.0,1.6614556952454507e-12,10.0,0.0507214056805965,0.050721405682257956,64
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.0,1.478421181501377e-05,10.0,0.10136857592321637,0.10138336013503138,128
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.3,1.1199629876987305e-05,10.0,0.1013944467935186,0.10138324716364161,128
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,5.0,4.5636377109803394e-06,10.0,0.10135112193155224,0.10134655829384126,128
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,20.0,7.951972413877684e-15,10.0,0.05072140568226591,0.050721405682257956,128
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,40.0,5.421010862427522e-19,10.0,3.1617584292101714e-05,3.161758429210117e-05,128
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,-20.0,7.951972413877684e-15,10.0,0.05072140568226591,0.050721405682257956,128
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.0,1.0803118122293398e-10,10.0,0.1013833600270002,0.10138336013503138,256
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.3,1.7932350049321144e-11,10.0,0.10138324714570926,0.10138324716364161,256
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,5.0,3.8578751304640946e-11,10.0,0.10134655833242001,0.10134655829384126,256
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,20.0,2.130240428499519e-15,10.0,0.050721405682260086,0.050721405682257956,256
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,40.0,7.453889935837843e-20,10.0,3.1617584292101246e-05,3.161758429210117e-05,256
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,-20.0,2.1371793224034263e-15,10.0,0.05072140568226009,0.050721405682257956,256
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.0,3.191891195797325e-16,10.0,0.10138336013503106,0.10138336013503138,512
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,0.3,3.3306690738754696e-16,10.0,0.10138324716364128,0.10138324716364161,512
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,5.0,2.498001805406602e-16,10.0,0.10134655829384101,0.10134655829384126,512
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,20.0,6.751543768501733e-15,10.0,0.05072140568226471,0.050721405682257956,512
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,40.0,3.4558944247975454e-19,10.0,3.161758429210152e-05,3.161758429210117e-05,512
finite_gauss_vs_exact,"b=10,N=4,K=20; finite Gauss rules",20.0,4,-20.0,6.751543768501733e-15,10.0,0.05072140568226471,0.050721405682257956,512
