axis,value,degree,alpha,lambda1,lambda2,rho,E0_Ritz,E1_Ritz,gap_Ritz_estimate
alpha,0.5,4,0.5,1,2,1,2.29308065799125,3.965967100100666,1.6728864421094158
alpha,1,4,1,1,2,1,2.6044178734464554,5.6824880869962024,3.078070213549747
alpha,2,4,2,1,2,1,2.7945736759329676,8.830114052347183,6.035540376414215
lambda1,0,4,1,0,2,1,1.6867202570681208,4.652125489084073,2.965405232015952
lambda1,0.5,4,1,0.5,2,1,2.165882219751485,5.160036730587109,2.994154510835624
lambda1,1,4,1,1,2,1,2.6044178734464554,5.6824880869962024,3.078070213549747
lambda1,2,4,1,2,2,1,3.372206587646206,6.726796076759464,3.3545894891132577
lambda1,4,4,1,4,2,1,4.586161315982499,7.931934200201336,3.345772884218837
lambda2,0,4,1,1,0,1,0.9180581766246377,3.9071917145886017,2.989133537963964
lambda2,0.5,4,1,1,0.5,1,1.3972868379664836,4.415057026173598,3.017770188207115
lambda2,1,4,1,1,1,1,1.8360110025340262,4.927970049693762,3.091959047159736
lambda2,2,4,1,1,2,1,2.6044178734464554,5.6824880869962024,3.078070213549747
lambda2,4,4,1,1,4,1,3.819777343771874,6.855739640818859,3.0359622970469853
rho,0.5,4,1,1,2,0.5,2.5545219490606588,5.299153894729077,2.7446319456684183
rho,1,4,1,1,2,1,2.6044178734464554,5.6824880869962024,3.078070213549747
rho,2,4,1,1,2,2,2.6775454319339933,6.365081092108062,3.6875356601740683
