beta,start,chain,block_end,plaquette_block_mean
0.0,cold,0.0 cold,64,-0.011364863791635564
0.0,cold,0.0 cold,128,-0.011948140511663144
0.0,cold,0.0 cold,192,0.002998633817575916
0.0,cold,0.0 cold,256,-0.005947381505293514
0.0,cold,0.0 cold,320,0.0022032041489686667
0.0,cold,0.0 cold,384,0.010567387091871907
0.0,cold,0.0 cold,448,0.009637638301109487
0.0,cold,0.0 cold,512,0.017068063829999324
0.0,cold,0.0 cold,576,0.021047318740084826
0.0,cold,0.0 cold,640,0.005128838551109718
0.0,cold,0.0 cold,704,0.0020778505403913163
0.0,cold,0.0 cold,768,-0.013759075630437117
0.0,cold,0.0 cold,832,-0.009575416151356944
0.0,cold,0.0 cold,896,0.028437233683446656
0.0,cold,0.0 cold,960,-0.004533275424479274
0.0,cold,0.0 cold,1024,-0.01862869665383787
0.0,cold,0.0 cold,1088,0.015367072428319825
0.0,cold,0.0 cold,1152,-0.0035007689987188125
0.0,cold,0.0 cold,1216,0.008415063742404048
0.0,cold,0.0 cold,1280,-0.011875300284293129
0.0,cold,0.0 cold,1344,0.0066572483367524655
0.0,cold,0.0 cold,1408,-0.004013047215676855
0.0,cold,0.0 cold,1472,0.009625409212015353
0.0,cold,0.0 cold,1536,-0.004185134168651771
0.0,cold,0.0 cold,1600,-0.0007235151723404707
0.0,cold,0.0 cold,1664,-0.0015807728099110443
0.0,cold,0.0 cold,1728,0.0016693866027217036
0.0,cold,0.0 cold,1792,0.003219180811776944
0.0,cold,0.0 cold,1856,-0.005886068551956286
0.0,cold,0.0 cold,1920,0.0008938130933502591
0.0,cold,0.0 cold,1984,-0.005645111374217513
0.0,cold,0.0 cold,2048,0.005650310747973862
0.0,hot,0.0 hot,64,0.016943345305168542
0.0,hot,0.0 hot,128,0.00825119490703293
0.0,hot,0.0 hot,192,0.012070370719373303
0.0,hot,0.0 hot,256,0.017441407389729786
0.0,hot,0.0 hot,320,0.0010764161140735951
0.0,hot,0.0 hot,384,0.003859921733072227
0.0,hot,0.0 hot,448,0.011889378509203937
0.0,hot,0.0 hot,512,0.004081138842460068
0.0,hot,0.0 hot,576,0.014892660670379915
0.0,hot,0.0 hot,640,0.006904606677065534
0.0,hot,0.0 hot,704,-0.0043103789128525445
0.0,hot,0.0 hot,768,-0.0049667364631067355
0.0,hot,0.0 hot,832,0.021043077501141892
0.0,hot,0.0 hot,896,0.003426998958123446
0.0,hot,0.0 hot,960,-0.013183749838362596
0.0,hot,0.0 hot,1024,-0.012942512748989742
0.0,hot,0.0 hot,1088,0.002328602526295088
0.0,hot,0.0 hot,1152,-0.004725920639549008
0.0,hot,0.0 hot,1216,0.008564284875541653
0.0,hot,0.0 hot,1280,-0.002148395195236129
0.0,hot,0.0 hot,1344,-0.00019747843569112403
0.0,hot,0.0 hot,1408,0.001934318954564641
0.0,hot,0.0 hot,1472,0.010241069700444165
0.0,hot,0.0 hot,1536,-0.00015373528952580432
0.0,hot,0.0 hot,1600,0.00842360845531161
0.0,hot,0.0 hot,1664,0.012362050692000838
0.0,hot,0.0 hot,1728,0.0009291134043961205
0.0,hot,0.0 hot,1792,0.011936114801989235
0.0,hot,0.0 hot,1856,-0.007973897661732132
0.0,hot,0.0 hot,1920,0.006711342469272938
0.0,hot,0.0 hot,1984,0.0028404792102830942
0.0,hot,0.0 hot,2048,0.0005823726137910837
0.5,cold,0.5 cold,64,0.10481212342863444
0.5,cold,0.5 cold,128,0.14860038239927265
0.5,cold,0.5 cold,192,0.125007828648418
0.5,cold,0.5 cold,256,0.14099102296422758
0.5,cold,0.5 cold,320,0.14028966438042825
0.5,cold,0.5 cold,384,0.1294850586957659
0.5,cold,0.5 cold,448,0.14278265583106162
0.5,cold,0.5 cold,512,0.12308596682164237
0.5,cold,0.5 cold,576,0.13047541544319166
0.5,cold,0.5 cold,640,0.12387040564474888
0.5,cold,0.5 cold,704,0.13089133824818647
0.5,cold,0.5 cold,768,0.12159372705836803
0.5,cold,0.5 cold,832,0.12475049102954608
0.5,cold,0.5 cold,896,0.12657848824563725
0.5,cold,0.5 cold,960,0.11624215156505614
0.5,cold,0.5 cold,1024,0.12348305794593634
0.5,cold,0.5 cold,1088,0.12293711591578894
0.5,cold,0.5 cold,1152,0.1427756194389378
0.5,cold,0.5 cold,1216,0.14032527988202784
0.5,cold,0.5 cold,1280,0.12363889832852033
0.5,cold,0.5 cold,1344,0.09228497557450042
0.5,cold,0.5 cold,1408,0.13921932225388223
0.5,cold,0.5 cold,1472,0.11579287695574003
0.5,cold,0.5 cold,1536,0.1259249264616746
0.5,cold,0.5 cold,1600,0.11744614303382374
0.5,cold,0.5 cold,1664,0.12247989519839159
0.5,cold,0.5 cold,1728,0.13676260634567983
0.5,cold,0.5 cold,1792,0.11169325129253371
0.5,cold,0.5 cold,1856,0.12746868550392337
0.5,cold,0.5 cold,1920,0.12350340787727165
0.5,cold,0.5 cold,1984,0.1305166033674853
0.5,cold,0.5 cold,2048,0.11431766658476218
0.5,hot,0.5 hot,64,0.1258764866748363
0.5,hot,0.5 hot,128,0.10814471249606275
0.5,hot,0.5 hot,192,0.14409042116166917
0.5,hot,0.5 hot,256,0.1052076187444151
0.5,hot,0.5 hot,320,0.11187533326491261
0.5,hot,0.5 hot,384,0.11623323586873789
0.5,hot,0.5 hot,448,0.137781264864446
0.5,hot,0.5 hot,512,0.12175236579931031
0.5,hot,0.5 hot,576,0.10917867945781225
0.5,hot,0.5 hot,640,0.11011022336725722
0.5,hot,0.5 hot,704,0.12223031359969232
0.5,hot,0.5 hot,768,0.1293721141353358
0.5,hot,0.5 hot,832,0.12481966294769499
0.5,hot,0.5 hot,896,0.13218819411894558
0.5,hot,0.5 hot,960,0.15134076317878414
0.5,hot,0.5 hot,1024,0.1546096199865946
0.5,hot,0.5 hot,1088,0.11918032555926543
0.5,hot,0.5 hot,1152,0.12728562543919542
0.5,hot,0.5 hot,1216,0.10684736063001277
0.5,hot,0.5 hot,1280,0.12370145915077731
0.5,hot,0.5 hot,1344,0.11368654674781711
0.5,hot,0.5 hot,1408,0.12199970373443696
0.5,hot,0.5 hot,1472,0.12776306485815925
0.5,hot,0.5 hot,1536,0.12732149590534064
0.5,hot,0.5 hot,1600,0.1357903271613831
0.5,hot,0.5 hot,1664,0.13232978592385333
0.5,hot,0.5 hot,1728,0.10813235383056866
0.5,hot,0.5 hot,1792,0.11833531175085421
0.5,hot,0.5 hot,1856,0.1195131996946032
0.5,hot,0.5 hot,1920,0.14427143695619385
0.5,hot,0.5 hot,1984,0.10365275869168823
0.5,hot,0.5 hot,2048,0.12110484585663787
2.2,cold,2.2 cold,64,0.6296387407040955
2.2,cold,2.2 cold,128,0.6214112279131274
2.2,cold,2.2 cold,192,0.6345991636243987
2.2,cold,2.2 cold,256,0.6671070637341164
2.2,cold,2.2 cold,320,0.6159002349062567
2.2,cold,2.2 cold,384,0.5916324579146082
2.2,cold,2.2 cold,448,0.6076492095833108
2.2,cold,2.2 cold,512,0.6678477663528805
2.2,cold,2.2 cold,576,0.5344053424761069
2.2,cold,2.2 cold,640,0.5429509790665769
2.2,cold,2.2 cold,704,0.5990731770554304
2.2,cold,2.2 cold,768,0.5935193473936295
2.2,cold,2.2 cold,832,0.6002918891200618
2.2,cold,2.2 cold,896,0.6397543448091282
2.2,cold,2.2 cold,960,0.633783325601689
2.2,cold,2.2 cold,1024,0.6328157908917841
2.2,cold,2.2 cold,1088,0.6345313237745772
2.2,cold,2.2 cold,1152,0.6190562198522193
2.2,cold,2.2 cold,1216,0.6289034519639906
2.2,cold,2.2 cold,1280,0.6270716355562591
2.2,cold,2.2 cold,1344,0.5911192324445566
2.2,cold,2.2 cold,1408,0.6479588775382003
2.2,cold,2.2 cold,1472,0.5413273749440163
2.2,cold,2.2 cold,1536,0.616694617955662
2.2,cold,2.2 cold,1600,0.6017887100435576
2.2,cold,2.2 cold,1664,0.6485295197554448
2.2,cold,2.2 cold,1728,0.6336610357519205
2.2,cold,2.2 cold,1792,0.6162390825957448
2.2,cold,2.2 cold,1856,0.5997714302196501
2.2,cold,2.2 cold,1920,0.647525208173632
2.2,cold,2.2 cold,1984,0.6187560552625184
2.2,cold,2.2 cold,2048,0.6477529641872928
2.2,hot,2.2 hot,64,0.6441870285608094
2.2,hot,2.2 hot,128,0.6542437359337442
2.2,hot,2.2 hot,192,0.6249547942355412
2.2,hot,2.2 hot,256,0.6018700683109649
2.2,hot,2.2 hot,320,0.6192588411734496
2.2,hot,2.2 hot,384,0.6160378900685688
2.2,hot,2.2 hot,448,0.6246223145643172
2.2,hot,2.2 hot,512,0.6274402349281973
2.2,hot,2.2 hot,576,0.6048743000858664
2.2,hot,2.2 hot,640,0.6396752233047612
2.2,hot,2.2 hot,704,0.6015087130397544
2.2,hot,2.2 hot,768,0.5813357777725644
2.2,hot,2.2 hot,832,0.5789897778132467
2.2,hot,2.2 hot,896,0.5813601556395196
2.2,hot,2.2 hot,960,0.6158429630482503
2.2,hot,2.2 hot,1024,0.617523235285923
2.2,hot,2.2 hot,1088,0.6052215895364892
2.2,hot,2.2 hot,1152,0.6654231429360263
2.2,hot,2.2 hot,1216,0.6126885089012466
2.2,hot,2.2 hot,1280,0.5726031306076729
2.2,hot,2.2 hot,1344,0.6608907848159362
2.2,hot,2.2 hot,1408,0.6101319101909048
2.2,hot,2.2 hot,1472,0.6567159437311599
2.2,hot,2.2 hot,1536,0.6323285359650359
2.2,hot,2.2 hot,1600,0.6073275543893841
2.2,hot,2.2 hot,1664,0.5849033890680738
2.2,hot,2.2 hot,1728,0.5897783873254838
2.2,hot,2.2 hot,1792,0.5677913045672693
2.2,hot,2.2 hot,1856,0.5527334183716147
