beta,j,n,multiplicity_full,multiplicity_class,ratio,dimensionless_energy,log10_beta
0.01,0.5,2,4,1,0.0024999895833984383,5.991468713757287,-2.0
0.01,1.0,3,9,1,4.1666406251736125e-06,12.388400452301992,-2.0
0.01,1.5,4,16,1,5.208294271104598e-09,19.073013429968096,-2.0
0.01,2.0,5,25,1,5.208289930865574e-12,25.980769542282726,-2.0
0.011437558630495382,0.5,2,4,1,0.002859374071963193,5.857152534059761,-1.9416666666666667
0.011437558630495382,1.0,3,9,1,5.450694910631564e-06,12.119767450879488,-1.9416666666666667
0.011437558630495382,1.5,4,16,1,7.792817584189783e-09,18.67006335000815,-1.9416666666666667
0.011437558630495382,2.0,5,25,1,8.913071085034502e-12,25.443502255378753,-1.9416666666666667
0.013081774742601943,0.5,2,4,1,0.00327042036588805,5.722836750075766,-1.8833333333333333
0.013081774742601943,1.0,3,9,1,7.130458334758673e-06,11.851135043029258,-1.8833333333333333
0.013081774742601943,1.5,4,16,1,1.1659856276085668e-08,18.267113982336255,-1.8833333333333333
0.013081774742601943,2.0,5,25,1,1.5253139580900873e-11,24.90623575990687,-1.8833333333333333
0.014962356560944336,0.5,2,4,1,0.0037405542484910425,5.588521483751758,-1.825
0.014962356560944336,1.0,3,9,1,9.327874228473925e-06,11.582503411672388,-1.825
0.014962356560944336,1.5,4,16,1,1.7445823699932027e-08,17.864165546458644,-1.825
0.014962356560944336,2.0,5,25,1,2.610301477203143e-11,24.368970299763543,-1.825
0.01711328304161781,0.5,2,4,1,0.004278268554356534,5.4542068946128195,-1.7666666666666666
0.01711328304161781,1.0,3,9,1,1.2202462331992427e-05,11.313872796098915,-1.7666666666666666
0.01711328304161781,1.5,4,16,1,2.6102928403992224e-08,17.461218329524968,-1.7666666666666666
0.01711328304161781,2.0,5,25,1,4.467057117926255e-11,23.831706194005065,-1.7666666666666666
0.019573417814876606,0.5,2,4,1,0.0048932763416093955,5.319893191341771,-1.7083333333333333
0.019573417814876606,1.0,3,9,1,1.596289631019204e-05,11.04524350933718,-1.7083333333333333
0.019573417814876606,1.5,4,16,1,3.905586783955578e-08,17.05827270717198,-1.7083333333333333
0.019573417814876606,2.0,5,25,1,7.644543787121592e-11,23.294443860007515,-1.7083333333333333
0.0223872113856834,0.5,2,4,1,0.005596685973159473,5.185580646925389,-1.65
0.0223872113856834,1.0,3,9,1,2.0882147285900386e-05,10.776615960874395,-1.65
0.0223872113856834,1.5,4,16,1,5.843626459220989e-08,16.655329170789038,-1.65
0.0223872113856834,2.0,5,25,1,1.3082195441740433e-10,22.75718384376236,-1.65
0.025605504279704754,0.5,2,4,1,0.0064012012016732974,5.051269618466202,-1.5916666666666668
0.025605504279704754,1.0,3,9,1,2.7317290998024318e-05,10.507990686376415,-1.5916666666666668
0.025605504279704754,1.5,4,16,1,8.743340988636467e-08,16.252388363183197,-1.5916666666666668
0.025605504279704754,2.0,5,25,1,2.238764319185744e-10,22.21992685950526,-1.5916666666666668
0.029286445646252372,0.5,2,4,1,0.007321349770751942,4.916960573096102,-1.5333333333333332
0.029286445646252372,1.0,3,9,1,3.5735413482451195e-05,10.239368386561702,-1.5333333333333332
0.029286445646252372,1.5,4,16,1,1.3081900304851483e-07,15.849451125230376,-1.5333333333333332
0.029286445646252372,2.0,5,25,1,3.831196239072879e-10,21.68267384155241,-1.5333333333333332
0.03349654391578276,0.5,2,4,1,0.008373744509101699,4.7826541218695295,-1.475
0.03349654391578276,1.0,3,9,1,4.674749072286885e-05,9.970749978047236,-1.475
0.03349654391578276,1.5,4,16,1,1.9573217683063947e-07,15.44651855689448,-1.475
0.03349654391578276,2.0,5,25,1,6.556290155027464e-10,21.145426012102373,-1.475
0.03831186849557289,0.5,2,4,1,0.009577381405411487,4.648351064090882,-1.4166666666666665
0.03831186849557289,1.0,3,9,1,6.115269285953304e-05,9.702136659850028,-1.4166666666666665
0.03831186849557289,1.5,4,16,1,2.9285386780513534e-07,15.043592097036218,-1.4166666666666665
0.03831186849557289,2.0,5,25,1,1.12196416381211e-09,20.608184969917385,-1.4166666666666665
0.043819424216194364,0.5,2,4,1,0.010953979705944753,4.514052445283931,-1.3583333333333334
0.043819424216194364,1.0,3,9,1,7.999631391942404e-05,9.433530000359124,-1.3583333333333334
0.043819424216194364,1.5,4,16,1,4.381635353869077e-07,14.640673627791365,-1.3583333333333334
0.043819424216194364,2.0,5,25,1,1.919976661772192e-09,20.07095280630758,-1.3583333333333334
0.05011872336272722,0.5,2,4,1,0.012528369665887502,4.379759632994089,-1.3
0.05011872336272722,1.0,3,9,1,0.0001046455062164695,9.164932051069563,-1.3
0.05011872336272722,1.5,4,16,1,6.555668137155244e-07,14.237765611071923,-1.3
0.05011872336272722,2.0,5,25,1,3.285548404897074e-09,19.533732256813117,-1.3
0.05732358369467713,0.5,2,4,1,0.014328934192085339,4.24547441589655,-1.2416666666666667
0.05732358369467713,1.0,3,9,1,0.00013688827233042616,8.89634549529685,-1.2416666666666667
0.05732358369467713,1.5,4,16,1,9.80825505747401e-07,13.83487126705834,-1.2416666666666667
0.05732358369467713,2.0,5,25,1,5.622289343162907e-09,18.99652689955324,-1.2416666666666667
0.06556418494179789,0.5,2,4,1,0.016388111208425083,4.111199133353666,-1.1833333333333333
0.06556418494179789,1.0,3,9,1,0.00017906282382636204,8.627773842602473,-1.1833333333333333
0.06556418494179789,1.5,4,16,1,1.467434664941665e-06,13.431994807569733,-1.1833333333333333
0.06556418494179789,2.0,5,25,1,9.620771147986293e-09,18.459341414568176,-1.1833333333333333
0.07498942093324558,0.5,2,4,1,0.018742964104685195,3.976936844738895,-1.125
0.07498942093324558,1.0,3,9,1,0.00023422656537640127,8.359221682932784,-1.125
0.07498942093324558,1.5,4,16,1,2.19540999910507e-06,13.029141741132614,-1.125
0.07498942093324558,2.0,5,25,1,1.646248101910004e-08,17.922181922855653,-1.125
0.08576958985908942,0.5,2,4,1,0.021435828012820478,3.8426915506686914,-1.0666666666666667
0.08576958985908942,1.0,3,9,1,0.0003063767455420657,8.090695018728505,-1.0666666666666667
0.08576958985908942,1.5,4,16,1,3.284423974319014e-06,12.626319271686764,-1.0666666666666667
0.08576958985908942,2.0,5,25,1,2.8168642958678607e-08,17.385056429499343,-1.0666666666666667
0.09809947127268774,0.5,2,4,1,0.024515039761746297,3.7084684819448572,-1.0083333333333333
0.09809947127268774,1.0,3,9,1,0.0004007384055440638,7.822201698785689,-1.0083333333333333
0.09809947127268774,1.5,4,16,1,4.913437204038943e-06,12.223536819516848,-1.0083333333333333
0.09809947127268774,2.0,5,25,1,4.819669422958972e-08,16.847975402690224,-1.0083333333333333
0.11220184543019636,0.5,2,4,1,0.0280357589924241,3.5742744767419685,-0.95
0.11220184543019636,1.0,3,9,1,0.0005241398684167235,7.553751984801831,-0.95
0.11220184543019636,1.5,4,16,1,7.350026041988876e-06,11.820806701618068,-0.95
0.11220184543019636,2.0,5,25,1,8.245999831968403e-08,16.310952530045004,-0.95
0.12833151855576513,0.5,2,4,1,0.03206088676406847,3.440118472667699,-0.8916666666666666
0.12833151855576513,1.0,3,9,1,0.0006855018975955682,7.2853592907738065,-0.8916666666666666
0.12833151855576513,1.5,4,16,1,1.0994174461649114e-05,11.418145019846081,-0.8916666666666666
0.12833151855576513,2.0,5,25,1,1.4107055155812377e-07,15.774005706048944,-0.8916666666666666
0.14677992676220697,0.5,2,4,1,0.03666208558959697,3.306012148128828,-0.8333333333333333
0.14677992676220697,1.0,3,9,1,0.0008964741073368277,7.017041147280597,-0.8333333333333333
0.14677992676220697,1.5,4,16,1,1.64436229332323e-05,11.01557281954716,-0.8333333333333333
0.14677992676220697,2.0,5,25,1,2.4131605756546684e-07,15.237158320464589,-0.8333333333333333
0.16788040181225605,0.5,2,4,1,0.04192090051857727,3.171970757363792,-0.7749999999999999
0.16788040181225605,1.0,3,9,1,0.0011722615375149056,6.748820457846462,-0.7749999999999999
0.16788040181225605,1.5,4,16,1,2.459130581273976e-05,10.613117599740669,-0.7749999999999999
0.16788040181225605,2.0,5,25,1,4.127429073871112e-07,14.700440938092457,-0.7749999999999999
0.19201419386388022,0.5,2,4,1,0.04792997362889365,3.038014216011173,-0.7166666666666666
0.19201419386388022,1.0,3,9,1,0.0015326957991154894,6.480727133802543,-0.7166666666666666
0.19201419386388022,1.5,4,16,1,3.67704774008879e-05,10.21081527930084,-0.7166666666666666
0.19201419386388022,2.0,5,25,1,7.05828542598305e-07,14.163893486457313,-0.7166666666666666
0.21961736002054366,0.5,2,4,1,0.05479433262462253,2.9041685096350203,-0.6583333333333332
0.21961736002054366,1.0,3,9,1,0.0020036190309016184,6.212800218172149,-0.6583333333333332
0.21961736002054366,1.5,4,16,1,5.4970561964223674e-05,9.808712753036382,-0.6583333333333332
0.21961736002054366,2.0,5,25,1,1.206764072381737e-06,13.627568101084337,-0.6583333333333332
0.25118864315095796,0.5,2,4,1,0.06263271606164394,2.770467516601734,-0.6000000000000001
0.25118864315095796,1.0,3,9,1,0.002618664984733351,5.945090638884432,-0.6000000000000001
0.25118864315095796,1.5,4,16,1,8.21575996612875e-05,9.406871208188381,-0.6000000000000001
0.25118864315095796,2.0,5,25,1,2.062621483580405e-06,13.091532819342286,-0.6000000000000001
0.2872984833353664,0.5,2,4,1,0.0715788700773829,2.636955359220331,-0.5416666666666667
0.2872984833353664,1.0,3,9,1,0.0034215392104506846,5.6776647676196506,-0.5416666666666667
0.2872984833353664,1.5,4,16,1,0.00012274881850341551,9.005370416562725,-0.5416666666666667
0.2872984833353664,2.0,5,25,1,3.524132100833743e-06,12.555876364544758,-0.5416666666666667
0.3285993247600654,0.5,2,4,1,0.0817827103471984,2.5036894226628292,-0.4833333333333334
0.3285993247600654,1.0,3,9,1,0.00446891779934126,5.410609002723982,-0.4833333333333334
0.3285993247600654,1.5,4,16,1,0.00018331322236844047,8.604314270595076,-0.4833333333333334
0.3285993247600654,2.0,5,25,1,6.018248289759902e-06,12.020714322754412,-0.4833333333333334
0.37583740428844414,0.5,2,4,1,0.09341118302742873,2.3707442082870025,-0.42500000000000004
0.37583740428844414,1.0,3,9,1,0.005834097813868688,5.144035641501517,-0.42500000000000004
0.37583740428844414,1.5,4,16,1,0.00027360149936151655,8.203837892108393,-0.42500000000000004
0.37583740428844414,2.0,5,25,1,1.027088787097118e-05,11.486197084891003,-0.42500000000000004
0.42986623470822766,0.5,2,4,1,0.10664857315178192,2.2382162129467553,-0.3666666666666667
0.42986623470822766,1.0,3,9,1,0.007611535489222096,4.8780903548965675,-0.3666666666666667
0.42986623470822766,1.5,4,16,1,0.00040805168739983073,7.804116706780448,-0.3666666666666667
0.42986623470822766,2.0,5,25,1,1.7513824751581693e-05,10.952520003104683,-0.3666666666666667
0.4916620262745643,0.5,2,4,1,0.12169589116876081,2.1062300415244146,-0.30833333333333335
0.4916620262745643,1.0,3,9,1,0.009922388427038471,4.61296161781084,-0.30833333333333335
