case,degree,time,time_float,action_lower,action_upper,analytic_error_upper,analytic_error_upper_float,empirical_D6_difference
original,3,0,0.0,0,0,0,0.0,0.0
original,3,1/20,0.05,128470843/1000000000000,32117711/250000000000,1064089955674410011243635189441/93750000000000000000000000000000000000000000000,1.135029286052704e-17,3.23008511441234e-12
original,3,1/10,0.1,1026816189/1000000000000,102681619/100000000000,111165706034505930131364029467921/2400000000000000000000000000000000000000000000,4.631904418104414e-14,2.0200777889469647e-11
original,3,3/20,0.15,865041001/250000000000,692032801/200000000000,229354211166973596339140596231171201/38400000000000000000000000000000000000000000000,5.972765915806604e-12,2.223201545496334e-12
original,3,1/5,0.2,4092089229/500000000000,8184178459/1000000000000,4486424494055642757485474297839590731761/24000000000000000000000000000000000000000000000000,1.8693435391898512e-10,2.5541700304319523e-11
original,3,1/4,0.25,15940400997/1000000000000,7970200499/500000000000,4035310771887940193803005525491320698001/1500000000000000000000000000000000000000000000000,2.6902071812586267e-09,6.406409403469223e-11
original,3,3/10,0.3,857864953/31250000000,27451678497/1000000000000,189301633326385077042085487064965260074027/8000000000000000000000000000000000000000000000000,2.3662704165798136e-08,5.403761686595176e-10
original,3,7/20,0.35,4341770667/100000000000,43417706671/1000000000000,3553591651643184268140306096218658592822081/24000000000000000000000000000000000000000000000000,1.48066318818466e-07,3.2259205614943357e-09
original,3,2/5,0.4,64510716211/1000000000000,16127679053/250000000000,67653066861473850108825299257378887822481/93750000000000000000000000000000000000000000000,7.216327131890545e-07,1.4903937224428965e-08
original,3,9/20,0.45,22842832067/250000000000,91371328269/1000000000000,23233706484786314281632974210767041386374107/8000000000000000000000000000000000000000000000000,2.9042133105982893e-06,5.6478048536693085e-08
original,3,1/2,0.5,124604604803/1000000000000,31151151201/250000000000,313888314812195615577300395771129561748267/31250000000000000000000000000000000000000000000,1.004442607399026e-05,1.82722313391475e-07
original,3,11/20,0.55,164776318181/1000000000000,82388159091/500000000000,15358115913555015571887458276025000432576987/500000000000000000000000000000000000000000000000,3.071623182711003e-05,5.193401523859423e-07
original,3,3/5,0.6,106204731499/500000000000,212409462999/1000000000000,678538023186270531642143291982642817525382667/8000000000000000000000000000000000000000000000000,8.481725289828381e-05,1.3245204998148157e-06
original,3,13/20,0.65,267981031643/1000000000000,66995257911/250000000000,6715138875330547681384726402911949526244747/31250000000000000000000000000000000000000000000,0.00021488444401057753,3.080402284194184e-06
original,3,7/10,0.7,165959536741/500000000000,331919073483/1000000000000,4045829562509578892374861178680111124289720507/8000000000000000000000000000000000000000000000000,0.0005057286953136973,6.615334927762531e-06
original,3,3/4,0.75,404600055793/1000000000000,202300027897/500000000000,1674880285442117102040350335349662070063126881/1500000000000000000000000000000000000000000000000,0.0011165868569614115,1.3250317406676607e-05
original,3,4/5,0.8,243173271359/500000000000,486346542719/1000000000000,55947840984100698235406980741412523520399787521/24000000000000000000000000000000000000000000000000,0.002331160041004196,2.4953724400280158e-05
original,3,17/20,0.85,144356301637/250000000000,577425206549/1000000000000,111168809149441408168753393485558079935737338801/24000000000000000000000000000000000000000000000000,0.0046320337145600585,4.4478764191391994e-05
original,3,9/10,0.9,1695112959/2500000000,678045183601/1000000000000,211365714211013836789867657217308240200258494401/24000000000000000000000000000000000000000000000000,0.008806904758792243,7.545062696824531e-05
original,3,19/20,0.95,788356784823/1000000000000,98544598103/125000000000,94304255449832944196331755078283496883534881/5859375000000000000000000000000000000000000000,0.01609459293010482,0.00012236701387616957
original,3,1,1.0,908450569081/1000000000000,454225284541/500000000000,42568193746142682670709833255507840403696423761/1500000000000000000000000000000000000000000000000,0.028378795830761788,0.00019047842752056287
original,3,21/20,1.05,1038356784823/1000000000000,129794598103/125000000000,283809201684523464858292184158124371883534881/5859375000000000000000000000000000000000000000,0.04843677042082534,0.00028552406162213274
original,3,11/10,1.1,2945112959/2500000000,1178045183601/1000000000000,641987448631392885769923100618056614066752831467/8000000000000000000000000000000000000000000000000,0.08024843107892411,0.0004133150044174293
original,3,23/20,1.15,331856301637/250000000000,1327425206549/1000000000000,3104847264058218246006523803880419526935737338801/24000000000000000000000000000000000000000000000000,0.12936863600242576,0.0005791771113621172
original,3,6/5,1.2,743173271359/500000000000,1486346542719/1000000000000,1626893239379766966369651486135512119840133262507/8000000000000000000000000000000000000000000000000,0.20336165492247088,0.0007872892464251257
original,3,5/4,1.25,1654600055793/1000000000000,827300027897/500000000000,468438040775507329121807975920507844570063126881/1500000000000000000000000000000000000000000000000,0.31229202718367155,0.0010399754225357476
original,3,13/10,1.3,915959536741/500000000000,1831919073483/1000000000000,3754083110052459429154035502572619285124289720507/8000000000000000000000000000000000000000000000000,0.46926038875655746,0.0013370277992975853
original,3,27/20,1.35,2017981031643/1000000000000,504495257911/250000000000,64778122053809484230182991139219540098578734241/93750000000000000000000000000000000000000000000,0.6909666352406345,0.0016751490618505855
original,3,7/5,1.4,1106204731499/500000000000,2212409462999/1000000000000,23958632696677790851635755542847059920452576148001/24000000000000000000000000000000000000000000000000,0.9982763623615746,0.00204760317015078
original,3,29/20,1.45,2414776318181/1000000000000,1207388159091/500000000000,708380169286743803818247441329961881500432576987/500000000000000000000000000000000000000000000000,1.4167603385734877,0.0024441506036603083
original,3,3/2,1.5,2624604604803/1000000000000,656151151201/250000000000,185359812083254462582779873065621315888685244801/93750000000000000000000000000000000000000000000,1.9771713288880477,0.0028513212558932857
original,3,31/20,1.55,710342832067/250000000000,2841371328269/1000000000000,2,2.0,0.0032530399635766604
original,3,8/5,1.6,3064510716211/1000000000000,766127679053/250000000000,2,2.0,0.0036315804282828854
original,3,33/20,1.65,329341770667/100000000000,3293417706671/1000000000000,2,2.0,0.0039687777299731
original,3,17/10,1.7,110232864953/31250000000,3527451678497/1000000000000,2,2.0,0.004247396785722118
original,3,7/4,1.75,3765940400997/1000000000000,1882970200499/500000000000,2,2.0,0.004452527252966233
original,3,9/5,1.8,2004092089229/500000000000,4008184178459/1000000000000,2,2.0,0.004572868370215949
