spatial_dimension,n_cells_per_side,n_vertices_per_side,E_links,P_plaquettes,kappa_lambda_over_alpha,log_bound_Delta_over_alpha,log10_bound_Delta_over_alpha,bound_Delta_over_alpha,bound_underflow
2,1,2,4,1,0.0,-2.9879927014598158,-1.2976687422111883,0.05038848,False
2,2,3,12,4,0.0,-11.161202681715668,-4.84724873607289,1.421514401496483e-05,False
2,3,4,24,9,0.0,-23.421017652099444,-10.171618726865443,6.735677312206362e-11,False
2,4,5,40,16,0.0,-39.76743761261115,-17.270778714588847,5.360697307380502e-18,False
2,6,7,84,36,0.0,-84.72009250401834,-36.79346868082821,1.6089084002279972e-37,False
2,8,9,144,64,0.0,-146.0191673559372,-63.41531863479097,3.843097168020868e-64,False
2,12,13,312,144,0.0,-317.6565769413101,-137.9564985058867,1.1053542721519798e-138,False
2,16,17,544,256,0.0,-554.6796663687297,-240.89431832787602,1.2755035512973929e-241,False
2,24,25,1200,576,0.0,-1224.8828847497095,-531.9598778245356,0.0,True
2,32,33,2112,1024,0.0,-2156.628822498877,-936.6119971247698,0.0,True
2,1,2,4,1,0.05,-3.7879927014598156,-1.6451043277337898,0.02264100352184134,False
2,2,3,12,4,0.05,-14.361202681715667,-6.236991078163296,5.794405999198485e-07,False
2,3,4,24,9,0.05,-30.621017652099443,-13.298538996568855,5.02876109109805e-14,False
2,4,5,40,16,0.05,-52.567437612611144,-22.829748082950466,1.4799666093209806e-23,False
2,6,7,84,36,0.05,-113.52009250401834,-49.30114975964186,4.998621356350013e-50,False
2,8,9,144,64,0.05,-197.2191673559372,-85.65119610823746,2.2325638677873366e-86,False
2,12,13,312,144,0.05,-432.8565769413101,-187.9872228211413,1.0298576013531105e-188,False
2,16,17,544,256,0.05,-759.4796663687298,-329.83782822166205,0.0,True
2,24,25,1200,576,0.05,-1685.6828847497095,-732.082775085554,0.0,True
2,32,33,2112,1024,0.05,-2975.8288224988773,-1292.3860366999138,0.0,True
2,1,2,4,1,0.5,-10.987992701459817,-4.772024597437203,1.6903451916813145e-05,False
2,2,3,12,4,0.5,-43.161202681715665,-18.744672156976947,1.800229371097305e-19,False
2,3,4,24,9,0.5,-95.42101765209944,-41.44082142389957,3.623919785350131e-42,False
2,4,5,40,16,0.5,-167.76743761261116,-72.86047239820508,1.3788835857942887e-73,False
2,6,7,84,36,0.5,-372.72009250401834,-161.87027946896472,1.3480951027689643e-162,False
2,8,9,144,64,0.5,-658.0191673559373,-285.7740933692559,1.682312340753436e-286,False
2,12,13,312,144,0.5,-1469.65657694131,-638.2637416584328,0.0,True
2,16,17,544,256,0.5,-2602.6796663687296,-1130.3294172657356,0.0,True
2,24,25,1200,576,0.5,-5832.88288474971,-2533.18885043472,0.0,True
2,32,33,2112,1024,0.5,-10348.628822498877,-4494.352392876208,0.0,True
3,1,2,12,6,0.0,-11.161202681715668,-4.84724873607289,1.421514401496483e-05,False
3,2,3,54,36,0.0,-54.07055507805889,-23.482543703846826,3.2919732393860728e-24,False
3,3,4,144,108,0.0,-146.0191673559372,-63.41531863479097,3.843097168020868e-64,False
3,4,5,300,240,0.0,-305.3967619709263,-132.63212851509417,2.3327676546681622e-133,False
3,6,7,882,756,0.0,-899.9977880345394,-390.86407306853295,0.0,True
3,8,9,1944,1728,0.0,-1984.9914129135038,-862.0708172536739,0.0,True
3,12,13,6084,5616,0.0,-6214.627577695907,-2698.978464077105,0.0,True
3,16,17,13872,13056,0.0,-14171.247493474979,-6154.494588101472,0.0,True
3,24,25,45000,43200,0.0,-45973.2075266505,-19965.910344217355,0.0,True
3,32,33,104544,101376,0.0,-106806.4094096948,-46385.43423853,0.0,True
3,1,2,12,6,0.05,-15.961202681715669,-6.9318622492085,1.1698703950855144e-07,False
3,2,3,54,36,0.05,-82.87055507805889,-35.990224782660476,1.0227634921040928e-36,False
3,3,4,144,108,0.05,-232.41916735593722,-100.93836187123192,1.152492555534113e-101,False
3,4,5,300,240,0.05,-497.3967619709263,-216.0166690405185,9.623453662079006e-217,False
3,6,7,882,756,0.05,-1504.7977880345395,-653.5253757236196,0.0,True
3,8,9,1944,1728,0.05,-3367.3914129135037,-1462.439509036729,0.0,True
3,12,13,6084,5616,0.05,-10707.427577695908,-4650.176712372035,0.0,True
3,16,17,13872,13056,0.05,-24616.04749347498,-10690.613592684556,0.0,True
3,24,25,45000,43200,0.05,-80533.2075266505,-34975.12763879373,0.0,True
3,32,33,104544,101376,0.05,-187907.2094096948,-81607.06415646925,0.0,True
3,1,2,12,6,0.5,-59.161202681715665,-25.693383867428974,2.0258912681117715e-26,False
3,2,3,54,36,0.5,-342.0705550780589,-148.55935449198333,2.7583254595687486e-149,False
3,3,4,144,108,0.5,-1010.0191673559373,-438.6457509992005,0.0,True
3,4,5,300,240,0.5,-2225.3967619709265,-966.4775337693377,0.0,True
3,6,7,882,756,0.5,-6947.99778803454,-3017.4770996193997,0.0,True
3,8,9,1944,1728,0.5,-15808.991412913503,-6865.757735084227,0.0,True
3,12,13,6084,5616,0.5,-51142.62757769591,-22210.9609470264,0.0,True
3,16,17,13872,13056,0.5,-118619.24749347498,-51515.68463393232,0.0,True
3,24,25,45000,43200,0.5,-391573.2075266505,-170058.08328998118,0.0,True
3,32,33,104544,101376,0.5,-917814.4094096948,-398601.73341792246,0.0,True
