center,left,right,point_lower,transported_lower,status
65/512,1/8,33/256,72070300859967376448242685755946844200394882838515614392163299689658425130797502437283711369222907692774079243210596816011864441738947591068596933860304592493890368225378737687008863109059993335475200/11663248332219249213920443897600412658376983599593087265313611729345782889923520173070756471973367440253269133028668433187117878444586419970567275449921443627031149447620461119309388060509410191975958841,6786748687932399156829683655921979456924106407066910019080192991206773943560640450873873638547696929096895153233244351711919418640584163342993539618316532051404784818076495728564880895409948101905692359/2985791573048127798763633637785705640544507801495830339920284602712520419820421164306113656825182064704836898055339118895902176881814123512465222515179889568519974258590838046543203343490409009145845463296,positive
67/512,33/256,17/128,74291185999675964385900547706609733873147476739095708692454951815181049203765420184039106167303524486094256942366733434811634682153197484529101365164862000189934944682977331232556412359354355411584000/11667587153617146026349530521665431946076853546950924053585088480306162540039492567769841762647085752604300930096973091509892589409359214303359001381170429601979624342248223383829048129247483536501691841,7350956462299900856441009691226659925448900498257577371683379184380186056124454999344169416182616515835828847148910667801885889221859341736090948101034242446643721496593973411705393434747231448863812159/2986902311325989382745479813546350578195674508019436557717782650958377610250110097349079491237653952666701038104825111426532502888795958861659904353579629978106783831615545186260236321087355785344433111296,positive
69/512,17/128,35/256,76512751457500606437100753818828169744233285585481040158466705597338006906721583373420471871438325376913608021514749443415083015525363331992204260004320176721479778698859536027433544550877492451302400/11672014395652981500826584748717790729605698309226557329402060967385414956038767162319396903702332403916287361795134163731834336638756284192281703319915841319147959040619024642967254333323731764427821009,7915249977467173747071208228902220724918022800656588951165415665533114812081958181276243895385878892573596291712641693782426915335736728797722587241190123921550864306289016580055733071700906303105593391/2988035685287163264211605695671754426779058767161998676326927607650666228745924393553765607347797095402569564619554345915349590179521608753224116049898455377701877514398470308599617109330875331693522178304,positive
71/512,35/256,9/64,125976062502041880143669520287734390695598112598726492384226014831762297669183498197456584236518413221418334610586243549382367903614005079709373509254650299198385128363682418366063305634639646749696/18682448203013199327159039924722942125539854882914014124097364878096745826684576239068635301203545594385196967928001550827738443096465301474063632292121595246036365270939551952217085962165028815791225,13567423797509521989620357268937061892533261942359967926264494918834402376626399299480250263345168190297896692382076797814147740228719998931535986077068881348750227590163147149495120280302720752130951/4782706739971379027752714220729073184138202850025987615768925408792766931631251517201570637108107672162610423789568397011901041432695117177360289866783128382985309509360525299767574006314247376842553600,positive
73/512,9/64,37/256,80958090656668953238328954371893941739222196853446219740674085782288976452149209788709931592204986278055554021830850487882596514738992037456945370783955247191049321500164386038489089936657536851840000/11681134417518682942056123501063088792995496984437494541625188104985920871514286845370230115524097760797265329785592425550432937088122507865590159176474841482831941420527894082163267903848857510457974409,9044136790588569086956088818141760292245385410044737711987377855280057100235910860539512372080378726384956499803105299347511770685059453723387855744217701798076684883514188743689939119935471923613065591/2990370410884782833166367616272150731006847228015998602656048154876395743107657432414778909574169026764099924425111660940910831894559362013591080749177559419604977003655140885033796583385307522677241448704,positive
75/512,37/256,19/128,83181948083274940773762500130332223472726695298080239985203398775863965084202028559614479874586405874668906111776197588134576411819486912433651026876081295469367046097422926864046082607062302947763200/11685827339425650979329674039156633234308643000370337653522180823855484317720409209379493814129333256316576451317036292053477491336891054502912517804287115530493528858286885412281352632490885907236417841,9608751369892733858753525994208415974709390995938203782689889262765690743835310101881813033764786647598663513297670290508974070088897595080102145075989696109664434942653383864914444514917063647390961359/2991571798892966650708396554024098107983012608094806439301678290907003985336424757601150416417109313617043571537161290765690237782244109952745604557897501575806343387721442665544026273917666792252522967296,positive
77/512,19/128,39/256,85406653200718084031129872230693095483610231625311739133966857566516435637672100584828353818021218183183939058426367316343199425403055618848053235749153112829676173864645582167357542225392987704704000/11690608966127600804228521879592285648869205682847508887214903523894269211473324236730481021743727365256410600296570512493452714527151087092393425058979632768937341183717012893050751673452264811033279841,10173494253256228707740725411465146794935013613232296331080612013133938311770733512985577555669704489638677798660579520490406338376031151332708203292803564115459759325632256141792779136248340041370944159/2992795895328665805882501601175625126110516654808962275127015302116932918137171004603003141566394205505641113675922051198323894918950678295652716815098785988847959343031555300620992428403779791624519639296,positive
79/512,39/256,5/32,87632247877248462649177052233395540119801126224011719422043626098158498105731403079779174990064387692397091323044007154302730373294544233952240417030714493713930104508057019591530471552415479175910400/11695479372806541331389007209617929751815607509343082134425200233950300441010303657484075461951208113176903063496510131070468517518422577711872440096239392458055471094715651313271172111682012019377930009,10738376083769065106800318162131328518853480804003918037617968047178275074056935530939393335505275136076752315202755700431030458044980746179901106663623517932710635659346945702160628605736350649655132391/2994042719438474580835585845662190016464795522391829026412851259891276912898637736315923318259509276973287184255106593554039940484716179894239344664637284469262200600247206736197420060590595076960750082304,positive
81/512,5/32,41/256,2943716107150646985387975096828161750376729067315625019211078737594575838361526066140057241189824624651128613615942149155197538481882665045189489571432194081705876897114355096979692120462314496/383298904979163258963030402918197944145102280115098610747561414271903181504194615476852804540632866471363950990889869761588695986655301457078998638679601729266955510886279943374270358968139045025,370292418451402369296291221869811463951340361117701394170474742552308233116356057455001849203962237439324974094791320422141873864706660794489510691607039955649748974774994961452530823870213465951/98124519674665794294535783147058673701146183709465244351375722053607214465073821562074317962402013816669171453667806658966706172583757173012223651501978042692340610786887665503813211895843595526400,positive
83/512,41/256,21/128,92086273442791010399248240807202607767474710644702724915343126485561079933361225448055717230592704990825796548913265756915787657683271193684932736841475335923257237061057006305799232946918816522880000/11705486835125445371357113092800369510954144774538777418377449260448938228514468506168544227405189790530797426603249677080345371895644194831468572364723485265446708922605886588434437766131107771831045409,11868599166229053290850436553843498077519381150505120159950391119854698234426005208533719383626542687120606489918546356690096268471273230751874208266694200730907143765024707025850165868280109258026234591/2996604629792114015067420951756894594804261062281927019104627010674928186499703937579147322215728586375884141210431917332568415205284913876855954525369212227954357484187106966639216068129563589588747624704,positive
