scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
wrong,0.0,0.0,0.0,0.0,0.4,0.1,1.0016,0.008000000000000002,0.0,0.0924530708185434,6.932117640329194e-18,0.9989306235367933,0.10500000000000072,0.0,0.0,0.0,0.0,3.3306690738754696e-16
wrong,0.05,1.3198493264539998e-25,-9.769979468042357e-24,3.4973110283599686e-35,0.40437255898366753,0.07485680948484537,1.00163517166459,0.008087451179673352,0.0,0.0924530708185434,6.932117640329194e-18,0.9989657952013832,0.10500000000000076,-3.5341507321034093e-44,-4.651188465853776e-50,4.163336342344337e-17,4.163336342344337e-17,3.3306690738754696e-16
wrong,0.1,-7.882820940636508e-20,-4.715021731129584e-18,8.125969278497793e-18,0.4074817827654649,0.04947975235233275,1.001660414032857,0.008149635655309299,0.0,0.0924530708185434,6.932117640329194e-18,0.9989910375696504,0.10500000000000079,-1.914621358627566e-31,-2.189321462828911e-37,6.938893903907248e-17,6.938893903907248e-17,3.3306690738754696e-16
wrong,0.15000000000000002,-1.6470256352821301e-16,2.5789436921414065e-14,4.950892082176969e-12,0.4093179575511031,0.02394811125625039,1.001675411903738,0.008186359151022064,1.4246773088480312e-16,0.09245307081854337,-1.388456407139249e-17,0.9990060354405313,0.10500000000000072,-1.9189344641469061e-25,8.091323973861218e-32,1.9189344641469061e-25,1.9189336550145087e-25,3.3306690738754696e-16
wrong,0.2,-2.9643946994197786e-13,3.513595556964835e-11,3.837452084313462e-09,0.40987534678850435,-0.0016583482005149025,1.00167997799905,0.008197506935770088,4.403402686912038e-13,0.0924530708185434,-3.6070051025877126e-16,0.9990106015358432,0.10500000000000084,3.6675974152998087e-22,1.4962108579333603e-27,1.2489972351058857e-16,1.2489972350909235e-16,4.440892098500626e-16
wrong,0.25,-3.6858898160173056e-11,2.898867959517838e-09,2.065977237470714e-07,0.409152209089859,-0.027259626668580214,1.0016740553020311,0.008183044181797182,5.4187859689405585e-11,0.09245307081854338,-4.489509079167592e-14,0.9990046788388244,0.10500000000000086,4.1844997170050415e-18,-1.0743411621029251e-23,1.3459337836113951e-16,1.3459338910455113e-16,4.440892098500626e-16
wrong,0.30000000000000004,-1.0294054484488563e-09,5.8137238601136314e-08,2.9307856066131384e-06,0.4071508036720457,-0.052775740984936516,1.001657717769308,0.008143016073440916,1.4935261033053729e-09,0.09245307081854337,-1.2540469761256924e-12,0.9989883413061013,0.10500000000000222,1.6882218265720567e-15,-1.2414581201753442e-20,-1.894207433280954e-16,-1.8940832874689362e-16,4.440892098500626e-16
wrong,0.35000000000000003,-1.2018394953625291e-08,5.146965374304603e-07,1.939903043218392e-05,0.4038773832984169,-0.07812697405524918,1.0016311694073998,0.008077547665968339,1.7116298691175816e-08,0.0924530708185434,-1.464104620825307e-11,0.9989617929441931,0.10500000000013296,1.3232885579371813e-13,-1.9195329804241552e-18,-8.741577305417214e-17,-8.549624007374799e-17,5.551115123125783e-16
wrong,0.4,-8.042893149800193e-08,2.7172688443823247e-06,7.972425079747773e-05,0.3993421747440012,-0.10323412390491049,1.0015947417252926,0.007986843494880025,1.1180315438585249e-07,0.0924530708185434,-9.798008534204908e-11,0.9989253652620859,0.10500000000368877,3.688267377921653e-12,-8.962438295028717e-17,-2.175124193458018e-16,-1.2788803639551464e-16,4.440892098500626e-16
wrong,0.45,-3.6862628243115163e-07,1.012368669671507e-05,0.00023842039340981873,0.3935593468451537,-0.12801875112075625,1.0015488895948919,0.007871186936903075,4.973190261948579e-07,0.09245307081854354,-4.490676605190826e-10,0.9988795131316851,0.10500000005119538,5.119653599083828e-11,-1.887270174837177e-15,-1.876368171832369e-15,1.090200300480814e-17,5.551115123125783e-16
wrong,0.5,-1.2895141139539124e-06,2.947109269575641e-05,0.0005706795157921796,0.38654696623347234,-0.15240342391035988,1.001494185571043,0.0077309393246694485,1.6791233186721423e-06,0.0924530708185454,-1.57091105176658e-09,0.9988248091078362,0.10500000043385259,4.338743840091108e-10,-2.265498374740969e-14,-2.2512913541130936e-14,1.420702062787549e-16,6.661338147750939e-16
wrong,0.55,-3.692352872745091e-06,7.155920171726523e-05,0.00116158108927728,0.3783269408922825,-0.1763119600131525,1.001431312742049,0.007566538817845652,4.616290516797847e-06,0.09245307081855998,-4.498095847094879e-09,0.9987619362788409,0.10500000255789796,2.5580767662363776e-09,-1.7976177270439926e-13,-1.7952499648504794e-13,2.3677621935132654e-16,6.661338147750939e-16
wrong,0.6000000000000001,-9.072903033538042e-06,0.0001514244297569804,0.002093405975211586,0.36892495171204565,-0.1996696647072118,1.0013610561999573,0.007378499034240914,1.0838146310021312e-05,0.09245307081864368,-1.1052786287368875e-08,0.9986916797367414,0.10500001145378438,1.1454824420016582e-08,-1.040649646897325e-12,-1.0407623831949254e-12,-1.1273629760053935e-16,5.551115123125783e-16
wrong,0.65,-1.9776990367182948e-05,0.00028792116558288986,0.0034351261265135238,0.35837037225857143,-0.22240356416739115,1.0012842932371275,0.00716740744517143,2.2473050961451103e-05,0.09245307081901986,-2.4092712700166054e-08,0.9986149167738771,0.10500004141056961,4.1415276409984195e-08,-4.707359200388698e-12,-4.707519363414821e-12,-1.6016302612318417e-16,5.551115123125783e-16
wrong,0.7000000000000001,-3.917153826669407e-05,0.0005028721777655777,0.00523581607926094,0.34669617700478383,-0.24444263344465053,1.0012019823914973,0.006933923540095678,4.217539190999585e-05,0.09245307082041264,-4.771952506513427e-08,0.9985326059281192,0.10500012632466481,1.263421429267676e-07,-1.7478774888612587e-11,-1.747883641833362e-11,-6.152972103234528e-17,6.661338147750939e-16
wrong,0.75,-7.176656430153061e-05,0.0008199894370112445,0.007521962566825259,0.33393883831289184,-0.26571801835319875,1.0011151514773375,0.006678776766257838,7.296960880958964e-05,0.09245307082481777,-8.742740711878557e-08,0.9984457750135555,0.10500033589258326,3.359478271525084e-07,-5.524451777091897e-11,-5.5244612765413234e-11,-9.499449426313486e-17,6.661338147750939e-16
wrong,0.8,-0.00012328122663314648,0.0012637405095051295,0.010297793486206533,0.32013821248900803,-0.286163250571532,1.0010248847509566,0.006402764249780162,0.0001180524422202363,0.0924530708370582,-1.5018351679871203e-07,0.9983555082860521,0.10500079783445476,7.979872172779342e-07,-1.5276306673793935e-10,-1.5276323357926336e-10,-1.6684132401051355e-16,6.661338147750939e-16
wrong,0.8500000000000001,-0.00020065452890956426,0.0018582847147663839,0.013547554141411604,0.30533741526641195,-0.3057144552856358,1.0009323093716158,0.0061067483053282405,0.00018060142905115543,0.09245307086759158,-2.444409653244966e-07,0.9982629329039113,0.10500172518951494,1.7255669544331445e-06,-3.77440473130158e-10,-3.774402152936848e-10,2.578364731980517e-16,6.661338147750939e-16
wrong,0.9,-0.00031200619451234577,0.0026265521529234177,0.017238799402019542,0.28958268710663415,-0.3243105507273169,1.0008385813267189,0.005791653742132684,0.00026362998446875227,0.09245307093713424,-3.800909758052852e-07,0.9981692048526373,0.10500344668965077,3.4475367210911138e-06,-8.470710079694626e-10,-8.470710415412754e-10,-3.357181285774639e-17,8.881784197001252e-16
wrong,0.9500000000000001,-0.00046655580873035526,0.0035894981116116587,0.021326019970199166,0.27292324873922325,-0.3418934389874968,1.0007448709970237,0.005458464974784466,0.0003699118465892589,0.09245307108371768,-5.68363927237506e-07,0.9980754945095002,0.10500643751524232,6.4392645794780415e-06,-1.7493380064740145e-09,-1.7493378806280238e-09,1.258459907395289e-16,8.881784197001252e-16
wrong,1.0,-0.0006745092043086827,0.004765537461327214,0.025754163782083127,0.2554111473913605,-0.358408187512919,1.0006523485421177,0.005108222947827211,0.0005019763242319561,0.09245307137278429,-8.216899079308579e-07,0.9979829720280864,0.10501134745990673,1.1350818896228068e-05,-3.35899030386284e-09,-3.3589902171304777e-09,8.673236215057771e-17,8.881784197001252e-16
wrong,1.05,-0.0009469208345537734,0.006170146796880365,0.03046180594363875,0.23710109418731534,-0.3738032007247543,1.0005621692886482,0.004742021883746308,0.0006621564916328472,0.09245307191085739,-1.153528878002503e-06,0.9978927927252749,0.10501902365573108,1.9029702631868246e-05,-6.046901391408823e-09,-6.046901502450004e-09,-1.1104118120563595e-16,8.881784197001252e-16
wrong,1.1,-0.0012955400224714593,0.007815613473553404,0.03538385584194374,0.21805029322503977,-0.3880303812287132,1.0004754593037553,0.004361005864500796,0.0008526595047788147,0.09245307286318477,-1.5781791430932946e-06,0.9978060826530524,0.10503052544795796,3.053572204989437e-05,-1.0274092275102366e-08,-1.0274092650155563e-08,-3.7505319734550343e-16,8.881784197001252e-16
wrong,1.1500000000000001,-0.0017326478368364583,0.009710907608656887,0.04045377669535045,0.1983182628629187,-0.4010452801183469,1.0003933013338497,0.003966365257258375,0.001075623862040599,0.09245307447557051,-2.1105709827710657e-06,0.9977239245352891,0.10504712964255575,4.7146206144918544e-05,-1.656358956606543e-08,-1.65635898886061e-08,-3.2254067013334016e-16,8.881784197001252e-16
wrong,1.2000000000000002,-0.002270890146534918,0.011861653409941591,0.04560534322950108,0.1779666497737909,-0.4128072359061411,1.0003167212843171,0.0035593329954758187,0.0013331328623562306,0.09245307710038483,-2.766050215109462e-06,0.9976473442450579,0.10507032507135672,7.035051525380833e-05,-2.5443897708634692e-08,-2.54438978078078e-08,-9.917310893253849e-17,8.881784197001252e-16
wrong,1.25,-0.002923111270242204,0.014270178301759756,0.05077398885814304,0.15705903634578422,-0.4232795016507928,1.0002466754089787,0.003141180726915685,0.0016271649665475032,0.09245308122649326,-3.560154403566118e-06,0.9975772979913501,0.10510179613866193,0.00010183349858464576,-3.735992360275138e-08,-3.7359923437028605e-08,1.657227769888021e-16,8.881784197001252e-16
wrong,1.3,-0.0037021916328664186,0.016935621222501925,0.055897803680745636,0.13566074203022413,-0.43242935988377235,1.000184038369282,0.002713214840604483,0.0019594772150693454,0.0924530875125843,-4.5083824357383966e-06,0.9975146603752111,0.10514339566817862,0.0001434482184501884,-5.255027219162415e-08,-5.255027228201047e-08,-9.038632331868985e-17,8.881784197001252e-16
wrong,1.35,-0.00462089198578634,0.01985408453558003,0.06091824518763476,0.11383861925583343,-0.44022822497398867,1.0001295923123408,0.002276772385116669,0.00233143373269661,0.09245309682311299,-5.625956415243343e-06,0.9974602134644829,0.10519710792284197,0.00019717881649959586,-7.089365804658389e-08,-7.089365834607236e-08,-2.9948846995046737e-16,1.1102230246251565e-15
wrong,1.4000000000000001,-0.005691706043443455,0.023018816885232288,0.06578061907696181,0.09166084454558089,-0.44665173260619767,1.000084017104228,0.0018332168909116183,0.0027438042376523477,0.09245311026582097,-6.927573294580831e-06,0.9974146370236572,0.10526500310581567,0.0002650948371853922,-9.173137036562085e-08,-9.173137043841026e-08,-7.278940574538388e-17,8.881784197001252e-16
wrong,1.4500000000000002,-0.0069267228207368255,0.026420416878764175,0.07043438075920835,0.06919670548781319,-0.45167981608678576,1.0000478818405036,0.001383934109756264,0.0031965648196906555,0.09245312922955012,-8.427142505010863e-06,0.9973785000209354,0.10534918496698314,0.00034929864383116617,-1.1367684856889153e-07,-1.1367684873910162e-07,-1.7021009284555938e-16,1.1102230246251565e-15
wrong,1.5,-0.008337499505545498,0.03004704964550269,0.07483330059115333,0.04651638422664554,-0.45529676922977796,1.0000216377400153,0.0009303276845329109,0.0036887338198636046,0.09245315542083868,-1.0137505096559502e-05,0.9973522535186735,0.1054517333433863,0.00045186777041098945,-1.3442702527059553e-07,-1.3442702540976577e-07,-1.3917023962118052e-16,1.1102230246251565e-15
wrong,1.55,-0.009934945349844373,0.03388467013171183,0.078935528562178,0.023690738147937894,-0.45749129561637003,1.00000561251074,0.000473814762958758,0.004218269601534032,0.09245319089757689,-1.2070129661067939e-05,0.9973362250361374,0.1055746435677723,0.0005747941605343366,-1.5059276253123515e-07,-1.5059276275714972e-07,-2.259145661121382e-16,1.1102230246251565e-15
wrong,1.6,-0.011729216794527146,0.03791724849171344,0.0827035875169558,0.0007910784464845223,-0.4582565440629324,1.0000000062580512,1.5821568929690448e-05,0.004782045851676467,0.09245323809781503,-1.4234780648429098e-05,0.9973306144551284,0.1057197647026337,0.0007199222697452823,-1.5756711214313304e-07,-1.575671123050116e-07,-1.6187855766235787e-16,1.1102230246251565e-15
wrong,1.6500000000000001,-0.013729623843265946,0.04212699418652795,0.08610431822953582,-0.02211105273277182,-0.45759013017521183,1.0000048889865296,-0.0004422210546554365,0.005375906269189565,0.0924532998616521,-1.6639155664311032e-05,0.9973354915197865,0.10588873851414547,0.0008888879641885108,-1.4945004350582664e-07,-1.494500437562371e-07,-2.5041046777915694e-16,1.1102230246251565e-15
