kappa,N,gap_lower_display,gap_upper_display,exact_width_as_float,log10_width_display,range_lower
0.0,8,2.9999999999997584,3.000000000000682,9.237055564881302e-13,-12.03446644390028,0.999999
0.1,8,3.0011663753480122,3.001166375349335,1.3230911444349387e-12,-11.87841023732292,0.999999
1.0,8,3.1138638115057113,3.113863811506979,1.26773798452277e-12,-11.896970496954562,0.999999
2.0,8,3.426288565733578,3.4262885657346325,1.0544937869763927e-12,-11.976955974757892,0.999999
2.0,16,3.426288565733763,3.426288565734431,6.676061767859448e-13,-12.17547965382077,0.999999
4.0,8,4.392972385242256,4.39297238524309,8.343418175865632e-13,-12.078655988836218,0.999999
4.0,16,4.392972385242322,4.392972385243137,8.149450890521887e-13,-12.088871653008532,0.999999
6.0,8,5.489697402392638,5.489697402399022,6.383540395143074e-12,-11.194938389050595,0.999999
6.0,16,5.489697402393416,5.489697402394315,8.990240281271468e-13,-12.046228700765573,0.999999
8.0,8,6.538198371010365,6.538198371258223,2.478581755889209e-10,-9.605796751341861,0.999999
8.0,16,6.538198371041426,6.538198371042065,6.389191606304746e-13,-12.194554087558409,0.999999
10.0,8,7.496260207609659,7.4962602118457635,4.236104858614429e-09,-8.373033298103271,0.999999
10.0,16,7.496260208242049,7.496260208243154,1.1046612894586486e-12,-11.956770864665422,0.999999
100.0,8,21.49936117300623,27.55644528877539,6.057084115769161,0.7822636048273648,
100.0,16,26.984486763946116,26.984486764067093,1.2097522983367526e-10,-9.917303544128186,
100.0,24,26.98448676398094,26.98448676398223,1.291411422243982e-12,-11.888935376676041,
