k1,k2,eta,method,nodes,max_moment_difference,reference
1,2,1,marginal,8,4.884981308350689e-15,1D nodes 128; floating diagnostic
1,2,1,marginal,16,7.216449660063518e-16,1D nodes 128; floating diagnostic
1,2,1,marginal,32,1.3877787807814457e-15,1D nodes 128; floating diagnostic
1,2,1,marginal,64,1.3322676295501878e-15,1D nodes 128; floating diagnostic
1,2,1,direct,12,6.526266571604822e-08,1D nodes 128; floating diagnostic
1,2,1,direct,24,9.43689570931383e-16,1D nodes 128; floating diagnostic
1,2,1,direct,48,1.0547118733938987e-15,1D nodes 128; floating diagnostic
1,2,1,direct,96,6.661338147750939e-16,1D nodes 128; floating diagnostic
20,20,-20,marginal,8,0.00037590757921351914,1D nodes 128; floating diagnostic
20,20,-20,marginal,16,5.273503855818262e-12,1D nodes 128; floating diagnostic
20,20,-20,marginal,32,1.6653345369377348e-16,1D nodes 128; floating diagnostic
20,20,-20,marginal,64,2.220446049250313e-16,1D nodes 128; floating diagnostic
20,20,-20,direct,12,0.0003955001181169815,1D nodes 128; floating diagnostic
20,20,-20,direct,24,4.694933886106867e-10,1D nodes 128; floating diagnostic
20,20,-20,direct,48,2.4424906541753444e-15,1D nodes 128; floating diagnostic
20,20,-20,direct,96,1.2212453270876722e-15,1D nodes 128; floating diagnostic
100,100,100,marginal,8,0.09715540682711343,1D nodes 128; floating diagnostic
100,100,100,marginal,16,0.0141314559650344,1D nodes 128; floating diagnostic
100,100,100,marginal,32,5.5970309746911084e-06,1D nodes 128; floating diagnostic
100,100,100,marginal,64,2.9976021664879227e-15,1D nodes 128; floating diagnostic
100,100,100,direct,12,0.0013663640808975197,1D nodes 128; floating diagnostic
100,100,100,direct,24,1.4789768733258768e-05,1D nodes 128; floating diagnostic
100,100,100,direct,48,7.466249840604178e-13,1D nodes 128; floating diagnostic
100,100,100,direct,96,9.992007221626409e-16,1D nodes 128; floating diagnostic
100,100,-100,marginal,8,0.005868230592207757,1D nodes 128; floating diagnostic
100,100,-100,marginal,16,0.0002656422583589002,1D nodes 128; floating diagnostic
100,100,-100,marginal,32,1.3321121983267403e-11,1D nodes 128; floating diagnostic
100,100,-100,marginal,64,1.6653345369377348e-16,1D nodes 128; floating diagnostic
100,100,-100,direct,12,0.09003171770343454,1D nodes 128; floating diagnostic
100,100,-100,direct,24,0.001175871822496788,1D nodes 128; floating diagnostic
100,100,-100,direct,48,4.1720960020086295e-11,1D nodes 128; floating diagnostic
100,100,-100,direct,96,1.3322676295501878e-15,1D nodes 128; floating diagnostic
