a,power,epsilon,gap_lower_bound,actual_semigroup_error,telescoping_bound
0.25,1,0.05,0.7511018506073122,0.10396692083542824,0.2
0.25,2,0.0125,0.9363085070652408,0.02419305892571144,0.05
0.125,1,0.025,0.7765210078310271,0.09212413840975103,0.2
0.125,2,0.003125,0.9717213278222446,0.010551632035165515,0.025
0.0625,1,0.0125,0.7885051029572686,0.08664431271340312,0.2
0.0625,2,0.00078125,0.9866993491492677,0.0049257210338878865,0.0125
0.03125,1,0.00625,0.7943137811808529,0.08401178364121104,0.2
0.03125,2,0.0001953125,0.9935522533317163,0.0023796569093942344,0.00625
0.015625,1,0.003125,0.7971721974318735,0.08272193476124645,0.2
0.015625,2,4.8828125e-05,0.996825867123839,0.0011695534056934132,0.003125
0.0078125,1,0.0015625,0.7985899247145501,0.08208355752630819,0.2
0.0078125,2,1.220703125e-05,0.9984252548474605,0.0005797727440537415,0.0015625
0.00390625,1,0.00078125,0.7992959187287556,0.08176599845320404,0.2
0.00390625,2,3.0517578125e-06,0.9992156934753946,0.00028864342364431916,0.00078125
