case,a0,target_E,b,Tpump,tfinal,ncut,Kmax,nK,rtol,atol,max_step,sample_count,z_floor,chi_mode,final_a,final_x,final_field_change,max_abs_x,min_Z,max_raw_r2_error,max_energy_work_residual_abs,energy_work_scale,max_energy_work_residual_relative,final_raw_occupation_min,final_raw_occupation_max,final_raw_occupation_mean,seconds
ncut6,0.0,1.0,10.0,4.0,20.0,6,40.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.128900511232146,0.728174439212181,0.728174439212181,0.9894857394507034,0.9962240441087956,5.192506424833709e-09,6.8646199835598054e-12,0.4978068803948044,1.3789724999613427e-11,1.0594858323997869e-12,0.04969569297784998,0.000545863971260841,0.922000417000163
ncut8,0.0,1.0,10.0,4.0,20.0,8,40.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.128900821343642,0.7281745414388784,0.7281745414388784,0.9894857276301019,0.9960186257067036,5.978617489965643e-09,1.0249634474490676e-11,0.49780687778084703,2.058957987921361e-11,1.058209075921468e-12,0.049695710143159155,0.00041748747664376956,1.0256645070003287
ncut10,0.0,1.0,10.0,4.0,20.0,10,40.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.128901015228575,0.7281745794787995,0.7281745794787995,0.9894857202286425,0.9958567478863031,6.078965220090993e-09,1.1086409568150657e-11,0.49780687623444725,2.2270503075432407e-11,1.0587641874337805e-12,0.04969572086986468,0.0003380012187871541,1.1248201110010996
nk128,0.0,1.0,10.0,4.0,20.0,8,40.0,128,2e-10,2e-12,0.08,201,1e-08,matched,-16.124164312908093,0.7284424656402532,0.7284424656402532,0.9895887631245553,0.9956840059925822,5.403439473639082e-09,9.069134332406747e-12,0.4977935698353551,1.821866508923841e-11,1.0607070777268746e-12,0.05423935692458626,0.0004146867971503397,0.5803574590008793
nk256,0.0,1.0,10.0,4.0,20.0,8,40.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.128900821343642,0.7281745414388784,0.7281745414388784,0.9894857276301019,0.9960186257067036,5.978617489965643e-09,1.0249634474490676e-11,0.49780687778084703,2.058957987921361e-11,1.058209075921468e-12,0.049695710143159155,0.00041748747664376956,0.912266424000336
nk512,0.0,1.0,10.0,4.0,20.0,8,40.0,512,2e-10,2e-12,0.08,201,1e-08,matched,-16.128909907759866,0.7284788897409361,0.7284788897409361,0.9894865270866746,0.9960199826229958,6.1184234345645905e-09,8.850475907706823e-12,0.4978069366749272,1.777893246490912e-11,1.0592637877948619e-12,0.05307010504670817,0.00041696467754118405,2.3751242639991688
window20,0.0,1.0,10.0,4.0,20.0,8,20.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.1289125538633,0.7284712561647341,0.7284712561647341,0.9894865272138184,0.9960361257249283,4.352882387870238e-09,1.4243217716369827e-11,0.4978069366741418,2.8611930985793514e-11,1.4881706977831755e-11,0.05385481969217437,0.0008336736550985543,0.8714042460014753
window40,0.0,1.0,10.0,4.0,20.0,8,40.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.128900821343642,0.7281745414388784,0.7281745414388784,0.9894857276301019,0.9960186257067036,5.978617489965643e-09,1.0249634474490676e-11,0.49780687778084703,2.058957987921361e-11,1.058209075921468e-12,0.049695710143159155,0.00041748747664376956,0.9291165310005454
window60,0.0,1.0,10.0,4.0,20.0,8,60.0,256,2e-10,2e-12,0.08,201,1e-08,matched,-16.128365553444873,0.728376847119296,0.728376847119296,0.9894483400725509,0.9959611581375579,7.455894457386592e-09,1.49750212230515e-11,0.49780432927928986,3.008214340910214e-11,1.7030821197749901e-13,0.052676947576059396,0.0002780931115796282,0.9623605080014386
tol1e-7,0.0,1.0,10.0,4.0,20.0,8,40.0,256,1e-07,1e-09,0.08,201,1e-08,matched,-16.12890082131436,0.7281745414243087,0.7281745414243087,0.9894857276257493,0.9960186257067036,4.865590827018984e-06,1.514336156471785e-09,0.4978068789948627,3.042015328372778e-09,1.0593192989460931e-12,0.04969571014308488,0.0004174874766448672,0.5462586590001592
tol2e-8,0.0,1.0,10.0,4.0,20.0,8,40.0,256,2e-08,2e-10,0.08,201,1e-08,matched,-16.128900821323388,0.7281745414375137,0.7281745414375137,0.9894857276378144,0.9960186257067036,8.280392338466669e-07,8.399921869184368e-10,0.49780687861280776,1.6873856569824127e-09,1.058653165131318e-12,0.049695710141525906,0.00041748747664143793,0.6268183009997301
tol2e-9,0.0,1.0,10.0,4.0,20.0,8,40.0,256,2e-09,2e-11,0.08,201,1e-08,matched,-16.12890082134054,0.7281745414391706,0.7281745414391706,0.9894857276301178,0.9960186257067036,6.642760741470966e-08,8.934125661497205e-11,0.49780687782332766,1.794697112374558e-10,1.0587641874337805e-12,0.04969571014290547,0.0004174874766430854,0.7607608529997378
