dataset,scope,C,K,N,a,b,dC_da
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.0003768201278723027,0.1,0,0.001,0.3,-1.834743079105621e-06
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.0003053188811716173,0.1,0,0.3,0.3,-0.000411476455662516
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.00036779936506111386,0.1,0,0.1,0.3,-0.00017743500675639976
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.0003424603527614955,0.1,0,0.2,0.3,-0.000321532274247604
exact_continuous_geometry,"finite b,N,K; a in displayed sample",3.70800753104483e-09,0.1,0,10.0,0.3,-1.8360024084333049e-09
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.03593582538004454,2.0,4,0.001,3.0,-3.4441263790683173e-06
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.03577812935013262,2.0,4,0.3,3.0,-0.001069810195296714
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.019869459454342257,2.0,4,2.0,3.0,-0.022204936506362443
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.0023686766656412757,2.0,4,4.0,3.0,-0.001792936991199406
exact_continuous_geometry,"finite b,N,K; a in displayed sample",3.061339264825383e-11,2.0,4,200.0,3.0,-7.651305108421567e-13
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.10138336013377684,20.0,4,0.001,10.0,-2.5090584836887274e-09
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.10138324716364161,20.0,4,0.3,10.0,-7.53567811568434e-07
exact_continuous_geometry,"finite b,N,K; a in displayed sample",0.050721405682257956,20.0,4,20.0,10.0,-0.06556358665655916
exact_continuous_geometry,"finite b,N,K; a in displayed sample",3.161758429210117e-05,20.0,4,40.0,10.0,-5.705404384001373e-06
exact_continuous_geometry,"finite b,N,K; a in displayed sample",3.239024814518761e-14,20.0,4,2000.0,10.0,-8.099058747165888e-17
