case,method,kind,tau,lA,lC,phi,v,hp,hl,E,B,I_wrong
coupled_mixed,DOP853,full,0.0,0.0,0.0,0.15,0.02,0.07594034703141797,0.07594034703141797,0.08,0.06,
coupled_mixed,DOP853,full,0.025,0.0018984450310087929,0.0018948843018131174,0.15049329023611435,0.019463445820465018,0.07593520963548671,0.0756509873898078,0.079661450274951,0.05977261854064854,
coupled_mixed,DOP853,full,0.05,0.0037967581887475878,0.0037825786978640994,0.150973183755409,0.018928267361938887,0.07592979707509984,0.07536514717025838,0.07932531059346189,0.05954611449184429,
coupled_mixed,DOP853,full,0.07500000000000001,0.00569493258684855,0.005663170620828388,0.1514397153033094,0.01839449278980705,0.07592410876372116,0.07508278222799294,0.07899156113831064,0.05932048522645535,
coupled_mixed,DOP853,full,0.1,0.0075929613238384895,0.007536746406136123,0.15189292032736618,0.017862150108222685,0.0759181440798395,0.07480384892717386,0.07866018223402862,0.059095728120494045,
coupled_mixed,DOP853,full,0.125,0.0094908374822936,0.009403391304616622,0.15233283497318897,0.017331267157288263,0.07591190236930062,0.07452830413458537,0.07833115434630121,0.05887184055324656,
coupled_mixed,DOP853,full,0.15000000000000002,0.011388554128052009,0.011263189494988326,0.1527594960803104,0.01680187161027793,0.0759053829476062,0.07425610521345394,0.07800445808135638,0.05864881990739332,
coupled_mixed,DOP853,full,0.17500000000000002,0.013286104309483612,0.013116224096194048,0.153172941177981,0.016273990970900404,0.07589858510217973,0.07398721001740273,0.07768007418534126,0.05842666356912037,
coupled_mixed,DOP853,full,0.2,0.015183481056816214,0.014962577179585535,0.1535732084808963,0.01574765257060288,0.07589150809459932,0.07372157688453666,0.07735798354368752,0.05820536892822214,
coupled_mixed,DOP853,full,0.225,0.017080677381517105,0.016802329780961384,0.1539603368848571,0.015222883565916313,0.07588415116279698,0.0734591646316544,0.07703816718046588,0.05798493337819571,
coupled_mixed,DOP853,full,0.25,0.01897768627572914,0.018635561912462347,0.15433436596236377,0.014699710935842613,0.07587651352322443,0.07319993254858345,0.07672060625773056,0.057765354316327164,
coupled_mixed,DOP853,full,0.275,0.020874500711760332,0.020462352574328036,0.15469533595814583,0.01417816147928408,0.07586859437298517,0.07294384039263489,0.07640528207485389,0.0575466291437701,
