case,tau,Q_ward,I_wrong,C_wrong,weighted_C_plus_I
coupled_mixed,0.0,-2.8842326965652964e-05,0.0,1.734723475976807e-18,1.734723475976807e-18
coupled_mixed,0.025,-2.776095399518899e-05,-7.0950120790092e-07,7.054743578760458e-07,6.999562638754318e-18
coupled_mixed,0.05,-2.6700816593478978e-05,-1.3960523612936442e-06,1.3802607295842345e-06,1.3931997916438732e-17
coupled_mixed,0.07500000000000001,-2.5661509442512654e-05,-2.0598969592078878e-06,2.025067276855211e-06,1.8154880674975046e-17
coupled_mixed,0.1,-2.464263485505119e-05,-2.7012754317008484e-06,2.640587335631453e-06,1.8616090114755013e-17
coupled_mixed,0.125,-2.3643802653152335e-05,-3.3204251672889042e-06,3.2274997250336668e-06,5.649159186770468e-17
coupled_mixed,0.15000000000000002,-2.2664630048162444e-05,-3.91758054087577e-06,3.786469050033603e-06,1.2533715927111333e-16
coupled_mixed,0.17500000000000002,-2.170474152216246e-05,-4.492972942158025e-06,4.318145998180242e-06,1.8024014084624257e-16
coupled_mixed,0.2,-2.0763768710834818e-05,-5.0468308044891455e-06,4.823167630391492e-06,1.384881928101836e-16
coupled_mixed,0.225,-1.9841350287750237e-05,-5.5793796341832496e-06,5.302157666019561e-06,-3.1500308275440175e-17
coupled_mixed,0.25,-1.8937131850045976e-05,-6.090842040239762e-06,5.7557267621796e-06,-2.602296972202024e-16
coupled_mixed,0.275,-1.8050765805489692e-05,-6.581437764470206e-06,6.184472787447437e-06,-3.72717366681468e-16
coupled_mixed,0.30000000000000004,-1.7181911260905286e-05,-7.051383712008343e-06,6.588981089961088e-06,-2.0974653356384612e-16
coupled_mixed,0.325,-1.6330233911948568e-05,-7.500893982184852e-06,6.969824759922583e-06,3.1992434417794924e-18
coupled_mixed,0.35000000000000003,-1.5495405934219967e-05,-7.930179899751319e-06,7.327564887521856e-06,2.0454151610296845e-17
coupled_mixed,0.375,-1.4677105875688908e-05,-8.339450046434189e-06,7.662750815760552e-06,2.6346112791397758e-17
coupled_mixed,0.4,-1.3875018550445033e-05,-8.728910292792687e-06,7.975920387212967e-06,2.044906941261332e-17
coupled_mixed,0.42500000000000004,-1.3088834933724881e-05,-9.098763830376433e-06,8.26760018662713e-06,6.965321331861563e-17
coupled_mixed,0.45,-1.231825205823549e-05,-9.449211204157889e-06,8.538305778292218e-06,1.759304372106127e-16
coupled_mixed,0.47500000000000003,-1.1562972911740221e-05,-9.780450345222098e-06,8.78854193876212e-06,2.978591359019747e-16
coupled_mixed,0.5,-1.0822706335903137e-05,-1.0092676603697041e-05,9.018802884853613e-06,3.385743156105944e-16
coupled_mixed,0.525,-1.0097166926377379e-05,-1.0386082781908065e-05,9.229572497089153e-06,1.8965406502202686e-16
coupled_mixed,0.55,-9.38607493413757e-06,-1.0660859167739694e-05,9.421324538698775e-06,-1.3601824473599006e-16
coupled_mixed,0.5750000000000001,-8.689156168025219e-06,-1.0917193568188261e-05,9.594522870045794e-06,-5.2995463377912555e-16
coupled_mixed,0.6000000000000001,-8.006141898513628e-06,-1.1155271343088705e-05,9.749621658778143e-06,-7.286550106778283e-16
coupled_mixed,0.625,-7.336768762679097e-06,-1.1375275438998919e-05,9.887065585490254e-06,-5.069593833270658e-16
coupled_mixed,0.65,-6.680778670362791e-06,-1.1577386423225064e-05,1.0007290045056794e-05,-3.963436566792322e-17
coupled_mixed,0.675,-6.0379187115141685e-06,-1.1761782517972904e-05,1.0110721344104914e-05,1.2866430468792822e-17
coupled_mixed,0.7000000000000001,-5.4079410646971134e-06,-1.1928639634615458e-05,1.0197776895828903e-05,1.7406527066075872e-17
coupled_mixed,0.7250000000000001,-4.790602906782834e-06,-1.207813140804389e-05,1.0268865408358599e-05,1.5392282717505146e-17
coupled_mixed,0.75,-4.185666323783992e-06,-1.2210429231104805e-05,1.0324387070693997e-05,3.066598082239469e-17
coupled_mixed,0.775,-3.5928982228343974e-06,-1.2325702289103648e-05,1.0364733734575388e-05,8.354285958769164e-17
coupled_mixed,0.8,-3.012070245316011e-06,-1.2424117594356248e-05,1.0390289092578747e-05,1.6388224056886752e-16
coupled_mixed,0.8250000000000001,-2.4429586810994185e-06,-1.2505840020774897e-05,1.0401428852550854e-05,2.1420107983345649e-16
coupled_mixed,0.8500000000000001,-1.8853443839175147e-06,-1.257103233847535e-05,1.0398520908493428e-05,1.717952223621172e-16
coupled_mixed,0.875,-1.3390126878400858e-06,-1.2619855248391114e-05,1.038192550789803e-05,-8.029872339970767e-18
coupled_mixed,0.9,-8.037533248614337e-07,-1.2652467416881396e-05,1.0351995415663548e-05,-2.6806559901525195e-16
coupled_mixed,0.925,-2.793603435774072e-07,-1.2669025510319084e-05,1.0309076074525164e-05,-4.693799195891815e-16
coupled_mixed,0.9500000000000001,2.3436797104946228e-07,-1.2669684229645126e-05,1.0253505762128357e-05,-4.3286602329894314e-16
coupled_mixed,0.9750000000000001,7.376291768401884e-07,-1.2654596344875695e-05,1.0185615744713258e-05,-1.231433439377247e-16
coupled_mixed,1.0,1.2306167524818359e-06,-1.2623912729548487e-05,1.0105730427454468e-05,2.473336205982557e-19
coupled_mixed,1.0250000000000001,1.7135201745568322e-06,-1.2577782395098109e-05,1.001416750275215e-05,7.36071631163987e-18
coupled_mixed,1.05,2.186524993500437e-06,-1.2516352525146358e-05,9.91123809420194e-06,8.350050794032893e-18
coupled_mixed,1.075,2.649812908512607e-06,-1.2439768509692296e-05,9.797246897808379e-06,7.355634113956344e-18
coupled_mixed,1.1,3.1035618414370497e-06,-1.2348173979199046e-05,9.672492320438389e-06,2.6994940028994552e-17
coupled_mixed,1.125,3.547946009599878e-06,-1.2241710838558463e-05,9.53726661521645e-06,6.635656108790189e-17
coupled_mixed,1.1500000000000001,3.983135997620872e-06,-1.212051930092258e-05,9.391856014090427e-06,1.102243974262021e-16
coupled_mixed,1.175,4.409298828215785e-06,-1.1984737921391613e-05,9.2365408575594e-06,1.0895893020300418e-16
coupled_mixed,1.2000000000000002,4.82659803197733e-06,-1.183450363054816e-05,9.071595721697051e-06,3.239901023247699e-17
coupled_mixed,1.225,5.235193716158701e-06,-1.1669951767827373e-05,8.897289542437667e-06,-1.1171178728158065e-16
coupled_mixed,1.25,5.635242632459625e-06,-1.149121611471278e-05,8.713885737195864e-06,-2.7001546885983135e-16
coupled_mixed,1.2750000000000001,6.026898243819507e-06,-1.129842892774748e-05,8.521642323898113e-06,-3.1027325077693374e-16
coupled_mixed,1.3,6.410310790233055e-06,-1.1091720971350429e-05,8.320812037330635e-06,-1.5449880957918438e-16
coupled_mixed,1.3250000000000002,6.785627353588387e-06,-1.0871221550427516e-05,8.111642442912986e-06,-2.947674656444965e-18
coupled_mixed,1.35,7.152991921542586e-06,-1.0637058542765589e-05,7.894376048428117e-06,7.470830594782929e-19
coupled_mixed,1.375,7.51254545043969e-06,-1.0389358431207666e-05,7.669250413256182e-06,-1.4399560103323106e-19
coupled_mixed,1.4000000000000001,7.864425927266551e-06,-1.012824633559224e-05,7.4364982547460434e-06,-7.220108842395656e-18
coupled_mixed,1.425,8.208768430670007e-06,-9.85384604445498e-06,7.196347552715018e-06,1.0621793158568926e-18
coupled_mixed,1.4500000000000002,8.545705191040321e-06,-9.566280046481962e-06,6.949021651504392e-06,1.2913864313839063e-17
coupled_mixed,1.475,8.875365649654637e-06,-9.265669561703862e-06,6.694739359882143e-06,3.8480706793762864e-17
coupled_mixed,1.5,9.197876516908385e-06,-8.95213457242416e-06,6.433715048669714e-06,4.853498787767141e-17
coupled_mixed,1.5250000000000001,9.513361829624912e-06,-8.625793853874474e-06,6.1661587463061884e-06,3.022044149213893e-17
coupled_mixed,1.55,9.821943007462617e-06,-8.286765004590076e-06,5.892276232251012e-06,-3.407782953393501e-17
coupled_mixed,1.5750000000000002,1.012373890841461e-05,-7.935164476498647e-06,5.612269128367486e-06,-1.2499156982863358e-16
coupled_mixed,1.6,1.0418865883424309e-05,-7.571107604715436e-06,5.326334988254092e-06,-1.836630009860972e-16
coupled_mixed,1.625,1.0707437830110049e-05,-7.1947086370377775e-06,5.034667384573935e-06,-1.3455541883608188e-16
coupled_mixed,1.6500000000000001,1.0989566245611258e-05,-6.806080763132169e-06,4.737455994363246e-06,-1.786900705527672e-17
coupled_mixed,1.675,1.1265360278570535e-05,-6.405336143405091e-06,4.434886682511477e-06,-1.048457382111373e-17
coupled_mixed,1.7000000000000002,1.1534926780253996e-05,-5.992585937552361e-06,4.127141583673208e-06,-9.219953630863059e-18
coupled_mixed,1.725,1.1798370354810335e-05,-5.567940332789483e-06,3.814399181796546e-06,-1.2971462554252355e-17
coupled_mixed,1.75,1.2055793408688757e-05,-5.131508571746119e-06,3.49683438819956e-06,-8.725286389666548e-18
coupled_mixed,1.7750000000000001,1.2307296199215575e-05,-4.6833989800286424e-06,3.1746186177853547e-06,-9.324985716322592e-18
coupled_mixed,1.8,1.2552976882342038e-05,-4.223718993439657e-06,2.8479198635900788e-06,-6.84656731265651e-18
coupled_mixed,1.8250000000000002,1.2792931559564482e-05,-3.7525751848503813e-06,2.5169027695892687e-06,-2.366610054628515e-18
coupled_mixed,1.85,1.3027254324037398e-05,-3.2700732907222037e-06,2.1817287018770226e-06,4.338079239362899e-18
coupled_mixed,1.875,1.3256037305869666e-05,-2.77631823727348e-06,1.8425558182006557e-06,-1.067769733308771e-17
coupled_mixed,1.9000000000000001,1.3479370716629755e-05,-2.2714141662878827e-06,1.4995391359583915e-06,-4.581262398519609e-17
coupled_mixed,1.925,1.3697342893051207e-05,-1.7554644605604629e-06,1.1528305986028414e-06,-8.304671003883744e-17
coupled_mixed,1.9500000000000002,1.3910040339962714e-05,-1.2285717689775832e-06,8.025791405335408e-07,-7.952961748360077e-17
coupled_mixed,1.975,1.4117547772435173e-05,-6.90838031227025e-07,4.4893075045425446e-07,-2.6580105643076758e-17
coupled_mixed,2.0,1.4319948157166546e-05,-1.4236450213360239e-07,9.202853327137939e-08,-7.009674094562166e-18
coupled_mixed,2.025,1.4517322753106925e-05,4.1674822438938135e-07,-2.6798722928787766e-07,-1.3597261083595673e-17
coupled_mixed,2.0500000000000003,1.4709751151332443e-05,9.86400191756712e-07,-6.309790196099008e-07,-1.1726535880025347e-17
coupled_mixed,2.075,1.489731131417316e-05,1.5664920575165347e-06,-9.96812026509905e-07,-1.3189361779933524e-17
coupled_mixed,2.1,1.5080079613608455e-05,2.156925070537037e-06,-1.3653540888031168e-06,-1.9898497996898024e-17
coupled_mixed,2.125,1.525813086893698e-05,2.757601048580574e-06,-1.7364756402255682e-06,-2.2712764964150436e-17
coupled_mixed,2.15,1.543153838372399e-05,3.368422356268237e-06,-2.1100496556576698e-06,-2.635034795613403e-17
coupled_mixed,2.1750000000000003,1.560037398204417e-05,3.98929188343595e-06,-2.485951598574232e-06,-2.380586098258211e-17
coupled_mixed,2.2,1.5764708044017873e-05,4.620113023883145e-06,-2.864059369755631e-06,-1.8544092314238397e-17
coupled_mixed,2.225,1.5924609540655423e-05,5.260789654515354e-06,-3.244253257180321e-06,-1.0060210314539325e-17
coupled_mixed,2.25,1.6080146068016103e-05,5.9112261148815766e-06,-3.62641588712298e-06,-2.392359856225046e-17
coupled_mixed,2.275,1.6231383880690054e-05,6.571327187107751e-06,-4.010432176336856e-06,-3.077101290785422e-17
coupled_mixed,2.3000000000000003,1.6378387924609588e-05,7.240998076227402e-06,-4.39618928546083e-06,-2.287581880649689e-17
coupled_mixed,2.325,1.652122186920099e-05,7.920144390910534e-06,-4.783576573475987e-06,-4.687480330105298e-18
coupled_mixed,2.35,1.6659948138885577e-05,8.608672124598595e-06,-5.172485553265466e-06,-1.6898307297723292e-17
coupled_mixed,2.375,1.6794627943934794e-05,9.306487637034526e-06,-5.56280984813709e-06,-1.1751735110206163e-17
coupled_mixed,2.4000000000000004,1.6925321310691695e-05,1.0013497636190416e-05,-5.954445149549889e-06,-1.6567964448294115e-17
coupled_mixed,2.4250000000000003,1.7052087111161206e-05,1.0729609160598014e-05,-6.347289175683696e-06,-1.99527081055223e-17
coupled_mixed,2.45,1.7174983091985214e-05,1.1454729562077623e-05,-6.74124163109642e-06,-2.898546745504216e-17
coupled_mixed,2.475,1.7294065902804536e-05,1.2188766488868379e-05,-7.1362041672920484e-06,-3.6105626409661806e-17
coupled_mixed,2.5,1.7409391124019805e-05,1.2931627869159105e-05,-7.5320803442583545e-06,-3.1590940800796385e-17
coupled_mixed,2.5250000000000004,1.7521013293956915e-05,1.3683221895018667e-05,-7.928775592929219e-06,-2.300202671563778e-17
coupled_mixed,2.5500000000000003,1.762898593544765e-05,1.4443457006724792e-05,-8.326197178517777e-06,-5.38712954453735e-18
coupled_mixed,2.575,1.7733361581831128e-05,1.521224187749054e-05,-8.724254164765508e-06,4.950060543754131e-18
coupled_mixed,2.6,1.7834191802386574e-05,1.598948539858716e-05,-9.122857379008364e-06,8.290758487725092e-18
coupled_mixed,2.625,1.793152722720547e-05,1.677509666486255e-05,-9.521919378115487e-06,1.1011428314305904e-18
coupled_mixed,2.6500000000000004,1.8025417571507934e-05,1.7568984960654242e-05,-9.921354415222405e-06,-8.707498697774207e-19
coupled_mixed,2.6750000000000003,1.8115911659415357e-05,1.8371059746098843e-05,-1.032107840730559e-05,-8.626183534837795e-18
coupled_mixed,2.7,1.8203057447190615e-05,1.918123064383983e-05,-1.0721008903487317e-05,-9.429170768834871e-18
coupled_mixed,2.725,1.8286902045940717e-05,1.9999407426113368e-05,-1.1121065054154125e-05,-1.754035827174205e-17
coupled_mixed,2.75,1.8367491743805867e-05,2.0825500002231883e-05,-1.1521167580762215e-05,-1.2292142130554407e-17
coupled_mixed,2.7750000000000004,1.8444872027632885e-05,2.165941840645166e-05,-1.192123874644603e-05,-1.465028185571038e-17
coupled_mixed,2.8000000000000003,1.8519087604142843e-05,2.250107278622716e-05,-1.2321202327260014e-05,-2.3954091748351614e-17
coupled_mixed,2.825,1.8590182420606585e-05,2.3350373390850054e-05,-1.2720983584157616e-05,-3.1953470902221226e-17
coupled_mixed,2.85,1.8658199685024873e-05,2.420723056047013e-05,-1.3120509235639913e-05,-2.3784685158900754e-17
coupled_mixed,2.875,1.872318188583268e-05,2.5071554715495737e-05,-1.351970743108423e-05,-1.5087350856493598e-17
coupled_mixed,2.9000000000000004,1.878517081112881e-05,2.5943256346371168e-05,-1.391850772467125e-05,-4.7704895589362195e-18
coupled_mixed,2.9250000000000003,1.8844207567439756e-05,2.682224600372828e-05,-1.4316841049974785e-05,9.744267025213471e-18
coupled_mixed,2.95,1.8900332598025698e-05,2.7708434288910145e-05,-1.4714639695172574e-05,2.1412992906588713e-18
coupled_mixed,2.975,1.895358570073644e-05,2.860173184486375e-05,-1.511183727879832e-05,-6.528929957436147e-18
coupled_mixed,3.0,1.9004006045427162e-05,2.9502049347400308e-05,-1.5508368726149455e-05,-5.885184917522879e-18
coupled_mixed,3.0250000000000004,1.9051632190937476e-05,3.0409297496828943e-05,-1.5904170246246532e-05,-1.3864235280658388e-17
coupled_mixed,3.0500000000000003,1.909650210164392e-05,3.132338700994036e-05,-1.629917930930265e-05,-1.9766360857126353e-17
coupled_mixed,3.075,1.9138653163592798e-05,3.224422861235417e-05,-1.669333462478266e-05,-1.465028185571038e-17
coupled_mixed,3.1,1.9178122200220332e-05,3.317173303122119e-05,-1.7086576119986277e-05,-1.617494116076812e-17
coupled_mixed,3.125,1.9214945487669097e-05,3.4105810988278566e-05,-1.7478844919108227e-05,-2.142654543374478e-17
coupled_mixed,3.1500000000000004,1.9249158769706087e-05,3.504637319325533e-05,-1.7870083322830965e-05,-1.8709263738952986e-17
coupled_mixed,3.1750000000000003,1.928079727224973e-05,3.5993330337624855e-05,-1.826023478841872e-05,-2.4401325144501884e-17
coupled_mixed,3.2,1.930989571751569e-05,3.694659308870077e-05,-1.8649243910238283e-05,-2.290377089375628e-17
coupled_mixed,3.225,1.9336488337785146e-05,3.790607208407257e-05,-1.9037056400800223e-05,-1.7442102449860553e-17
coupled_mixed,3.25,1.936060888880402e-05,3.887167792637741e-05,-1.942361907221815e-05,-1.4785807127271067e-17
coupled_mixed,3.2750000000000004,1.938229066282321e-05,3.984332117840463e-05,-1.980887981810689e-05,-7.074419175467916e-18
coupled_mixed,3.3000000000000003,1.9401566501276823e-05,4.082091235852915e-05,-2.019278759593686e-05,-8.931115395849343e-18
coupled_mixed,3.325,1.9418468807120832e-05,4.18043619364706e-05,-2.057529240976491e-05,-1.208207795963534e-17
coupled_mixed,3.35,1.9433029556824018e-05,4.2793580329381096e-05,-2.0956345293414447e-05,-1.933267998813215e-17
coupled_mixed,3.375,1.9445280312027375e-05,4.378847789824926e-05,-2.1335898294019828e-05,-1.6866120045727628e-17
coupled_mixed,3.4000000000000004,1.945525223087392e-05,4.478896494461422e-05,-2.17139044559906e-05,-2.1141942363467336e-17
coupled_mixed,3.4250000000000003,1.946297607901778e-05,4.5794951707595905e-05,-2.2090317805301823e-05,-2.0003530082357557e-17
coupled_mixed,3.45,1.9468482240317473e-05,4.6806348361231374e-05,-2.246509333419383e-05,-5.204170427930421e-18
coupled_mixed,3.475,1.947180072722158e-05,4.782306501211552e-05,-2.2838186986227568e-05,-4.926343621231011e-18
coupled_mixed,3.5,1.947296119085226e-05,4.884501169734229e-05,-2.320955564163313e-05,-5.265156800132731e-18
coupled_mixed,3.5250000000000004,1.9471992930789853e-05,4.987209838274211e-05,-2.3579157103065934e-05,-1.8810907692623502e-17
coupled_mixed,3.5500000000000003,1.9468924904574502e-05,5.0904234961411424e-05,-2.3946950081633542e-05,-3.387454162659398e-17
coupled_mixed,3.575,1.946378573691439e-05,5.194133125253037e-05,-2.4312894183276326e-05,-3.6917083973131426e-17
coupled_mixed,3.6,1.9456603728625738e-05,5.298329700046406e-05,-2.4676949895458683e-05,-3.7052609244692114e-17
coupled_mixed,3.625,1.9447406865295055e-05,5.403004187414369e-05,-2.503907857413258e-05,-2.7945310995813877e-17
coupled_mixed,3.6500000000000004,1.943622282567822e-05,5.508147546672317e-05,-2.5399242431023775e-05,-1.2739375526704677e-17
coupled_mixed,3.6750000000000003,1.942307898983905e-05,5.613750729550952e-05,-2.575740452119904e-05,-1.8336569242161094e-17
coupled_mixed,3.7,1.940800244703319e-05,5.7198046802167194e-05,-2.6113528730869334e-05,-1.3552527156068805e-17
coupled_mixed,3.725,1.9391020003344363e-05,5.826300335317476e-05,-2.6467579765548574e-05,-2.4984083812212843e-17
coupled_mixed,3.75,1.9372158189076344e-05,5.9332286240548246e-05,-2.6819523138368537e-05,-1.4724820755068757e-17
coupled_mixed,3.7750000000000004,1.9351443265908596e-05,6.040580468281835e-05,-2.7169325158756322e-05,4.458781434346637e-18
coupled_mixed,3.8000000000000003,1.932890123382009e-05,6.14834678262593e-05,-2.7516952921283547e-05,2.064049885869279e-17
coupled_mixed,3.825,1.9304557837783172e-05,6.256518474636549e-05,-2.7862374294775755e-05,3.266159044612582e-17
coupled_mixed,3.85,1.927843857424188e-05,6.365086444957116e-05,-2.820555791167509e-05,1.666960840196463e-17
coupled_mixed,3.875,1.925056869736693e-05,6.47404158752091e-05,-2.8546473157592053e-05,-2.1412992906588713e-17
coupled_mixed,3.9000000000000004,1.922097322510578e-05,6.583374789770379e-05,-2.888509016110534e-05,-5.4304976314367703e-17
coupled_mixed,3.9250000000000003,1.9189676945022033e-05,6.69307693289946e-05,-2.92213797837889e-05,-7.14218181124826e-17
coupled_mixed,3.95,1.9156704419935676e-05,6.803138892118493e-05,-2.955531361042117e-05,-5.824876171678373e-17
coupled_mixed,3.975,1.9122079993366854e-05,6.91355153694125e-05,-2.9886863939416336e-05,-2.1304572689340162e-17
coupled_mixed,4.0,1.9085827794786668e-05,7.024305731493746e-05,-3.0216003773448144e-05,-4.784042086092288e-18
pure_electric,0.0,-6.592531877863553e-05,0.0,1.734723475976807e-18,1.734723475976807e-18
pure_electric,0.025,-6.35781522123418e-05,-1.6230210261938293e-06,1.6143720209162854e-06,-1.8401790779099675e-19
