id,kind,status,group,layout_x,layout_y
r3-production,history,limited,history_early,-0.1,0.93
r3-refinement,history,limited,history_early,-0.03,0.93
r3-controls,history,limited,history_early,0.04000000000000001,0.93
r3-benchmark,history,limited,history_early,0.11000000000000001,0.93
r4-response,history,limited,history_early,-0.1,0.8591666666666667
r4-audit,history,limited,history_early,-0.03,0.8591666666666667
r5-theorem,history,limited,history_early,-0.1,0.7883333333333333
r5-planner,history,limited,history_early,-0.03,0.7883333333333333
r5-gravity,history,limited,history_early,0.04000000000000001,0.7883333333333333
r6-coefficient,history,limited,history_early,-0.1,0.7175
r6-cofinal,history,limited,history_early,-0.03,0.7175
r6-tangent,history,limited,history_early,0.04000000000000001,0.7175
r6-repair,history,limited,history_early,0.11000000000000001,0.7175
r7-finite-scalar,history,limited,history_early,-0.1,0.6466666666666667
r7-gravity-scalar,history,limited,history_early,-0.03,0.6466666666666667
r7-subtraction,history,limited,history_early,0.04000000000000001,0.6466666666666667
r8-spectral,history,limited,history_early,-0.1,0.5758333333333333
r8-delayed,history,limited,history_early,-0.03,0.5758333333333333
r8-proof,history,limited,history_early,0.04000000000000001,0.5758333333333333
r9-haar,history,limited,history_early,-0.1,0.505
r9-wilson,history,limited,history_early,-0.03,0.505
r9-transfer,history,limited,history_early,0.04000000000000001,0.505
r10-gap,history,limited,history_early,-0.1,0.43416666666666665
r10-drive,history,limited,history_early,-0.03,0.43416666666666665
r10-quotient,history,limited,history_early,0.04000000000000001,0.43416666666666665
r11-operator,history,limited,history_early,-0.1,0.3633333333333333
r11-gap,history,limited,history_early,-0.03,0.3633333333333333
r11-dynamics,history,limited,history_early,0.04000000000000001,0.3633333333333333
r12-dynamic-tail,history,limited,history_early,-0.1,0.2925
r12-volume,history,limited,history_early,-0.03,0.2925
r12-closure,history,limited,history_early,0.04000000000000001,0.2925
r13-locality,history,limited,history_early,-0.1,0.22166666666666657
r13-stability,history,limited,history_early,-0.03,0.22166666666666657
r13-moments,history,limited,history_early,0.04000000000000001,0.22166666666666657
r13-response,history,limited,history_early,0.11000000000000001,0.22166666666666657
r14-loop1,history,proved-in-model,history_early,-0.1,0.15083333333333326
r14-loop2,history,proved-in-model,history_early,-0.03,0.15083333333333326
r15-A1,history,limited,history_early,-0.1,0.08
r15-A2,history,proved-in-model,history_early,-0.03,0.08
r15-B1,history,proved-in-model,history_early,0.04000000000000001,0.08
r15-B2,history,proved-in-model,history_early,0.11000000000000001,0.08
r15-C1,history,proved-in-model,history_early,0.18000000000000002,0.08
r15-C2,history,proved-in-model,history_early,-0.1,0.06
r16-loop1,history,proved-in-model,history_recent,0.9,0.93
r16-loop2,history,proved-in-model,history_recent,0.97,0.93
r17-a1,history,proved-in-model,history_recent,0.9,0.8355555555555556
r17-a2,history,proved-in-model,history_recent,0.97,0.8355555555555556
