lambda_over_alpha,gap_over_alpha,E0_over_alpha,dimension
0.0,3.0,0.0,24
0.25,3.007280310989530251197206088411291970693706330462609092316494395201784,0.2447973039378392961465743165775065596474193365802015903525128992744106,24
0.5,3.028986327101830805635577082259344505942282880084799030712340576679347,0.4792561932496177966758542213234499775073335615351325121975063022347253,24
0.75,3.06472315115304268371627299691713324809239614822905130201621602852675,0.703572717640830992467282992098221953624778681900191030345592272385504,24
1.0,3.1138638115063592323249339187492619192043510150470272524075274819805,0.9180581766242977242168370084256041711911216889564694982485701699662122,24
1.25,3.175590745044243080053663892076070649813671169488484507603111680556226,1.123118591684739093811996893576250924357713990462140541779454709532996,24
1.5,3.248944806606727404905745483270389868628667981853268355801413636016206,1.319230492447578608849492649503474906852396011561307820332902807778416,24
1.75,3.33287566585590318951957128301197691617582415315465677218691075631108,1.506916078148631407703594269501337412158365077554115922481907562951483,24
2.0,3.426288565734038755848665973718405022008761905619541173929939624504404,1.68672025679816452009076039732316634880696341710662535976003878339209,24
2.25,3.528084153180574085600848328225702020137826646537076622016734458861795,1.859191194002604583579534574413466765014203330645346245632032084033758,24
2.5,3.637189872920777885455194331273670267512927082331866805723776081169908,2.024865111371666340988913642204914328258035985827925800044560507524228,24
2.75,3.752582849915196441507954342895275023111702035934306688603217719826549,2.18425535543532531611777028059680987382865689423494238228938384441055,24
3.0,3.873305122391703064710254832001976655244963089868666279205161033623459,2.337845288701566173410829253796201283965076823805437108127929752806799,24
3.25,3.998472551631850795955448889081929615773996249563071395784816604602997,2.486084321861532188473881783300753952451073298597846930736347426050097,24
3.5,4.127278844164342934235129251877043752628158966488313995529693505390046,2.62938635165499908503269270335277811076170844802861724884054267461518,24
3.75,4.25899601246963704099466371970351617983627597604578339844160383621613,2.768129924753237085669550978310881316903160692706985815436531775630761,24
4.0,4.3929723852428112778068064505013349940359037476872710142369940045738,2.9026595574544830575510840453931208895281597825714976325227300777977,24
4.25,4.528629035571838807130993442442961556188815588959689356210245809802502,3.033287765027578150123630855193885591596632076828060357227956301318645,24
4.5,4.665455269781281572099603883432369437394653032518471815326172057972499,3.160297470695081873691909188010203292987794049435915753800727785395351,24
4.75,4.803003631403654956750830226774219262802494613130632561494615558056361,3.283944562204240484975087488919338183626978146276864494099742286890375,24
5.0,4.940884728644999680070029789351667175148228897960156530574860505839984,3.404460441010761071166387550992311528539671018768570951223603531945608,24
5.25,5.078762086466151251935154423916311587729243923533779619534635815226693,3.52205446669730498742841252346980455764595194322429045775435046834297,24
5.5,5.216347149202892446209223623260018495777576814628201617610187277703004,3.636916240503088031178172922598359610470897985160083040443688736579235,24
5.75,5.353394508996183240429465257151410786773655622009120516590853836722069,3.749217700271955701443112692780167122878045349411560857093874328249574,24
6.0,5.489697402393848455611450468756952170794365117519742627271105854094091,3.859115017961781240257699936529984390139801115042420051684555982711453,24
6.25,5.625083496761419636685571042017551365916882453912755054201609774217327,3.966750302774065631087557878328644097614062405781567250936104703043221,24
6.5,5.759410975383492136569025559935113175588498888565682988095273647395985,4.072253120043477801659354665148027147769239908331705809174141783781981,24
6.75,5.892564922331591740962826743435964896380812109192671413247566930902927,4.175741839827469365775672928535957352715294375386343567299067450591869,24
7.0,6.024454003284933890478852419444105086088848403074652380923200017684092,4.27732483077853850282676115245498883635730201914730672833698824843167,24
7.25,6.155007435228203823705266153796100762111425112974325427505015259280306,4.377101515155387975489198704977278889857692801530697197263919010567647,24
7.5,6.284172235561925543533180160630363584536352958527308709430381765772055,4.475163300276025895227621801185003562758116330566761285814591605860645,24
7.75,6.411910739251717634524557784820052818261614850100528762386778556157068,4.571594400699441078801105490976917261149276124527824046780416776885335,24
8.0,6.538198371041821797695374327533036148468062293550277467484611527333194,4.666472564180896539054036605098793361716848815693360485166553686461104,24
8.25,6.663021658419505171394485196795972942052750037524591901876400011841275,4.75986971313038949079863015146092193925065438302182581341332938626664,24
8.5,6.786376469951600862793379160841231324664826501663475981932340179574044,4.851852512006799062425548575572088028209537504137344276898658581807966,24
8.75,6.908266462849497918402119986084497231076198197061902732181144858537818,4.942482869854823849899477736173342134392191833985867438338684561282675,24
9.0,7.028701723173776874147974854732150349212808423722097060145161821648194,5.031818386065529744463584895372503942139875951335244872663023026839231,24
9.25,7.147697581966399460618192357938231206664330612948773427106113954466674,5.119912746425407554080930309999814469747806038040933164074616679591346,24
9.5,7.265273590779790235518784532314783364009541474010089712488722356428194,5.206816075614463097486671481303679814984885936484777126067981247167693,24
9.75,7.381452640525123027464665766038722876982694509086219142518964592053588,5.292575251516328731193700306144833013300124205280637917213332821467698,24
10.0,7.496260208242504244711941268635310628691358653149201935863328996555056,5.377234186004818978698202881144113328354429250809554664168267375721827,24
