family,x,value,comparator
jacobi,0.0,3.0,0.999999
jacobi,0.25,3.007280310989530251197206088411291970693706330462609092316494395201784,0.999999
jacobi,0.5,3.028986327101830805635577082259344505942282880084799030712340576679347,0.999999
jacobi,0.75,3.06472315115304268371627299691713324809239614822905130201621602852675,0.999999
jacobi,1.0,3.1138638115063592323249339187492619192043510150470272524075274819805,0.999999
jacobi,1.25,3.175590745044243080053663892076070649813671169488484507603111680556226,0.999999
jacobi,1.5,3.248944806606727404905745483270389868628667981853268355801413636016206,0.999999
jacobi,1.75,3.33287566585590318951957128301197691617582415315465677218691075631108,0.999999
jacobi,2.0,3.426288565734038755848665973718405022008761905619541173929939624504404,0.999999
jacobi,2.25,3.528084153180574085600848328225702020137826646537076622016734458861795,0.999999
jacobi,2.5,3.637189872920777885455194331273670267512927082331866805723776081169908,0.999999
jacobi,2.75,3.752582849915196441507954342895275023111702035934306688603217719826549,0.999999
jacobi,3.0,3.873305122391703064710254832001976655244963089868666279205161033623459,0.999999
jacobi,3.25,3.998472551631850795955448889081929615773996249563071395784816604602997,0.999999
jacobi,3.5,4.127278844164342934235129251877043752628158966488313995529693505390046,0.999999
jacobi,3.75,4.25899601246963704099466371970351617983627597604578339844160383621613,0.999999
jacobi,4.0,4.3929723852428112778068064505013349940359037476872710142369940045738,0.999999
jacobi,4.25,4.528629035571838807130993442442961556188815588959689356210245809802502,0.999999
jacobi,4.5,4.665455269781281572099603883432369437394653032518471815326172057972499,0.999999
jacobi,4.75,4.803003631403654956750830226774219262802494613130632561494615558056361,0.999999
jacobi,5.0,4.940884728644999680070029789351667175148228897960156530574860505839984,0.999999
jacobi,5.25,5.078762086466151251935154423916311587729243923533779619534635815226693,0.999999
jacobi,5.5,5.216347149202892446209223623260018495777576814628201617610187277703004,0.999999
jacobi,5.75,5.353394508996183240429465257151410786773655622009120516590853836722069,0.999999
jacobi,6.0,5.489697402393848455611450468756952170794365117519742627271105854094091,0.999999
jacobi,6.25,5.625083496761419636685571042017551365916882453912755054201609774217327,0.999999
jacobi,6.5,5.759410975383492136569025559935113175588498888565682988095273647395985,0.999999
