from,to,type
r19-a2,r20-d1,proven-dependency
r20-d1,r20-d2,proven-dependency
r20-d2,r20-e1,proven-dependency
r19-a1,r20-e2,proven-dependency
r19-a2,r20-e2,proven-dependency
r20-e1,r20-e2,proven-dependency
r19-c2,r20-f1,proven-dependency
r20-e2,r20-f1,proven-dependency
r20-f1,r20-f2,proven-dependency
r20-e2,r20-g1,proven-dependency
r20-f2,r20-g1,proven-dependency
r19-a2,r20-g2,proven-dependency
r20-e2,r20-g2,proven-dependency
r20-g1,r20-g2,proven-dependency
r19-a2,r20-h1,proven-dependency
r20-g2,r20-h1,proven-dependency
r19-a2,r20-h2,proven-dependency
r20-g2,r20-h2,proven-dependency
r20-h1,r20-h2,proven-dependency
r19-a1,r21-i1,proven-dependency
r19-a2,r21-i1,proven-dependency
r20-h2,r21-i2,proven-dependency
r21-i1,r21-i2,proven-dependency
r19-a2,r21-j1,proven-dependency
r20-g2,r21-j1,proven-dependency
r20-h2,r21-j1,proven-dependency
r21-i2,r21-j1,proven-dependency
r19-a2,r21-j2,proven-dependency
r20-g2,r21-j2,proven-dependency
r21-j1,r21-j2,proven-dependency
r20-f1,r21-k1,proven-dependency
r20-f2,r21-k1,proven-dependency
r21-j2,r21-k1,proven-dependency
r20-f2,r21-k2,proven-dependency
r21-k1,r21-k2,proven-dependency
r21-k2,r21-l1,proven-dependency
r21-k1,r21-l1,proven-dependency
r21-l1,r21-l2,proven-dependency
r21-k1,r21-l2,proven-dependency
r21-k2,r21-l2,proven-dependency
r19-a2,r21-m1,proven-dependency
r20-g2,r21-m1,proven-dependency
r20-h1,r21-m1,proven-dependency
r20-h2,r21-m1,proven-dependency
r21-i1,r21-m1,proven-dependency
r21-i2,r21-m1,proven-dependency
r21-j1,r21-m1,proven-dependency
r21-j2,r21-m1,proven-dependency
r21-k1,r21-m1,proven-dependency
r21-k2,r21-m1,proven-dependency
r19-a2,r21-m2,proven-dependency
r20-g2,r21-m2,proven-dependency
r20-h2,r21-m2,proven-dependency
r21-j1,r21-m2,proven-dependency
r21-j2,r21-m2,proven-dependency
r21-m1,r21-m2,proven-dependency
r19-a2,r22-n1,proven-dependency
r20-h2,r22-n1,proven-dependency
r21-m1,r22-n1,proven-dependency
r21-m2,r22-n1,proven-dependency
r21-i1,r22-n2,proven-dependency
r22-n1,r22-n2,proven-dependency
r21-i1,r22-o1,proven-dependency
r21-i2,r22-o1,proven-dependency
r22-n2,r22-o1,proven-dependency
r21-i1,r22-o2,proven-dependency
r21-i2,r22-o2,proven-dependency
r22-o1,r22-o2,proven-dependency
r19-c1,r22-p1,proven-dependency
r21-j2,r22-p1,proven-dependency
r21-k1,r22-p1,proven-dependency
r22-o2,r22-p1,proven-dependency
r19-c1,r22-p2,proven-dependency
r21-k1,r22-p2,proven-dependency
r22-p1,r22-p2,proven-dependency
r22-p2,r22-q1,proven-dependency
r22-p2,r22-q2,proven-dependency
r22-q1,r22-q2,proven-dependency
r21-i1,r22-r1,proven-dependency
r21-i2,r22-r1,proven-dependency
r22-o1,r22-r1,proven-dependency
r22-o2,r22-r1,proven-dependency
r22-q2,r22-r1,proven-dependency
r21-i1,r22-r2,proven-dependency
r21-i2,r22-r2,proven-dependency
r22-o1,r22-r2,proven-dependency
r22-o2,r22-r2,proven-dependency
r22-r1,r22-r2,proven-dependency
r21-i2,r23-s1,proven-dependency
r22-o1,r23-s1,proven-dependency
r22-o2,r23-s1,proven-dependency
r22-r1,r23-s1,proven-dependency
r22-r2,r23-s1,proven-dependency
r22-r2,r23-s2,proven-dependency
r22-o1,r23-s2,proven-dependency
r23-s1,r23-s2,proven-dependency
r22-p2,r23-t1,proven-dependency
r22-q1,r23-t1,proven-dependency
r22-q2,r23-t1,proven-dependency
r23-s2,r23-t1,proven-dependency
r22-q2,r23-t2,proven-dependency
r23-t1,r23-t2,proven-dependency
r19-a2,r23-u1,proven-dependency
r20-h2,r23-u1,proven-dependency
r21-m1,r23-u1,proven-dependency
r21-m2,r23-u1,proven-dependency
r22-n1,r23-u1,proven-dependency
r22-n2,r23-u1,proven-dependency
r19-a2,r23-u2,proven-dependency
r20-h2,r23-u2,proven-dependency
r21-m1,r23-u2,proven-dependency
r21-m2,r23-u2,proven-dependency
r22-n1,r23-u2,proven-dependency
r22-n2,r23-u2,proven-dependency
r23-u1,r23-u2,proven-dependency
r23-u2,r24-v1,proven-dependency
r23-u1,r24-v1,proven-dependency
r21-m2,r24-v2,proven-dependency
r23-u1,r24-v2,proven-dependency
r23-u2,r24-v2,proven-dependency
r24-v1,r24-v2,proven-dependency
r19-a2,r24-w1,proven-dependency
r21-i1,r24-w1,proven-dependency
r22-o1,r24-w1,proven-dependency
r22-r2,r24-w1,proven-dependency
r23-s2,r24-w1,proven-dependency
r23-s1,r24-w1,proven-dependency
r23-s2,r24-w2,proven-dependency
r24-w1,r24-w2,proven-dependency
r22-p2,r24-x1,proven-dependency
r22-q1,r24-x1,proven-dependency
r22-q2,r24-x1,proven-dependency
r23-t1,r24-x1,proven-dependency
r23-t2,r24-x1,proven-dependency
r22-q1,r24-x2,proven-dependency
r22-q2,r24-x2,proven-dependency
r23-t1,r24-x2,proven-dependency
r23-t2,r24-x2,proven-dependency
r24-x1,r24-x2,proven-dependency
r21-m1,r24-y1,proven-dependency
r21-m2,r24-y1,proven-dependency
r22-n1,r24-y1,proven-dependency
r23-u1,r24-y1,proven-dependency
r23-u2,r24-y1,proven-dependency
r24-v1,r24-y1,proven-dependency
r24-v2,r24-y1,proven-dependency
r24-w1,r24-y1,proven-dependency
r24-w2,r24-y1,proven-dependency
r24-x1,r24-y1,proven-dependency
r24-x2,r24-y1,proven-dependency
r17-a2,r24-y2,proven-dependency
r18-a2,r24-y2,proven-dependency
r19-a1,r24-y2,proven-dependency
r19-a2,r24-y2,proven-dependency
r21-m1,r24-y2,proven-dependency
r21-m2,r24-y2,proven-dependency
r23-u1,r24-y2,proven-dependency
r23-u2,r24-y2,proven-dependency
r24-y1,r24-y2,proven-dependency
