coupling,N,gap_lower,gap_upper,interval_width,mathieu_gap_float,finite_matrix_gap_float,positive_gap_certified
0,8,2.9999999999997584,3.000000000000682,9.237055564881302e-13,3.0,3.0,True
1/10,8,3.0011663753480122,3.001166375349335,1.3230911444349387e-12,3.0011663753485696,3.001166375348562,True
1,8,3.1138638115057113,3.113863811506979,1.26773798452277e-12,3.1138638115063593,3.113863811506359,True
2,8,3.426288565733578,3.4262885657346325,1.0544937869763927e-12,3.4262885657340387,3.426288565734038,True
2,16,3.426288565733763,3.426288565734431,6.676061767859448e-13,3.4262885657340387,3.426288565734048,True
4,8,4.392972385242256,4.39297238524309,8.343418175865632e-13,4.39297238524281,4.392972385242833,True
4,16,4.392972385242322,4.392972385243137,8.149450890521887e-13,4.39297238524281,4.3929723852428095,True
6,8,5.489697402392638,5.489697402399022,6.383540395143074e-12,5.4896974023938485,5.489697402398509,True
6,16,5.489697402393416,5.489697402394315,8.990240281271468e-13,5.4896974023938485,5.489697402393865,True
8,8,6.538198371010365,6.538198371258223,2.478581755889209e-10,6.538198371041821,6.538198371254052,True
8,16,6.538198371041426,6.538198371042065,6.389191606304746e-13,6.538198371041821,6.538198371041838,True
10,8,7.496260207609659,7.4962602118457635,4.236104858614429e-09,7.4962602082425045,7.496260211786583,True
10,16,7.496260208242049,7.496260208243154,1.1046612894586486e-12,7.4962602082425045,7.496260208242535,True
100,8,21.49936117300623,27.55644528877539,6.057084115769161,26.984486763981373,27.41683375256759,True
100,16,26.984486763946116,26.984486764067093,1.2097522983367526e-10,26.984486763981373,26.98448676406566,True
100,24,26.98448676398094,26.98448676398223,1.291411422243982e-12,26.984486763981373,26.984486763981593,True
