kappa,cutoff_n,matrix_dimension,E0_over_alpha,E1_over_alpha,gap_over_alpha,omitted_component_residual0,omitted_component_residual1
0.5,8,9,0.4792561932496244,3.5082425203514465,3.0289863271018223,5.145264080702246e-17,1.8206596451329096e-15
0.5,16,17,0.4792561932496268,3.5082425203514562,3.0289863271018294,8.566939530524632e-40,3.5150289188376744e-38
0.5,32,33,0.4792561932495362,3.5082425203514687,3.0289863271019324,1.2215444861700078e-49,5.5550042554525605e-52
0.5,64,65,0.479256193249662,3.5082425203510477,3.0289863271013857,6.98203072618755e-52,7.469531665831524e-49
1.0,8,9,0.9180581766242909,4.0319219881306605,3.1138638115063695,2.533906004895059e-14,4.663629017399191e-13
1.0,16,17,0.9180581766242805,4.031921988130643,3.1138638115063624,1.0769500938673669e-34,2.3078407193600172e-33
1.0,32,33,0.9180581766242281,4.031921988130614,3.1138638115063864,1.1212204932809913e-49,1.0616468671446282e-50
1.0,64,65,0.9180581766242245,4.031921988130891,3.113863811506667,4.680680393466442e-51,2.8216159700781285e-49
4.0,8,9,2.9026595574544833,7.2956319426973,4.392972385242817,3.788116484722328e-09,3.051300793380358e-08
4.0,16,17,2.9026595574544864,7.295631942697307,4.392972385242821,1.0062272587494089e-24,1.0041289597749321e-23
4.0,32,33,2.902659557454465,7.295631942697188,4.392972385242723,3.743127774015234e-51,8.323584019256929e-49
4.0,64,65,2.9026595574545815,7.2956319426973995,4.3929723852428175,2.221387158467296e-50,1.366443741005074e-49
