spatial_dimension,n_cells_per_side,n_vertices_per_side,E_links,P_plaquettes,kappa_lambda_over_alpha,log_bound_Delta_over_alpha,log10_bound_Delta_over_alpha,bound_Delta_over_alpha,bound_underflow
2,1,2,5,1,0.0,-4.009643948991797,-1.7413662414439008,0.018139852800000005,False
2,2,3,13,4,0.0,-12.18285392924765,-5.290946235305603,5.117451845387341e-06,False
2,3,4,25,9,0.0,-24.442668899631425,-10.615316226098155,2.4248438323942914e-11,False
2,4,5,41,16,0.0,-40.78908886014313,-17.71447621382156,1.9298510306569745e-18,False
2,6,7,85,36,0.0,-85.74174375155032,-37.23716618006092,5.792070240820813e-38,False
2,8,9,145,64,0.0,-147.0408186034692,-63.85901613402368,1.3835149804874982e-64,False
2,12,13,313,144,0.0,-318.67822818884207,-138.40019600511943,3.9792753797471994e-139,False
2,16,17,545,256,0.0,-555.7013176162617,-241.33801582710873,4.591812784670698e-242,False
2,24,25,1201,576,0.0,-1225.9045359972415,-532.4035753237683,0.0,True
2,32,33,2113,1024,0.0,-2157.650473746409,-937.0556946240024,0.0,True
2,1,2,5,1,0.05,-4.809643948991797,-2.088801826966502,0.008150761267862886,False
2,2,3,13,4,0.05,-15.382853929247648,-6.680688577396008,2.0859861597114552e-07,False
2,3,4,25,9,0.05,-31.642668899631424,-13.742236495801567,1.8103539927952986e-14,False
2,4,5,41,16,0.05,-53.589088860143136,-23.273445582183186,5.327879793555476e-24,False
2,6,7,85,36,0.05,-114.54174375155031,-49.74484725887457,1.799503688286012e-50,False
2,8,9,145,64,0.05,-198.24081860346922,-86.09489360747018,8.037229924034101e-87,False
2,12,13,313,144,0.05,-433.87822818884206,-188.430920320374,3.707487364871265e-189,False
2,16,17,545,256,0.05,-760.5013176162618,-330.2815257208947,0.0,True
2,24,25,1201,576,0.05,-1686.7045359972415,-732.5264725847867,0.0,True
2,32,33,2113,1024,0.05,-2976.850473746409,-1292.8297341991463,0.0,True
2,1,2,5,1,0.5,-12.009643948991798,-5.215722096669915,6.085242690052734e-06,False
2,2,3,13,4,0.5,-44.18285392924765,-19.18836965620966,6.480825735950277e-20,False
2,3,4,25,9,0.5,-96.44266889963143,-41.88451892313228,1.3046111227260338e-42,False
2,4,5,41,16,0.5,-168.78908886014312,-73.30416989743779,4.963980908859529e-74,False
2,6,7,85,36,0.5,-373.7417437515503,-162.31397696819744,4.8531423699683593e-163,False
2,8,9,145,64,0.5,-659.0408186034692,-286.21779086848863,6.056324426712479e-287,False
2,12,13,313,144,0.5,-1470.678228188842,-638.7074391576655,0.0,True
2,16,17,545,256,0.5,-2603.701317616262,-1130.7731147649683,0.0,True
2,24,25,1201,576,0.5,-5833.9045359972415,-2533.6325479339525,0.0,True
2,32,33,2113,1024,0.5,-10349.65047374641,-4494.796090375441,0.0,True
3,1,2,13,6,0.0,-12.18285392924765,-5.290946235305603,5.117451845387341e-06,False
3,2,3,55,36,0.0,-55.09220632559087,-23.926241203079538,1.1851103661789823e-24,False
3,3,4,145,108,0.0,-147.0408186034692,-63.85901613402368,1.3835149804874982e-64,False
3,4,5,301,240,0.0,-306.4184132184583,-133.07582601432685,8.397963556805536e-134,False
3,6,7,883,756,0.0,-901.0194392820714,-391.30777056776566,0.0,True
3,8,9,1945,1728,0.0,-1986.0130641610358,-862.5145147529066,0.0,True
3,12,13,6085,5616,0.0,-6215.649228943439,-2699.422161576337,0.0,True
3,16,17,13873,13056,0.0,-14172.26914472251,-6154.938285600703,0.0,True
3,24,25,45001,43200,0.0,-45974.22917789803,-19966.354041716586,0.0,True
3,32,33,104545,101376,0.0,-106807.43106094233,-46385.87793602923,0.0,True
3,1,2,13,6,0.05,-16.98285392924765,-7.375559748441212,4.211533422307854e-08,False
3,2,3,55,36,0.05,-83.89220632559088,-36.43392228189319,3.6819485715746963e-37,False
3,3,4,145,108,0.05,-233.4408186034692,-101.38205937046465,4.148973199922764e-102,False
3,4,5,301,240,0.05,-498.4184132184583,-216.4603665397512,3.4644433183485055e-217,False
3,6,7,883,756,0.05,-1505.8194392820715,-653.9690732228523,0.0,True
3,8,9,1945,1728,0.05,-3368.413064161036,-1462.8832065359618,0.0,True
3,12,13,6085,5616,0.05,-10708.449228943438,-4650.620409871267,0.0,True
3,16,17,13873,13056,0.05,-24617.06914472251,-10691.057290183788,0.0,True
3,24,25,45001,43200,0.05,-80534.22917789803,-34975.57133629297,0.0,True
3,32,33,104545,101376,0.05,-187908.23106094234,-81607.50785396848,0.0,True
3,1,2,13,6,0.5,-60.18285392924765,-26.13708136666169,7.293208565202354e-27,False
3,2,3,55,36,0.5,-343.0922063255909,-149.00305199121607,9.92997165444711e-150,False
3,3,4,145,108,0.5,-1011.0408186034692,-439.0894484984332,0.0,True
3,4,5,301,240,0.5,-2226.418413218458,-966.9212312685703,0.0,True
3,6,7,883,756,0.5,-6949.019439282071,-3017.9207971186324,0.0,True
3,8,9,1945,1728,0.5,-15810.013064161036,-6866.201432583459,0.0,True
3,12,13,6085,5616,0.5,-51143.64922894344,-22211.404644525635,0.0,True
3,16,17,13873,13056,0.5,-118620.26914472251,-51516.128331431544,0.0,True
3,24,25,45001,43200,0.5,-391574.229177898,-170058.5269874804,0.0,True
3,32,33,104545,101376,0.5,-917815.4310609424,-398602.1771154217,0.0,True
