steps,t,energy,integrated_work,norm_defect,work_defect
80,0.025,0.0001927409381221329,0.00019274093884690465,2.220446049250313e-16,-7.247717508616913e-13
80,0.05,0.0007706665147349843,0.0007706665281726439,2.220446049250313e-16,-1.3437659622181353e-11
80,0.07500000000000001,0.0017328852948859529,0.0017328853644520237,0.0,-6.956607078584254e-11
80,0.1,0.003077912484390346,0.0030779127052548124,-1.1102230246251565e-16,-2.2086446647279212e-10
80,0.125,0.004803671336530398,0.004803671875017385,2.220446049250313e-16,-5.384869867716691e-10
80,0.15,0.006907495142418354,0.006907496254126742,2.220446049250313e-16,-1.1117083885403556e-09
80,0.17500000000000002,0.009386129825535395,0.009386131871846995,-4.440892098500626e-16,-2.0463115993352154e-09
80,0.2,0.012235737166149204,0.012235740628815014,0.0,-3.4626658103331653e-09
80,0.225,0.01545189868601659,0.015451904179540009,2.220446049250313e-16,-5.493523419150548e-09
80,0.25,0.019029620227899332,0.019029628509467034,4.440892098500626e-16,-8.281567702439485e-09
80,0.275,0.02296333726787299,0.022963349244621113,6.661338147750939e-16,-1.197674812103422e-08
80,0.30000000000000004,0.027246921001118467,0.027246937734560432,4.440892098500626e-16,-1.673344196539972e-08
80,0.32500000000000007,0.03187368524378411,0.031873707951268815,8.881784197001252e-16,-2.2707484705064562e-08
80,0.35000000000000003,0.036836394194541176,0.03683642424765496,8.881784197001252e-16,-3.005311378229125e-08
80,0.37500000000000006,0.04212727109958779,0.04212731001945826,8.881784197001252e-16,-3.8919870472275964e-08
80,0.4,0.04773800786405198,0.04773805731355953,4.440892098500626e-16,-4.9449507551202476e-08
80,0.42500000000000004,0.053659775650996576,0.05365983742394554,4.440892098500626e-16,-6.177294896436702e-08
80,0.45000000000000007,0.05988323650652979,0.05988331251387821,6.661338147750939e-16,-7.600734842211354e-08
80,0.47500000000000003,0.06639855604589419,0.06639864829918575,2.220446049250313e-16,-9.225329156148376e-08
80,0.5,0.07319541723086517,0.07319552782305128,2.220446049250313e-16,-1.1059218610331989e-07
80,0.525,0.08026303526338423,0.08026316634726528,2.220446049250313e-16,-1.310838810553161e-07
80,0.55,0.08759017361413199,0.0875903273786853,-1.1102230246251565e-16,-1.5376455331228556e-07
80,0.5750000000000001,0.09516516119777872,0.09516533984267568,-2.220446049250313e-16,-1.786448969587351e-07
80,0.6000000000000001,0.10297591069901403,0.1029761164076598,-6.661338147750939e-16,-2.0570864577018622e-07
80,0.6250000000000001,0.11100993804523857,0.11101017295669535,-1.4432899320127035e-15,-2.3491145678677938e-07
80,0.65,0.11925438301310169,0.11925464919327702,-1.3322676295501878e-15,-2.6618017533175387e-07
80,0.675,0.12769603094698703,0.127696330359487,-9.992007221626409e-16,-2.9941249996001673e-07
80,0.7000000000000001,0.13632133555820602,0.13632167003526383,-1.6653345369377348e-15,-3.3447705780065284e-07
80,0.7250000000000001,0.1451164427641663,0.1451168139780623,-1.9984014443252818e-15,-3.712138960110245e-07
80,0.7500000000000001,0.15406721551726185,0.15406762495265294,-1.3322676295501878e-15,-4.0943539109106197e-07
80,0.775,0.1631592595638133,0.16315970849138287,-3.3306690738754696e-16,-4.489275695629402e-07
80,0.8,0.17237795006418474,0.17237843951601386,-6.661338147750939e-16,-4.894518291220784e-07
80,0.8250000000000001,0.1817084589963489,0.18170898974339236,-8.881784197001252e-16,-5.307470434534611e-07
80,0.8500000000000001,0.19113578325677918,0.1911363557888094,-1.2212453270876722e-15,-5.72532030201911e-07
80,0.8750000000000001,0.20064477336473818,0.20064538787309183,-7.771561172376096e-16,-6.145083536468476e-07
80,0.9,0.21022016266890994,0.2102208190323407,-1.1102230246251565e-15,-6.56363430745488e-07
80,0.925,0.21984659694899633,0.2198472947228996,-7.771561172376096e-16,-6.977739032687502e-07
80,0.9500000000000001,0.22950866429945144,0.2295094027086904,-1.2212453270876722e-15,-7.384092389761676e-07
80,0.9750000000000001,0.23919092517806562,0.23919170311357874,-1.7763568394002505e-15,-7.779355131187771e-07
80,1.0,0.24887794249867287,0.24887875851800118,-1.5543122344752192e-15,-8.160193283035522e-07
80,1.025,0.25855431164493875,0.2585551639767593,-1.4432899320127035e-15,-8.523318205666541e-07
80,1.05,0.26820469028100935,0.2682055768337111,-1.2212453270876722e-15,-8.865527017509756e-07
80,1.075,0.2778138278348135,0.2778147462091011,-2.4424906541753444e-15,-9.183742876173184e-07
80,1.0999999999999999,0.28736659453103197,0.28736754203648585,-1.6653345369377348e-15,-9.475054538743422e-07
80,1.125,0.2968480098531587,0.29684898352863565,-8.881784197001252e-16,-9.736754769673617e-07
80,1.15,0.3062432703177178,0.3062442669554176,-1.5543122344752192e-15,-9.966376998127302e-07
80,1.175,0.3155377764484851,0.315538792621459,-1.2212453270876722e-15,-1.0161729739333047e-06
80,1.2,0.32471715884448155,0.32471819093731913,-8.881784197001252e-16,-1.0320928375828764e-06
80,1.225,0.33376730324252746,0.3337683474849022,-1.1102230246251565e-15,-1.0442423747369922e-06
80,1.25,0.34267437448313576,0.3426754269858558,-1.2212453270876722e-15,-1.0525027200336545e-06
80,1.275,0.3514248392974649,0.351425896090637,-9.992007221626409e-16,-1.0567931721383594e-06
80,1.3,0.3600054878428125,0.3600065449156947,-1.1102230246251565e-15,-1.0570728822267839e-06
80,1.325,0.36840345392462254,0.36840450726670687,-1.1102230246251565e-15,-1.0533420843339414e-06
80,1.35,0.3766062338540485,0.37660727949690787,-1.7763568394002505e-15,-1.0456428593541567e-06
80,1.375,0.3846017039017244,0.38460273796111916,-1.2212453270876722e-15,-1.0340593947777421e-06
80,1.4,0.39237813632025825,0.39237915503802023,-9.992007221626409e-16,-1.018717761980259e-06
80,1.425,0.39992421392016664,0.399925213705335,-1.2212453270876722e-15,-9.997851683762882e-07
80,1.45,0.40722904319609177,0.4072300206648094,-7.771561172376096e-16,-9.774687176333785e-07
80,1.475,0.4142821660123084,0.4142831180259836,-8.881784197001252e-16,-9.520136752261266e-07
80,1.5,0.4210735698684147,0.4210744935696673,-1.1102230246251565e-15,-9.23701252597553e-07
80,1.525,0.42759369677763065,0.4275945896235672,-1.5543122344752192e-15,-8.928459365731278e-07
80,1.55,0.4338334508011659,0.4338343105935546,-2.1094237467877974e-15,-8.597923886743963e-07
80,1.575,0.4397842042925081,0.4397850292044613,-1.9984014443252818e-15,-8.249119531900106e-07
80,1.6,0.44543780291512924,0.44543859151393067,-2.3314683517128287e-15,-7.885988014266765e-07
80,1.625,0.45078656950584206,0.45078732077160744,-3.1086244689504383e-15,-7.512657653752086e-07
80,1.65,0.45582330686380945,0.4558240202037184,-1.887379141862766e-15,-7.133399089753745e-07
80,1.675,0.46054129955189804,0.4605419748097843,-2.220446049250313e-15,-6.752578862734282e-07
80,1.7,0.46493431480259195,0.4649349522637248,-1.5543122344752192e-15,-6.374611328241464e-07
80,1.725,0.4689966026249455,0.46899720301591047,-3.3306690738754696e-16,-6.003909649443528e-07
80,1.75,0.4727228952120953,0.47272345969572643,-1.3322676295501878e-15,-5.644836311158308e-07
80,1.775,0.47610840575052554,0.4761089359159022,-4.440892098500626e-16,-5.301653766554004e-07
80,1.8,0.47914882673262293,0.47914932458022014,-3.3306690738754696e-16,-4.978475972028384e-07
80,1.825,0.48184032787311953,0.4818407957952325,-5.551115123125783e-16,-4.679221129455513e-07
80,1.85,0.4841795537276684,0.48417999448431265,-5.551115123125783e-16,-4.4075664423770533e-07
80,1.875,0.4861636211082394,0.4861640377987749,-2.220446049250313e-16,-4.1669053546522505e-07
80,1.9,0.4877901163851807,0.4877905124159615,-2.220446049250313e-16,-3.9603078078043197e-07
80,1.925,0.48905709275979126,0.489057471808189,-1.4432899320127035e-15,-3.7904839772506804e-07
80,1.95,0.48996306758414065,0.4899634335593389,-1.5543122344752192e-15,-3.659751982576509e-07
80,1.975,0.49050701979677763,0.49050737679777456,-2.3314683517128287e-15,-3.5700099693114495e-07
80,2.0,0.4906883875339791,0.4906887398052638,-1.887379141862766e-15,-3.5227128469816904e-07
160,0.0125,4.818987945726438e-05,4.818987946858526e-05,0.0,-1.1320879943124001e-14
160,0.025,0.00019274093900590239,0.00019274093921621327,2.220446049250313e-16,-2.1031088112341556e-13
160,0.037500000000000006,0.0004335974465130271,0.00043359744760426114,0.0,-1.0912340367257023e-12
160,0.05,0.0007706665295575031,0.0007706665330328502,2.220446049250313e-16,-3.475347071756063e-12
160,0.0625,0.0012038181971719846,0.0012038182056793797,2.220446049250313e-16,-8.507395092213765e-12
160,0.075,0.0017328853703655971,0.0017328853880158646,2.220446049250313e-16,-1.7650267532254293e-11
160,0.08750000000000001,0.00235766392150935,0.002357663954187997,6.661338147750939e-16,-3.267864711470336e-11
160,0.1,0.0030779127226909534,0.0030779127783618757,2.220446049250313e-16,-5.5670922299161374e-11
160,0.1125,0.0038933537031670415,0.003893353792166883,2.220446049250313e-16,-8.899984135085637e-11
160,0.125,0.004803671916063112,0.004803672051385097,4.440892098500626e-16,-1.3532198452070876e-10
160,0.1375,0.005808515614493302,0.0058085158120588605,1.1102230246251565e-15,-1.9756555853095437e-10
160,0.15000000000000002,0.00690749633729118,0.006907496616208513,8.881784197001252e-16,-2.789173328063277e-10
160,0.16250000000000003,0.008100189004563737,0.008100189387371805,6.661338147750939e-16,-3.828080682305446e-10
160,0.17500000000000002,0.009386132023298058,0.00938613253619499,6.661338147750939e-16,-5.128969315232323e-10
160,0.18750000000000003,0.0107648274032682,0.010764828076322983,2.220446049250313e-16,-6.730547837813239e-10
160,0.2,0.012235740883505762,0.01223574175085218,2.220446049250313e-16,-8.673464186453872e-10
160,0.21250000000000002,0.013798302069612627,0.013798303169624462,-1.1102230246251565e-16,-1.1000118350923405e-09
160,0.22500000000000003,0.015451904582207979,0.015451905957654482,2.220446049250313e-16,-1.3754465032211893e-09
