case,degree,t,energy,integrated_work,work_defect,norm_defect
original,3,0.0,0.0,0.0,0.0,0.0
original,3,0.05,0.007706662451546702,0.00770666245127852,2.6818217785384846e-13,-1.638689184346731e-13
original,3,0.1,0.03077894362888327,0.03077894362881558,6.769237947956697e-14,-6.52811138479592e-14
original,3,0.15000000000000002,0.06907288256565225,0.06907288256536691,2.8534119511647305e-13,-1.7985612998927536e-13
original,3,0.2,0.12234582901395573,0.12234582901388541,7.031875082219585e-14,-6.439293542825908e-15
original,3,0.25,0.1902526894901059,0.19025268949027296,-1.6706080963047043e-13,-1.680877659282487e-13
original,3,0.30000000000000004,0.27234128909918326,0.2723412890990938,8.948397578478762e-14,-3.219646771412954e-15
original,3,0.35000000000000003,0.3680474195513542,0.3680474195514583,-1.0408340855860843e-13,-1.6431300764452317e-14
original,3,0.4,0.4766902428879017,0.4766902428878981,3.608224830031759e-15,-3.4861002973229915e-14
original,3,0.45,0.5974687770848548,0.5974687770847313,1.234568003383174e-13,-2.886579864025407e-15
original,3,0.5,0.7294602002936958,0.7294602002935789,1.1690648449302898e-13,-5.10702591327572e-15
original,3,0.55,0.871620674294358,0.8716206742945248,-1.6686652060116103e-13,-9.992007221626409e-15
original,3,0.6000000000000001,1.0227893068217953,1.022789306821852,-5.684341886080802e-14,-2.1316282072803006e-14
original,3,0.65,1.181695751140711,1.181695751140497,2.1382895454280515e-13,-5.218048215738236e-15
original,3,0.7000000000000001,1.3469717853703709,1.3469717853700658,3.05089287166993e-13,7.993605777301127e-15
original,3,0.75,1.517167030013871,1.5171670300136098,2.6134649999676185e-13,7.771561172376096e-15
original,3,0.8,1.6907687560978355,1.690768756097646,1.894040480010517e-13,1.1102230246251565e-15
original,3,0.8500000000000001,1.8662255138919057,1.8662255138917547,1.509903313490213e-13,-3.3306690738754696e-15
original,3,0.9,2.0419740785445453,2.0419740785443814,1.638689184346731e-13,-2.55351295663786e-15
original,3,0.9500000000000001,2.216468969777307,2.216468969777108,1.9895196601282805e-13,8.881784197001252e-16
original,3,1.0,2.38821356546493,2.3882135654647563,1.7363888105137448e-13,-3.219646771412954e-15
original,3,1.05,2.555791604331767,2.5557916043319193,-1.5232259897857148e-13,-4.340972026284362e-14
original,3,1.1,2.7178976766870813,2.717897676688934,-1.8527401834944612e-12,-2.532418719169982e-13
original,3,1.1500000000000001,2.8733651549357795,2.8733651549382047,-2.425171174991192e-12,-3.2451819009793326e-13
original,3,1.2000000000000002,3.021189942766546,3.021189942766364,1.816324868286756e-13,5.10702591327572e-15
original,3,1.25,3.1605484507392347,3.160548450736125,3.1099567365799885e-12,3.6548541970660153e-13
original,3,1.3,3.290808361434883,3.2908083614327617,2.121414155453749e-12,2.298161660974074e-13
original,3,1.35,3.411531046778502,3.411531046778223,2.788880237858393e-13,0.0
original,3,1.4000000000000001,3.5224649474414234,3.52246494744106,3.632649736573512e-13,7.993605777301127e-15
original,3,1.4500000000000002,3.6235298046066937,3.623529804610065,-3.3710811919718253e-12,-4.2787995369053533e-13
original,3,1.5,3.714792311195267,3.7147923111986043,-3.3373304120232206e-12,-4.1011638529653283e-13
original,3,1.55,3.796434464968619,3.7964344649663393,2.2795099141603714e-12,2.071676163950542e-13
