case,radius,z,z_over_radius,J,bound_rational,bound_display
fixed_time_and_coupling,4,8,2,1/4,2,2
slow_time_growth,4,2/5,1/10,1/80,8032242168321552108307840171078/6936120314977477490901947021484375,0.00115803097460365115818628617055561429386281
time_or_coupling_growth,4,4,1,1/8,2,2
fixed_time_and_coupling,8,8,1,1/4,2,2
slow_time_growth,8,4/5,1/10,1/40,150034550332902654221520719005851136/32882280126698046759702265262603759765625,0.00000456277818189029382324568079104955913209422
time_or_coupling_growth,8,8,1,1/4,2,2
fixed_time_and_coupling,16,8,1/2,1/4,2,2
slow_time_growth,16,8/5,1/10,1/20,741745144148277100972512719992387543236608/7625722179624978728986066926154308021068572998046875,9.72688391573104732046948393436078715677159E-11
time_or_coupling_growth,16,16,1,1/2,2,2
fixed_time_and_coupling,32,8,1/4,1/4,930826278712600424904032746010054920366207830236467004434284544/2348774665248037577039942809926302822713664501366479912161309814453125,3.96302928707851336898469188390591348449658E-7
slow_time_growth,32,16/5,1/10,1/10,3406741608830096216116615212487441398166603018797056/55406327167913211019670108366993380055731677202857099473476409912109375,6.14865085445151260797110349544492027171018E-20
time_or_coupling_growth,32,32,1,1,2,2
fixed_time_and_coupling,48,8,1/6,1/4,206596445557149740591519359239659646506551926591586304/96299761275169540658637655206978415731260244556025676398613702392578125,2.14534743203376665873137443248875555102744E-18
slow_time_growth,48,24/5,1/10,3/20,18307722026181628372136820409675396006073597952/409534575990253258028498293163073042111310684276759275235235691070556640625,4.47037273517470819552942033866130241568601E-29
time_or_coupling_growth,48,48,1,3/2,2,2
