kappa,mean_quad,mean_bessel,variance_quad,n0_residual,n1_residual
-20,-0.9259877485828846,-0.9259877485828848,0.0036485271869676206,-4.440892098500626e-15,0.0
-5,-0.719340581364313,-0.7193405813643129,0.05094477918386453,8.881784197001252e-16,-8.881784197001252e-16
-2,-0.43312742672231175,-0.4331274267223117,0.16270949213744074,-2.220446049250313e-16,2.7755575615628914e-16
-1,-0.24019372387008972,-0.2401937238700899,0.2217258034031499,-1.1102230246251565e-16,-1.8041124150158794e-16
-0.01,-0.002499989583398401,-0.0024999895833984383,0.24999687503255175,-1.0842021724855044e-16,1.6741775609070697e-16
0,3.413584174257759e-17,0.0,0.25,-1.0240752522773276e-16,0.0
0.01,0.0024999895833984643,0.0024999895833984383,0.24999687503255175,-8.153200337090993e-17,1.6805133673525319e-16
1,0.24019372387008972,0.2401937238700899,0.2217258034031499,1.1102230246251565e-16,-1.249000902703301e-16
2,0.4331274267223118,0.4331274267223117,0.1627094921374408,-2.220446049250313e-16,5.551115123125783e-17
5,0.7193405813643129,0.7193405813643129,0.05094477918386464,-4.440892098500626e-16,-8.881784197001252e-16
20,0.9259877485828848,0.9259877485828848,0.0036485271869673985,1.3322676295501878e-15,-4.440892098500626e-16
