id,k1,k2,eta,degree,status,lower,upper,width,lower_display,upper_display,width_display,interpretation
zero_degree0,0,0,0,0,certified-zero,0,0,0,0.0,0.0,0.0,exact endpoints; display fields are rounded
factorized_positive,1,2,0,24,certified-enclosure-inconclusive,-441754516481738813875490856684003564414480256724074100/7237863151985067503730051386149153228745462712757984661519063957209,441882980306790943705697573137504585368333090375369100/7237863151985067503730051386149153228745462712757984661519063957209,883637496788529757581188429821508149782813347099443200/7237863151985067503730051386149153228745462712757984661519063957209,-6.10338310086151e-14,6.105157986934298e-14,1.2208541087795808e-13,exact endpoints; display fields are rounded
factorized_signed,1,-2,0,24,certified-enclosure-inconclusive,-441882980306790943705697573137504585368333090375369100/7237863151985067503730051386149153228745462712757984661519063957209,441754516481738813875490856684003564414480256724074100/7237863151985067503730051386149153228745462712757984661519063957209,883637496788529757581188429821508149782813347099443200/7237863151985067503730051386149153228745462712757984661519063957209,-6.105157986934298e-14,6.10338310086151e-14,1.2208541087795808e-13,exact endpoints; display fields are rounded
factorized_double_negative,-1,-2,0,24,certified-enclosure-inconclusive,-441754516481738813875490856684003564414480256724074100/7237863151985067503730051386149153228745462712757984661519063957209,441882980306790943705697573137504585368333090375369100/7237863151985067503730051386149153228745462712757984661519063957209,883637496788529757581188429821508149782813347099443200/7237863151985067503730051386149153228745462712757984661519063957209,-6.10338310086151e-14,6.105157986934298e-14,1.2208541087795808e-13,exact endpoints; display fields are rounded
special_positive,0,0,1,24,certified-positive,202952448606247517214578488127059707773992734992440372598386018750/3379812683465711242243799869825668736696034111496301278776781320841,202952448606247517214578913172411802062717718603067316287844469182/3379812683465711242243799067889946410606982720494585440950282760841,1599328490527325611368963378807151214288466034184690692939055596338696963134944997081552185163521566087053312/11423133775315692015519444607060825992942507486984968304638543973845821733520145414686342477081930340203857515627845707976504091987281,0.06004843096752244,0.06004843096752244,1.4000785791227646e-25,exact endpoints; display fields are rounded
special_negative,0,0,-1,24,certified-negative,-202952448606247517214578913172411802062717718603067316287844469182/3379812683465711242243799067889946410606982720494585440950282760841,-202952448606247517214578488127059707773992734992440372598386018750/3379812683465711242243799869825668736696034111496301278776781320841,1599328490527325611368963378807151214288466034184690692939055596338696963134944997081552185163521566087053312/11423133775315692015519444607060825992942507486984968304638543973845821733520145414686342477081930340203857515627845707976504091987281,-0.06004843096752244,-0.06004843096752244,1.4000785791227646e-25,exact endpoints; display fields are rounded
special_five,0,0,5,32,certified-positive,816445526769738119397658018788055294784067009163658109129247371889373173137918713370120/4539966452170768325183480966282542029361831180780309025787961980926824931077831034430409,816445526769755417821815438488032644819618606570934015171244171889373173137918713370120/4539966452170739001723799793826114929694333627237128849586976380926824931077831034430409,102475272836211850896304555222059605600226179828363740337158022794110806686075782009939475459949855695391906697340786688283911362590963200000000000000000000000000/20611295386835900111300408378806235229336756195383654689974560257494300749820089610370202365923825621660761871079139600412009764220429621614742331826542561374065511211063907281,0.17983514534107575,0.17983514534108072,4.971801670537464e-15,exact endpoints; display fields are rounded
special_minus_five,0,0,-5,32,certified-negative,-816445526769755417821815438488032644819618606570934015171244171889373173137918713370120/4539966452170739001723799793826114929694333627237128849586976380926824931077831034430409,-816445526769738119397658018788055294784067009163658109129247371889373173137918713370120/4539966452170768325183480966282542029361831180780309025787961980926824931077831034430409,102475272836211850896304555222059605600226179828363740337158022794110806686075782009939475459949855695391906697340786688283911362590963200000000000000000000000000/20611295386835900111300408378806235229336756195383654689974560257494300749820089610370202365923825621660761871079139600412009764220429621614742331826542561374065511211063907281,-0.17983514534108072,-0.17983514534107575,4.971801670537464e-15,exact endpoints; display fields are rounded
central_N4,1,1,1/4,4,certified-enclosure-inconclusive,-325550043701/125829120000,286684632451/125829120000,25509778173/5242880000,-2.5872392948548,2.2783647573073704,4.865604052162171,exact endpoints; display fields are rounded
central_N8,1,1,1/4,8,certified-positive,1062992837894792660724680/189077986670454295879894641,3451972188240756888311240/186059517349525311627678321,5616197741114289583070439493470758818301553461760/434318011621292674998923856857107688739356011355281,0.005621980943490224,0.018553053546602482,0.01293107260311226,exact endpoints; display fields are rounded
central_N12,1,1,1/4,12,certified-positive,57646979743969135530311067010324211555996/4792646896085299792379585224166024029864641,57731164904404387575369474320674041917084/4792540529636854606625868606357708878930625,117472549274322413124789097099398657446567514870524657419782725969055744/6587431814579541578543829591461599728761544931112352607271340626845907280625,0.012028213426500498,0.012046046256134396,1.7832829633898894e-05,exact endpoints; display fields are rounded
central_N16,1,1,1/4,16,certified-positive,31132042913755813971079875954179590948253532021645510288/2586334899638603817019838028683162686614994941052894093561,31132062465852695730287465805892283798427265801517532816/2586334874934878369071822169165527775314139079284796989689,51337347967184118002015253639819844865370872398027189799842534388836997681355156296084516615422246712377344/6689128149196519601475594651987908674331923918884077581590252967462748636708310578706609850150620612286501118292529,0.012037127488055003,0.012037135162799277,7.67474427490982e-09,exact endpoints; display fields are rounded
central_N24,1,1,1/4,24,certified-positive,62155280990665262199334506252261142084021366278976376778374924431168865989717866501171142415000/5163629049814259970376855830918287172032876935858953938712942483267118289541144872245703407742841,62155280990665825401590919363828713532821282835018396786073102841568745742679871432138776335000/5163629049814259258780856782227986197284952297032818611070043504949640390231726064900525193342841,846739184837940601903282372828627218945895520555529769664187568449993650941615855487477456537413980935047270614271934254704890975296452383794090192442319889728798720000/7646892350567709678186343180089779656418358892838272402639620051428244623813416100668213848461683189458697783024146922766837797841436040084500868588375052775749672042949960109045694881,0.012037131325864906,0.012037131325865015,1.1072984240128321e-16,exact endpoints; display fields are rounded
central_N32,1,1,1/4,32,certified-positive,161291615311153449248155056692451747916564242564094937173218980131224308785715918369132550491674834990788491740373141358891664131680/13399506156801309865871027062696577639201041011627370502573513667037234589063257141705625410851399113615385093032785085051831425038003,161291615311153449248156734119854485832070241162220298436889411876011184377978464278115720922499915906038521486436731691789238388320/13399506156801309865871024943296992692601892599435992588963468130714911992972535899496600115080234433005050614228086343870834351404723,2535393354791083817880960493241452342295630246418676324107725861495560440330812867248440933335269959811414323658593624060789659938102821461414987111405429901841250431998444279878268055945068954589590681204641476261349289488573128117825044480/19949640582906245477538532439947248471212971647960365558528628945984174627927012747574952866041479746752513226231035769426854282489173607887130717605622950178312153047948804291453370855772641633690683145054104200980373121023090933187956216037559850537318075189854241,0.01203713132586496,0.01203713132586496,1.2708967583924913e-25,exact endpoints; display fields are rounded
