k1,k2,eta,covariance,direct_covariance,maximum_moment_difference,log_z_difference
0,0,0,0.0,-4.883831630076413e-19,7.216449660063518e-16,4.218847493575586e-15
1,2,0,-1.3877787807814457e-17,-1.3877787807814457e-17,4.996003610813204e-16,4.6629367034256575e-15
-1,2,0,1.3877787807814457e-17,0.0,4.996003610813204e-16,4.6629367034256575e-15
5,-3,0,0.0,-5.551115123125783e-17,7.771561172376096e-16,7.549516567451064e-15
100,-100,0,-1.1102230246251565e-16,0.0,9.992007221626409e-16,8.526512829121202e-14
0,0,1,0.06004843096752235,0.06004843096752242,1.0547118733938987e-15,3.9968028886505635e-15
0,0,-5,-0.17983514534107786,-0.17983514534107858,1.7763568394002505e-15,1.3322676295501878e-15
0,2,1,0.03908179882550292,0.039081798825502986,7.216449660063518e-16,3.774758283725532e-15
1,2,1,0.03096573466374314,0.030965734663743222,6.661338147750939e-16,4.440892098500626e-15
1,1,0.25,0.012037131325864939,0.012037131325864966,7.216449660063518e-16,4.6629367034256575e-15
-1,2,1,0.039304359448239484,0.03930435944823957,7.494005416219807e-16,3.9968028886505635e-15
1,-2,-1,-0.03096573466374314,-0.030965734663743194,6.661338147750939e-16,4.440892098500626e-15
3,-4,2,0.029840739704072305,0.02984073970407236,1.3808398868775384e-15,3.9968028886505635e-15
20,20,-20,-0.023653231878680347,-0.02365323187868046,1.2212453270876722e-15,1.7763568394002505e-14
30,-20,10,-0.001126164855473788,-0.001126164855473899,1.27675647831893e-15,7.105427357601002e-15
100,100,100,1.669422180872182e-05,1.669422180872182e-05,9.992007221626409e-16,1.1368683772161603e-13
100,100,-100,-0.004954016494385233,-0.004954016494385205,1.3322676295501878e-15,5.684341886080802e-14
