eta,covariance_1_2,covariance_0_0,tangent_1_2,false_factorization
-3.0,-0.1104583751671872,-0.1419809123268166,-0.1082306785964777,0.0
-2.9,-0.10769702321764728,-0.139185863082874,-0.10462298930992844,0.0
-2.8,-0.10484232079814333,-0.13627463333053527,-0.10101530002337918,0.0
-2.7,-0.10189335348277935,-0.13324268339741957,-0.09740761073682994,0.0
-2.6,-0.09884963642172699,-0.13008552630884526,-0.09379992145028067,0.0
-2.5,-0.09571117209527186,-0.1267987750117552,-0.09019223216373141,0.0
-2.4,-0.09247850823386944,-0.12337819601796705,-0.08658454287718216,0.0
-2.3,-0.08915279449245277,-0.11981976957615,-0.08297685359063289,0.0
-2.2,-0.08573583623726388,-0.1161197563176051,-0.07936916430408365,0.0
-2.1,-0.08223014359736985,-0.11227477011853483,-0.07576147501753439,0.0
-2.0,-0.07863897376818293,-0.10828185668057792,-0.07215378573098513,0.0
-1.9,-0.07496636444974984,-0.10413857705363484,-0.06854609644443588,0.0
-1.7999999999999998,-0.07121715627775416,-0.09984309501490742,-0.06493840715788661,0.0
-1.7,-0.06739700217837036,-0.09539426688337224,-0.06133071787133736,0.0
-1.5999999999999999,-0.06351236176452552,-0.09079173200108606,-0.0577230285847881,0.0
-1.5,-0.05957047920076068,-0.08603600176719023,-0.05411533929823885,0.0
-1.4,-0.05557934339940096,-0.08112854478648307,-0.05050765001168959,0.0
-1.2999999999999998,-0.0515476299656268,-0.07607186541456476,-0.04689996072514033,0.0
-1.2,-0.047484624966305414,-0.07086957277084327,-0.04329227143859108,0.0
-1.0999999999999999,-0.043400131329273714,-0.06552643717507156,-0.03968458215204182,0.0
-1.0,-0.03930435944823962,-0.06004843096752247,-0.036076892865492566,0.0
-0.8999999999999999,-0.035207804327595085,-0.05444275081896899,-0.032469203578943305,0.0
-0.7999999999999998,-0.03112111230041889,-0.0487178189399529,-0.028861514292394048,0.0
-0.6999999999999997,-0.027054940940490872,-0.04288326106642748,-0.025253825005844787,0.0
-0.5999999999999996,-0.023019816218361244,-0.03694985972700854,-0.021646135719295526,0.0
-0.5,-0.01902599118488975,-0.030929482069580187,-0.018038446432746283,0.0
-0.3999999999999999,-0.015083310479359444,-0.024834982412742148,-0.014430757146197024,0.0
-0.2999999999999998,-0.01120108474621942,-0.018680080649138415,-0.010823067859647763,0.0
-0.19999999999999973,-0.0073879786157666355,-0.012479218611486233,-0.007215378573098503,0.0
-0.09999999999999964,-0.0036519152881276523,-0.006247397459853142,-0.003607689286549244,0.0
0.0,0.0,0.0,0.0,0.0
0.10000000000000009,0.0035615361965142672,0.0062473974598531695,0.00360768928654926,0.0
0.20000000000000018,0.007027371795211346,0.012479218611486261,0.00721537857309852,0.0
0.30000000000000027,0.010393109644322815,0.018680080649138443,0.010823067859647779,0.0
0.40000000000000036,0.013655272285457848,0.024834982412742176,0.01443075714619704,0.0
0.5,0.016811279561619707,0.030929482069580187,0.018038446432746283,0.0
0.6000000000000001,0.019859410739241218,0.03694985972700857,0.021646135719295544,0.0
0.7000000000000002,0.02279875373186596,0.04288326106642751,0.0252538250058448,0.0
0.8000000000000003,0.025629144191589126,0.04871781893995296,0.02886151429239406,0.0
0.9000000000000004,0.028351097260008534,0.054442750818969037,0.03246920357894332,0.0
1.0,0.030965734663743194,0.06004843096752247,0.036076892865492566,0.0
1.1000000000000005,0.033474709627053956,0.06552643717507159,0.03968458215204184,0.0
1.2000000000000002,0.0358801317849764,0.07086957277084324,0.04329227143859109,0.0
1.2999999999999998,0.03818449394377127,0.07607186541456476,0.04689996072514033,0.0
1.4000000000000004,0.0403906021781098,0.08112854478648308,0.0505076500116896,0.0
1.5,0.04250151039897865,0.08603600176719023,0.05411533929823885,0.0
1.6000000000000005,0.0445204601906844,0.09079173200108605,0.05772302858478812,0.0
1.7000000000000002,0.046450826412379326,0.09539426688337226,0.06133071787133737,0.0
1.8000000000000007,0.04829606879718518,0.09984309501490746,0.06493840715788664,0.0
1.9000000000000004,0.050059689564024346,0.10413857705363488,0.06854609644443589,0.0
2.0,0.05174519688398305,0.10828185668057792,0.07215378573098513,0.0
2.1000000000000005,0.05335607391216468,0.11227477011853486,0.07576147501753441,0.0
2.2,0.054895753003511405,0.1161197563176051,0.07936916430408365,0.0
2.3000000000000007,0.05636759467190994,0.1198197695761501,0.08297685359063292,0.0
2.4000000000000004,0.05777487082056296,0.12337819601796703,0.08658454287718217,0.0
2.5,0.059120751762612445,0.1267987750117552,0.09019223216373141,0.0
2.6000000000000005,0.060408296559216146,0.13008552630884526,0.0937999214502807,0.0
2.7,0.061640446223105216,0.13324268339741957,0.09740761073682994,0.0
2.8000000000000007,0.06282001936514622,0.1362746333305353,0.1010153000233792,0.0
2.9000000000000004,0.06394970989631563,0.1391858630828741,0.10462298930992846,0.0
3.0,0.06503208643517056,0.1419809123268166,0.1082306785964777,0.0
