k1,k2,step,derivative,exact_identity_float,absolute_difference
0,0,0.1,0.06247397459853173,0.0625,2.6025401468267317e-05
0,0,0.05,0.062493490600416514,0.0625,6.50939958348612e-06
0,0,0.025,0.06249837245940905,0.0625,1.6275405909510487e-06
0,0,0.0125,0.06249959310293204,0.0625,4.0689706796298575e-07
1,2,0.1,0.03606725742320967,0.036076892865492566,9.635442282898699e-06
1,2,0.05,0.03607448361639287,0.036076892865492566,2.4092490996940885e-06
1,2,0.025,0.03607629052895023,0.036076892865492566,6.023365423379889e-07
1,2,0.0125,0.03607674227984137,0.036076892865492566,1.505856511985204e-07
-1,2,0.1,0.03606725742320967,0.036076892865492566,9.635442282898699e-06
-1,2,0.05,0.03607448361639287,0.036076892865492566,2.4092490996940885e-06
-1,2,0.025,0.03607629052895023,0.036076892865492566,6.023365423379889e-07
-1,2,0.0125,0.03607674227984137,0.036076892865492566,1.505856511985204e-07
10,-5,0.1,0.0007192266338468256,0.0007189259251025769,3.0070874424868114e-07
10,-5,0.05,0.0007190010502655664,0.0007189259251025769,7.512516298944453e-08
10,-5,0.025,0.0007189447031463736,0.0007189259251025769,1.8778043796665624e-08
10,-5,0.0125,0.0007189306194055334,0.0007189259251025769,4.6943029564450525e-09
