index,left,right,center,point_lower,point_upper,transported_lower,transported_upper
0,1/8,33/256,65/512,72070300859967376448242685755946844200394882838515614392163299689658425130797502437283711369222907692774079243210596816011864441738947591068596933860304592493890368225378737687008863109059993335475200/11663248332219249213920443897600412658376983599593087265313611729345782889923520173070756471973367440253269133028668433187117878444586419970567275449921443627031149447620461119309388060509410191975958841,72070300859967686310575318763330023847456586097773169220286961318223737672792825029372463352399932394631143800772574168667077691699883556183191185718593537525592915913619866779985147809158893703244800/11663248332219248816911766579856682285700490331683260283177419441468387144728494123193528915483465043744313765022833188207959084334239226242878566606200640403071418622096389442680613004430419811083798841,6786748687932399156829683655921979456924106407066910019080192991206773943560640450873873638547696929096895153233244351711919418640584163342993539618316532051404784818076495728564880895409948101905692359/2985791573048127798763633637785705640544507801495830339920284602712520419820421164306113656825182064704836898055339118895902176881814123512465222515179889568519974258590838046543203343490409009145845463296,30113245352370976512419048183269168390649376372713191603570881538933663988963457330712879533697847736769886578020612175386730973409409416625775510150160586009623205095983075338356810843575096599114467641/2985791573048127697129412244443310665139325524910914632493419377015907109050494495537543402363767051198544323845845296181237525589565241918176913051187363943186283167256675697326236929134187471637452503296
1,33/256,17/128,67/512,74291185999675964385900547706609733873147476739095708692454951815181049203765420184039106167303524486094256942366733434811634682153197484529101365164862000189934944682977331232556412359354355411584000/11667587153617146026349530521665431946076853546950924053585088480306162540039492567769841762647085752604300930096973091509892589409359214303359001381170429601979624342248223383829048129247483536501691841,74291185999676288999178122432476866811142677084859403941244255255446176447188158807120282624646102912428689160494176135301143313930601895200425353443938998881741702060891516094828533322977572940416000/11667587153617145610627982854268731246809013276135574340336621252538589841396716554602015256571400679665593529764510326922537055027587936453506420350919465367113452609694198987716549865335320919043003841,7350956462299900856441009691226659925448900498257577371683379184380186056124454999344169416182616515835828847148910667801885889221859341736090948101034242446643721496593973411705393434747231448863812159/2986902311325989382745479813546350578195674508019436557717782650958377610250110097349079491237653952666701038104825111426532502888795958861659904353579629978106783831615545186260236321087355785344433111296,30686130769534275594417582196982809150461538609859581749295150597932811011876885209224807608480803025247337954851019417559629743393822021624815310832567849080839328337282427107992654396017579591789499841/2986902311325989276320763610692795199183107398690707031126175040649878999397559437978115905682278573994391943619714643692169486087062511732097643609835383133981043868081714940855436765525842155275008983296
2,17/128,35/256,69/512,76512751457500606437100753818828169744233285585481040158466705597338006906721583373420471871438325376913608021514749443415083015525363331992204260004320176721479778698859536027433544550877492451302400/11672014395652981500826584748717790729605698309226557329402060967385414956038767162319396903702332403916287361795134163731834336638756284192281703319915841319147959040619024642967254333323731764427821009,76512751457500946476109870712971534494870738620099498425677051244640481525473205815757926683327976755741853447137283344913914506544992873410237547807836200401128173371287884415713436088783415528217600/11672014395652981065545094359762706488676123714114608924656877673199367827990797047532714875246627606571278216733430683131881380470929808926016407064189257590462882646266831824122242635666641218406649809,7915249977467173747071208228902220724918022800656588951165415665533114812081958181276243895385878892573596291712641693782426915335736728797722587241190123921550864306289016580055733071700906303105593391/2988035685287163264211605695671754426779058767161998676326927607650666228745924393553765607347797095402569564619554345915349590179521608753224116049898455377701877514398470308599617109330875331693522178304,31259278768773223363429221262283419319363032800860080521630202791827331098511937736366744106178589656041192699200575219429843494146447984519037219302995324893151695029316530234544882274395195593630355409/2988035685287163152779544156099252861101087670813339884712160684339038163965644044168375008063136667282247223483758254881761633400558031085060200208432449943158497957444308946975294114730660151912102351104
3,35/256,9/64,71/512,125976062502041880143669520287734390695598112598726492384226014831762297669183498197456584236518413221418334610586243549382367903614005079709373509254650299198385128363682418366063305634639646749696/18682448203013199327159039924722942125539854882914014124097364878096745826684576239068635301203545594385196967928001550827738443096465301474063632292121595246036365270939551952217085962165028815791225,125976062502042450014316341064123838833711870771596764783004088615031921308245781830445672229438935397381618602719545844875619361887530939692363965878587985421123447028951740966063305634639646749696/18682448203013198597998583586829079933211637656727431158318010996060539130921146784082636493082407618589913271771216167002628240160386818540919463289791475949312285784842695534217085962165028815791225,13567423797509521989620357268937061892533261942359967926264494918834402376626399299480250263345168190297896692382076797814147740228719998931535986077068881348750227590163147149495120280302720752130951/4782706739971379027752714220729073184138202850025987615768925408792766931631251517201570637108107672162610423789568397011901041432695117177360289866783128382985309509360525299767574006314247376842553600,50932320203536065801663566899244782674641876574256202942767057681508710985832066932676728583818775080319607634067419903290786796803594739102164638554710000217119888224254341221529292204632778383713401/4782706739971378841087637398228244462902179240122222376529410814991498017515813576725154942229096350359017797573431338752672829481059025546475382602186617843023945160919730056759574006314247376842553600
4,9/64,37/256,73/512,80958090656668953238328954371893941739222196853446219740674085782288976452149209788709931592204986278055554021830850487882596514738992037456945370783955247191049321500164386038489089936657536851840000/11681134417518682942056123501063088792995496984437494541625188104985920871514286845370230115524097760797265329785592425550432937088122507865590159176474841482831941420527894082163267903848857510457974409,80958090656669326272915906269128288249011212141254008483811766505574153571577880840947586577892483847472854842024750125834608879233941919919619649924338893769754411479114609712820013495745639948160000/11681134417518682464964881762090253455888117384181021665342983168445990943625782308458027598186532820294298975074516090846373137807764390760943026083571449099822399641791300730134238519958242055533174409,9044136790588569086956088818141760292245385410044737711987377855280057100235910860539512372080378726384956499803105299347511770685059453723387855744217701798076684883514188743689939119935471923613065591/2990370410884782833166367616272150731006847228015998602656048154876395743107657432414778909574169026764099924425111660940910831894559362013591080749177559419604977003655140885033796583385307522677241448704,32406405625626029990831353766987095247634987692342047837198795393872974257949719803740609762127008685247349814632852123060033010891653522260365656464202205904879528980444640816616161974869125882262134409/2990370410884782711031009731095104884707358050350341546327803691122173681568200270965255065135752401995340537619076119256671523278787684034801414677394290969554534308298572986914365061109309966216492648704
5,37/256,19/128,75/512,83181948083274940773762500130332223472726695298080239985203398775863965084202028559614479874586405874668906111776197588134576411819486912433651026876081295469367046097422926864046082607062302947763200/11685827339425650979329674039156633234308643000370337653522180823855484317720409209379493814129333256316576451317036292053477491336891054502912517804287115530493528858286885412281352632490885907236417841,83181948083275331441240801392085844037877435846432409947050061089763516299051008625832860002519056542086477371298077053127870495382968954981582013138009461365189824018468999576439353739299607745356800/11685827339425650479910413701963749757866963713415878357200888766078181182036689329007152016629720854083992394413545086840524993365638552543484674358948275650476978483599790207517936374915828061849153841,9608751369892733858753525994208415974709390995938203782689889262765690743835310101881813033764786647598663513297670290508974070088897595080102145075989696109664434942653383864914444514917063647390961359/2991571798892966650708396554024098107983012608094806439301678290907003985336424757601150416417109313617043571537161290765690237782244109952745604557897501575806343387721442665544026273917666792252522967296,32980406048744135328868058858337725831563587290102575303645704405057641354593747537220364177274599328858130601465852812441259840183678605018769669722278697759965573432327854099086410932176527644660494641/2991571798892966522857065907702719938013942710634464859443427524116014382601392468225830916257208538645502052969867542231174398301603469451132076635890758566522106491801546293124591711978451983833383383296
6,19/128,39/256,77/512,85406653200718084031129872230693095483610231625311739133966857566516435637672100584828353818021218183183939058426367316343199425403055618848053235749153112829676173864645582167357542225392987704704000/11690608966127600804228521879592285648869205682847508887214903523894269211473324236730481021743727365256410600296570512493452714527151087092393425058979632768937341183717012893050751673452264811033279841,85406653200718493132478658597504448711541046825058754485098395983352479425662628357551979458477754975527701181044338207564506520675094333792579301102848210932700963046016366129132870479972106407296000/11690608966127600281477626549915506075470837021026482543079562300974302388674787750012465839524105240567465655148067867806099623801749643226784144228782935467174081526451626187469067791011052259013311841,10173494253256228707740725411465146794935013613232296331080612013133938311770733512985577555669704489638677798660579520490406338376031151332708203292803564115459759325632256141792779136248340041370944159/2992795895328665805882501601175625126110516654808962275127015302116932918137171004603003141566394205505641113675922051198323894918950678295652716815098785988847959343031555300620992428403779791624519639296,33554712185511534523392163150876644945625345008241523691264751672712537121644420609545772580894410514302557157495418448942613293094573792677684445311112077465945528066231815916527082633883911499281087841/2992795895328665672058272396778369555320534277382779531028367949049421411500745664003191254918170941585271207717905374158361503693247908666056740922568431479596564870771616303992081354498829378307407831296
7,39/256,5/32,79/512,87632247877248462649177052233395540119801126224011719422043626098158498105731403079779174990064387692397091323044007154302730373294544233952240417030714493713930104508057019591530471552415479175910400/11695479372806541331389007209617929751815607509343082134425200233950300441010303657484075461951208113176903063496510131070468517518422577711872440096239392458055471094715651313271172111682012019377930009,87632247877248891020299478127681176509939283350013319253942471897657318457322873330514772684877998119279799492406997148441320472262054315616119375538232015534307139491007990611311127355629768298009600/11695479372806540784259586612282404932526860810564575716657096398799291322281179394590782773086547626002490797108656930188287221056503185257068163094141000292263381749676073302551410356973866163901398809,10738376083769065106800318162131328518853480804003918037617968047178275074056935530939393335505275136076752315202755700431030458044980746179901106663623517932710635659346945702160628605736350649655132391/2994042719438474580835585845662190016464795522391829026412851259891276912898637736315923318259509276973287184255106593554039940484716179894239344664637284469262200600247206736197420060590595076960750082304,34129334829382256885456253012968786119071317348167985445666369204599564847355834967202564580415315144538119467164848200189265261955589090054794723231928396269046009459374118899047058960015086848191856409/2994042719438474440770454172744295662726876367504531383464216678092618578503981925015240389910156192256637644059816174128201528590464815425809449752100096074819425727917074765453161051385309737958758095104
8,5/32,41/256,81/512,2943716107150646985387975096828161750376729067315625019211078737594575838361526066140057241189824624651128613615942149155197538481882665045189489571432194081705876897114355096979692120462314496/383298904979163258963030402918197944145102280115098610747561414271903181504194615476852804540632866471363950990889869761588695986655301457078998638679601729266955510886279943374270358968139045025,2943716107150661678393705468274656301810470755247712430296843970580263043239403134144503826573396320885988347310587760831095936132328300254293003291636156663614509694297755096979692120462314496/383298904979163240205023067693618981195266474696308563379652984874801548380785434866107613712751366603318975750636218783124740793006767365594377708355041138544352627033173943374270358968139045025,370292418451402369296291221869811463951340361117701394170474742552308233116356057455001849203962237439324974094791320422141873864706660794489510691607039955649748974774994961452530823870213465951/98124519674665794294535783147058673701146183709465244351375722053607214465073821562074317962402013816669171453667806658966706172583757173012223651501978042692340610786887665503813211895843595526400,1136890228409732629873811667571930994458746988039722945535645041343348887450072637207100593315540824750131992662146685555885300442882812230693386551013897244429667108773399248201071541806491556001/98124519674665789492485905329566459185988217522254992225191164127949196385481071325723549110464349850449657792162872008479933643009732445592160693338890531467354272520492529503813211895843595526400
9,41/256,21/128,83/512,92086273442791010399248240807202607767474710644702724915343126485561079933361225448055717230592704990825796548913265756915787657683271193684932736841475335923257237061057006305799232946918816522880000/11705486835125445371357113092800369510954144774538777418377449260448938228514468506168544227405189790530797426603249677080345371895644194831468572364723485265446708922605886588434437766131107771831045409,92086273442791479964680955011326522374443627611018881411323468982308486944477253909319735992665434286467311239296252994232616295356317761553633109821782150662104080570156511551872249850401542677120000/11705486835125444772147866744698465509248002331290830054990818831284509583600380757264190050603378249357370125330458159750003860397097158996734819115471628143755672678698313566233148321563452388791045409,11868599166229053290850436553843498077519381150505120159950391119854698234426005208533719383626542687120606489918546356690096268471273230751874208266694200730907143765024707025850165868280109258026234591/2996604629792114015067420951756894594804261062281927019104627010674928186499703937579147322215728586375884141210431917332568415205284913876855954525369212227954357484187106966639216068129563589588747624704,35279572836480063643106191227598055237105570999711663696289626890755482241386557758050042464725729426693001802590298926273553632008314505954464895229847858713254317304658380523512444283266247314133765409/2996604629792113861669853886642807170367488596810452494077649620808834453401697473859632652954464831835486752084597288896000988261656872703164113693560736804801452205746768272955685970320243811530507624704
