mask,face_count,moment_exact
0,0,1
1,1,0
2,1,0
3,2,0
4,1,0
5,2,0
6,2,0
7,3,0
8,1,0
9,2,0
10,2,0
11,3,0
12,2,0
13,3,0
14,3,0
15,4,0
16,1,0
17,2,0
18,2,0
19,3,0
20,2,0
21,3,0
22,3,0
23,4,0
24,2,0
25,3,0
26,3,0
27,4,0
28,3,0
29,4,0
30,4,0
31,5,0
32,1,0
33,2,0
34,2,0
35,3,0
36,2,0
37,3,0
38,3,0
39,4,0
40,2,0
41,3,0
42,3,0
43,4,0
44,3,0
45,4,0
46,4,0
47,5,0
48,2,0
49,3,0
50,3,0
51,4,0
52,3,0
53,4,0
54,4,0
55,5,0
56,3,0
57,4,0
58,4,0
59,5,0
60,4,0
61,5,0
62,5,0
63,6,1/1024
