ratio,ratio_float,c1_lower,c2_lower,c2_upper,c2_lower_float,status
0,0.0,3,3,3,3.0,certified-positive
1/4,0.25,3/2,861837585378607/562949953421312,53864849086163/35184372088832,1.5309310892394858,certified-positive
2/5,0.4,3/5,1908325424172241/2814749767106560,954162712086123/1407374883553280,0.6779733838059488,certified-positive
9/20,0.45,3/10,1120398989158283/2814749767106560,70024936822393/175921860444160,0.3980456814496886,certified-positive
49/100,0.49,3/50,2471292104901493/14073748835532800,1235646052450759/7036874417766400,0.17559586530790433,certified-positive
1/2,0.5,0,16914559611027/140737488355328,67658238444109/562949953421312,0.1201851746019642,certified-positive
51/100,0.51,-3/50,456368324639041/7036874417766400,912736649278107/14073748835532800,0.06485383958065555,certified-positive
13/25,0.52,-3/25,135124570551589/14073748835532800,67562285275807/7036874417766400,0.009601178202813471,certified-positive
12/23,0.5217391304347826,-3/23,0,0,0.0,zero-bound-insufficient
53/100,0.53,-9/50,-641389923248779/14073748835532800,-320694961624377/7036874417766400,-0.04557349507541481,negative-bound-insufficient
11/20,0.55,-3/10,-13694781021239/87960930222080,-438232992679643/2814749767106560,-0.1556916347594665,negative-bound-insufficient
3/5,0.6,-3/5,-75588467365611/175921860444160,-1209415477849771/2814749767106560,-0.4296706911509943,negative-bound-insufficient
