mask,face_count,odd_edge_count,moment_exact
0,0,0,1
1,1,4,0
2,1,4,0
3,2,8,0
4,1,4,0
5,2,8,0
6,2,8,0
7,3,12,0
8,1,4,0
9,2,6,0
10,2,6,0
11,3,8,0
12,2,8,0
13,3,10,0
14,3,10,0
15,4,12,0
16,1,4,0
17,2,6,0
18,2,6,0
19,3,8,0
20,2,8,0
21,3,10,0
22,3,10,0
23,4,12,0
24,2,8,0
25,3,8,0
26,3,8,0
27,4,8,0
28,3,12,0
29,4,12,0
30,4,12,0
31,5,12,0
32,1,4,0
33,2,8,0
34,2,6,0
35,3,10,0
36,2,6,0
37,3,10,0
38,3,8,0
39,4,12,0
40,2,6,0
41,3,8,0
42,3,10,0
43,4,12,0
44,3,8,0
45,4,10,0
46,4,12,0
47,5,14,0
48,2,8,0
49,3,10,0
50,3,8,0
51,4,10,0
52,3,10,0
53,4,12,0
54,4,10,0
55,5,12,0
56,3,10,0
57,4,10,0
58,4,12,0
59,5,12,0
60,4,12,0
61,5,12,0
62,5,14,0
63,6,14,0
64,1,4,0
65,2,8,0
66,2,6,0
67,3,10,0
68,2,6,0
69,3,10,0
70,3,8,0
71,4,12,0
72,2,8,0
73,3,10,0
74,3,8,0
75,4,10,0
76,3,10,0
77,4,12,0
78,4,10,0
79,5,12,0
80,2,6,0
81,3,8,0
82,3,10,0
83,4,12,0
84,3,8,0
85,4,10,0
86,4,12,0
87,5,14,0
88,3,10,0
89,4,10,0
90,4,12,0
91,5,12,0
92,4,12,0
93,5,12,0
94,5,14,0
95,6,14,0
96,2,8,0
97,3,12,0
98,3,8,0
99,4,12,0
100,3,8,0
101,4,12,0
102,4,8,0
103,5,12,0
104,3,10,0
105,4,12,0
106,4,12,0
107,5,14,0
108,4,10,0
109,5,12,0
110,5,12,0
111,6,14,0
112,3,10,0
113,4,12,0
114,4,12,0
115,5,14,0
116,4,10,0
117,5,12,0
118,5,12,0
119,6,14,0
120,4,12,0
121,5,12,0
122,5,16,0
123,6,16,0
124,5,12,0
125,6,12,0
126,6,16,0
127,7,16,0
128,1,4,0
129,2,6,0
130,2,6,0
131,3,8,0
132,2,8,0
133,3,10,0
134,3,10,0
135,4,12,0
136,2,6,0
137,3,6,0
138,3,6,0
139,4,6,0
140,3,10,0
141,4,10,0
142,4,10,0
143,5,10,0
144,2,6,0
145,3,6,0
146,3,6,0
147,4,6,0
148,3,10,0
149,4,10,0
150,4,10,0
151,5,10,0
152,3,8,0
153,4,6,0
154,4,6,0
155,5,4,0
156,4,12,0
157,5,10,0
158,5,10,0
159,6,8,0
160,2,8,0
161,3,10,0
162,3,8,0
163,4,10,0
164,3,10,0
165,4,12,0
166,4,10,0
167,5,12,0
168,3,8,0
169,4,8,0
170,4,10,0
171,5,10,0
172,4,10,0
173,5,10,0
174,5,12,0
175,6,12,0
176,3,10,0
177,4,10,0
178,4,8,0
179,5,8,0
180,4,12,0
181,5,12,0
182,5,10,0
183,6,10,0
184,4,10,0
185,5,8,0
186,5,10,0
187,6,8,0
188,5,12,0
189,6,10,0
190,6,12,0
191,7,10,0
192,2,8,0
193,3,10,0
194,3,8,0
195,4,10,0
196,3,10,0
197,4,12,0
198,4,10,0
199,5,12,0
200,3,10,0
201,4,10,0
202,4,8,0
203,5,8,0
204,4,12,0
205,5,12,0
206,5,10,0
207,6,10,0
208,3,8,0
209,4,8,0
210,4,10,0
211,5,10,0
212,4,10,0
213,5,10,0
214,5,12,0
215,6,12,0
216,4,10,0
217,5,8,0
218,5,10,0
219,6,8,0
220,5,12,0
221,6,10,0
222,6,12,0
223,7,10,0
224,3,12,0
225,4,14,0
226,4,10,0
227,5,12,0
228,4,12,0
229,5,14,0
230,5,10,0
231,6,12,0
232,4,12,0
233,5,12,0
234,5,12,0
235,6,12,0
236,5,12,0
237,6,12,0
238,6,12,0
239,7,12,0
240,4,12,0
241,5,12,0
242,5,12,0
243,6,12,0
244,5,12,0
245,6,12,0
246,6,12,0
247,7,12,0
248,5,12,0
249,6,10,0
250,6,14,0
251,7,12,0
252,6,12,0
253,7,10,0
254,7,14,0
255,8,12,0
256,1,4,0
257,2,6,0
258,2,6,0
259,3,8,0
260,2,8,0
261,3,10,0
262,3,10,0
263,4,12,0
264,2,6,0
265,3,6,0
266,3,6,0
267,4,6,0
268,3,10,0
269,4,10,0
270,4,10,0
271,5,10,0
272,2,6,0
273,3,6,0
274,3,6,0
275,4,6,0
276,3,10,0
277,4,10,0
278,4,10,0
279,5,10,0
280,3,8,0
281,4,6,0
282,4,6,0
283,5,4,0
284,4,12,0
285,5,10,0
286,5,10,0
287,6,8,0
288,2,8,0
289,3,10,0
290,3,8,0
291,4,10,0
292,3,10,0
