nodes_per_variable,kappa,v_only_coefficient,numerator,partition,ratio,consistent_plus_word_ratio,exact_lower,exact_upper,distance_to_exact_interval,consistent_word_difference
8,-1/64,0,3.771799617494141e-07,1.000305209621309,3.77064877920815e-07,3.77064877920815e-07,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,0.0,0.0
8,-1/64,1,7.189571500543939e-07,1.0003350214084916,7.18716364685591e-07,7.18716364685591e-07,10743901838483947813/14948736902159834164900977,10743901847483947813/14948736902159825164900977,0.0,0.0
8,-1/64,2,1.8150197122866621e-06,1.0004258912408759,1.8142470403633863e-06,1.8142470403633863e-06,67701129102048052841/37316378450010282529456782,67701129218143110761/37316378450010166434398862,0.0,0.0
8,0,0,-1.3552527156068805e-18,0.9999999999999999,-1.3552527156068807e-18,-1.3552527156068807e-18,0,0,1.3552527156068807e-18,0.0
8,0,1,-1.3552527156068805e-18,0.9999999999999999,-1.3552527156068807e-18,-1.3552527156068807e-18,0,0,1.3552527156068807e-18,0.0
8,0,2,-1.3552527156068805e-18,0.9999999999999999,-1.3552527156068807e-18,-1.3552527156068807e-18,0,0,1.3552527156068807e-18,0.0
8,1/64,0,3.7717996174963095e-07,1.0003052096213088,3.7706487792103184e-07,3.7706487792103184e-07,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,0.0,0.0
8,1/64,1,7.89624756854766e-07,1.0003364522401381,7.89359175191999e-07,7.89359175191999e-07,11799939504816721189/14948758284122252681089137,11799939513816721189/14948758284122243681089137,0.0,0.0
8,1/64,2,1.956366248288214e-06,1.0004287530788338,1.955527809719052e-06,1.955527809719052e-06,72973424507585781353/37316485197975563211584142,72973424623680839273/37316485197975447116526222,0.0,0.0
12,-1/64,0,3.771799617491064e-07,1.0003052096213092,3.770648779205073e-07,3.7706487792043314e-07,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,0.0,7.416832244395467e-20
12,-1/64,1,7.189571500543892e-07,1.0003350214084916,7.187163646855862e-07,7.187163646853408e-07,10743901838483947813/14948736902159834164900977,10743901847483947813/14948736902159825164900977,0.0,2.454277964669335e-19
12,-1/64,2,1.8150197122871729e-06,1.0004258912408757,1.8142470403638973e-06,1.8142470403636656e-06,67701129102048052841/37316378450010282529456782,67701129218143110761/37316378450010166434398862,0.0,2.3166351107405114e-19
12,0,0,-1.5114244152568922e-18,1.0,-1.5114244152568922e-18,-1.5328119971750633e-18,0,0,1.5114244152568922e-18,2.1387581918171084e-20
12,0,1,-1.5114244152568922e-18,1.0,-1.5114244152568922e-18,-1.5328119971750633e-18,0,0,1.5114244152568922e-18,2.1387581918171084e-20
12,0,2,-1.5114244152568922e-18,1.0,-1.5114244152568922e-18,-1.5328119971750633e-18,0,0,1.5114244152568922e-18,2.1387581918171084e-20
12,1/64,0,3.771799617490307e-07,1.000305209621309,3.770648779204317e-07,3.77064877920653e-07,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,0.0,2.2128735747018596e-19
12,1/64,1,7.896247568546291e-07,1.0003364522401381,7.893591751918622e-07,7.893591751917552e-07,11799939504816721189/14948758284122252681089137,11799939513816721189/14948758284122243681089137,0.0,1.070437887092622e-19
12,1/64,2,1.9563662482879565e-06,1.0004287530788338,1.9555278097187944e-06,1.9555278097187715e-06,72973424507585781353/37316485197975563211584142,72973424623680839273/37316485197975447116526222,0.0,2.286988957586611e-20
16,-1/64,0,3.771799617511558e-07,1.0003052096213092,3.7706487792255607e-07,3.7706487792270287e-07,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,0.0,1.4680139767101093e-19
16,-1/64,1,7.189571500565493e-07,1.0003350214084916,7.187163646877456e-07,7.187163646876829e-07,10743901838483947813/14948736902159834164900977,10743901847483947813/14948736902159825164900977,0.0,6.268043809681823e-20
16,-1/64,2,1.8150197122889783e-06,1.0004258912408759,1.8142470403657015e-06,1.8142470403657146e-06,67701129102048052841/37316378450010282529456782,67701129218143110761/37316378450010166434398862,0.0,1.3129010682441655e-20
16,0,0,7.210367963502232e-19,1.0,7.210367963502232e-19,6.734441326263722e-19,0,0,7.210367963502232e-19,4.7592663723851e-20
16,0,1,7.210367963502232e-19,1.0,7.210367963502232e-19,6.734441326263722e-19,0,0,7.210367963502232e-19,4.7592663723851e-20
16,0,2,7.210367963502232e-19,1.0,7.210367963502232e-19,6.734441326263722e-19,0,0,7.210367963502232e-19,4.7592663723851e-20
16,1/64,0,3.771799617512891e-07,1.000305209621309,3.770648779226894e-07,3.770648779225716e-07,2352230004998275513/6238263341346207476339742,2352230005501591993/6238263341346206973023262,0.0,1.1784345878675453e-19
16,1/64,1,7.896247568566847e-07,1.0003364522401381,7.893591751939171e-07,7.893591751940118e-07,11799939504816721189/14948758284122252681089137,11799939513816721189/14948758284122243681089137,0.0,9.465593185566806e-20
16,1/64,2,1.9563662482899974e-06,1.0004287530788338,1.9555278097208345e-06,1.955527809720801e-06,72973424507585781353/37316485197975563211584142,72973424623680839273/37316485197975447116526222,0.0,3.3457801416544863e-20
