name,alpha,alpha_min,left,right,mu,rho,reference_gap_lower,sharp_gap_lower,generic_gap_lower,status
primary,1,1,1/2,1/2,1/8,1/2,1/4,1/8,0,positive
negative_bridge,1,1,1/2,1/2,-1/8,1/2,1/4,1/8,0,positive
no_bridge,1,1,1/2,1/2,0,1/2,1/4,1/4,1/4,positive
zero_margin,1,1,1/2,1/2,1/4,1/2,1/4,0,-1/4,insufficient
beyond_margin,1,1,1/2,1/2,3/8,1/2,1/4,-1/8,-1/2,insufficient
signed_ends,1,1,-1/2,1/2,1/8,1/2,1/4,1/8,0,positive
left_end_zero,1,1,0,1/2,1/8,1/2,1/4,1/8,0,positive
zero_ends,1,1,0,0,1/8,0,3/4,5/8,1/2,positive
all_zero,1,1,0,0,0,0,3/4,3/4,3/4,positive
scaled_double,2,1,1,1,1/4,1/2,1/2,1/4,0,positive
scaled_half,1/2,1/4,1/4,1/4,1/16,1/2,1/8,1/16,0,positive
