fixture,degree,numerator,partition,rank
tetra_common,0,-1/405,1,4
tetra_common,1,0,0,4
tetra_common,2,-1/207360,1/512,4
tetra_common,3,0,0,4
tetra_common,4,-1/557383680,1/786432,4
tetra_common,5,0,0,4
tetra_common,6,-1/3424565329920,1/2415919104,4
commuting_common,0,13/1215,1,2
commuting_common,1,0,0,2
commuting_common,2,19/622080,1/512,2
commuting_common,3,0,0,2
commuting_common,4,29/955514880,1/786432,2
commuting_common,5,0,0,2
commuting_common,6,19/1467670855680,1/2415919104,2
tetra_hadamard,0,-1/405,1,4
tetra_hadamard,1,0,0,4
tetra_hadamard,2,-1/207360,1/512,4
tetra_hadamard,3,0,0,4
tetra_hadamard,4,-1/557383680,1/786432,4
tetra_hadamard,5,0,0,4
tetra_hadamard,6,-1/3424565329920,1/2415919104,4
commuting_hadamard,0,13/1215,1,2
commuting_hadamard,1,0,0,2
commuting_hadamard,2,19/622080,1/512,2
commuting_hadamard,3,0,0,2
commuting_hadamard,4,29/955514880,1/786432,2
commuting_hadamard,5,0,0,2
commuting_hadamard,6,19/1467670855680,1/2415919104,2
tetra_reflected,0,-1/405,1,4
tetra_reflected,1,0,0,4
tetra_reflected,2,-1/207360,1/512,4
tetra_reflected,3,0,0,4
tetra_reflected,4,-1/557383680,1/786432,4
tetra_reflected,5,0,0,4
tetra_reflected,6,-1/3424565329920,1/2415919104,4
commuting_reflected,0,13/1215,1,2
commuting_reflected,1,0,0,2
commuting_reflected,2,19/622080,1/512,2
commuting_reflected,3,0,0,2
commuting_reflected,4,29/955514880,1/786432,2
commuting_reflected,5,0,0,2
commuting_reflected,6,19/1467670855680,1/2415919104,2
rank1_equal,0,1/27,1,1
rank1_equal,1,0,0,1
rank1_equal,2,1/1152,1/128,1
rank1_equal,3,0,0,1
rank1_equal,4,5/1327104,1/49152,1
rank1_equal,5,0,0,1
rank1_equal,6,17/2548039680,1/37748736,1
rank2,0,1213/759375,1,2
rank2,1,0,0,2
rank2,2,71/48600000,1/320,2
rank2,3,0,0,2
rank2,4,1219/326592000000,1/307200,2
rank2,5,0,0,2
rank2,6,1019/313528320000000,1/589824000,2
tetra_zero_kappa,0,-1/405,1,4
tetra_zero_kappa,1,0,0,4
tetra_zero_kappa,2,0,0,4
tetra_zero_kappa,3,0,0,4
tetra_zero_kappa,4,0,0,4
tetra_zero_kappa,5,0,0,4
tetra_zero_kappa,6,0,0,4
tetra_signed_kappa,0,-1/405,1,4
tetra_signed_kappa,1,0,0,4
tetra_signed_kappa,2,-31/4423680,93/32768,4
tetra_signed_kappa,3,0,0,4
tetra_signed_kappa,4,-6893/1014686023680,2883/1073741824,4
tetra_signed_kappa,5,0,0,4
tetra_signed_kappa,6,-493963/149621542307758080,89373/70368744177664,4
commuting_zero_b_nonzero_kappa,0,13/1215,1,2
commuting_zero_b_nonzero_kappa,1,0,0,2
commuting_zero_b_nonzero_kappa,2,0,0,2
commuting_zero_b_nonzero_kappa,3,0,0,2
commuting_zero_b_nonzero_kappa,4,0,0,2
commuting_zero_b_nonzero_kappa,5,0,0,2
commuting_zero_b_nonzero_kappa,6,0,0,2
