kappa,degree,lower_decimal,upper_decimal,width,width_below_target_1e_minus_12
1/64,0,-0.140000000000000,0.140000000000000,7/25,False
1/64,2,-0.000244063899062,0.000245570711111,56/114371,False
1/64,4,0.000000646027883,0.000000938828399,416766688799255270/1423380998170949142264183,False
1/64,6,0.000000792404270,0.000000792487670,8157548888766373332788608/97813997448610821343664830918964187,False
1/64,8,0.000000792445966,0.000000792445981,9623036231535892008195656880128/694464112872661444471309878781956306312414027,True
-1/64,0,-0.140000000000000,0.140000000000000,7/25,False
-1/64,2,-0.000244063899062,0.000245570711111,56/114371,False
-1/64,4,0.000000569529988,0.000000862331039,416765862314357990/1423375570567355620113783,False
-1/64,6,0.000000715871475,0.000000715954874,24472598119794435285282944/293440873058120532121459011187202961,False
-1/64,8,0.000000715913164,0.000000715913179,471527839971361455210296826171392/34028611733543858943457536734794612860830335323,True
