n,x_phase_offset,even_y_z_rows,component_counts,remaining_case_counts
2,0,2,"{""left-end"": 2}","{""non-xy face"": 4}"
2,1,2,"{""bridge"": 2}","{""non-xy face"": 4}"
2,2,2,"{""right-end"": 2}","{""non-xy face"": 4}"
2,3,2,{},"{""non-xy face"": 4, ""x-separator xy face"": 2}"
3,0,3,"{""left-end+bridge"": 3}","{""non-xy face"": 24, ""odd-y xy face"": 6}"
3,1,3,"{""bridge+right-end"": 3}","{""non-xy face"": 24, ""odd-y xy face"": 6}"
3,2,3,"{""right-end"": 3}","{""non-xy face"": 24, ""odd-y xy face"": 6, ""x-separator xy face"": 3}"
3,3,3,"{""left-end"": 3}","{""non-xy face"": 24, ""odd-y xy face"": 6, ""x-separator xy face"": 3}"
4,0,8,"{""left-end+bridge+right-end"": 8}","{""non-xy face"": 72, ""odd-y xy face"": 12}"
4,1,8,"{""bridge+right-end"": 8}","{""non-xy face"": 72, ""odd-y xy face"": 12, ""x-separator xy face"": 8}"
4,2,8,"{""left-end"": 8, ""right-end"": 8}","{""non-xy face"": 72, ""odd-y xy face"": 12, ""x-separator xy face"": 8}"
4,3,8,"{""left-end+bridge"": 8}","{""non-xy face"": 72, ""odd-y xy face"": 12, ""x-separator xy face"": 8}"
5,0,10,"{""left-end+bridge+right-end"": 10}","{""non-xy face"": 160, ""odd-y xy face"": 40, ""x-separator xy face"": 10}"
5,1,10,"{""bridge+right-end"": 10, ""left-end"": 10}","{""non-xy face"": 160, ""odd-y xy face"": 40, ""x-separator xy face"": 10}"
5,2,10,"{""left-end+bridge"": 10, ""right-end"": 10}","{""non-xy face"": 160, ""odd-y xy face"": 40, ""x-separator xy face"": 10}"
5,3,10,"{""left-end+bridge+right-end"": 10}","{""non-xy face"": 160, ""odd-y xy face"": 40, ""x-separator xy face"": 10}"
6,0,18,"{""left-end"": 18, ""left-end+bridge+right-end"": 18}","{""non-xy face"": 300, ""odd-y xy face"": 60, ""x-separator xy face"": 18}"
6,1,18,"{""bridge+right-end"": 18, ""left-end+bridge"": 18}","{""non-xy face"": 300, ""odd-y xy face"": 60, ""x-separator xy face"": 18}"
6,2,18,"{""left-end+bridge+right-end"": 18, ""right-end"": 18}","{""non-xy face"": 300, ""odd-y xy face"": 60, ""x-separator xy face"": 18}"
6,3,18,"{""left-end+bridge+right-end"": 18}","{""non-xy face"": 300, ""odd-y xy face"": 60, ""x-separator xy face"": 36}"
7,0,21,"{""left-end+bridge"": 21, ""left-end+bridge+right-end"": 21}","{""non-xy face"": 504, ""odd-y xy face"": 126, ""x-separator xy face"": 21}"
7,1,21,"{""bridge+right-end"": 21, ""left-end+bridge+right-end"": 21}","{""non-xy face"": 504, ""odd-y xy face"": 126, ""x-separator xy face"": 21}"
7,2,21,"{""left-end+bridge+right-end"": 21, ""right-end"": 21}","{""non-xy face"": 504, ""odd-y xy face"": 126, ""x-separator xy face"": 42}"
7,3,21,"{""left-end"": 21, ""left-end+bridge+right-end"": 21}","{""non-xy face"": 504, ""odd-y xy face"": 126, ""x-separator xy face"": 42}"
8,0,32,"{""left-end+bridge+right-end"": 64}","{""non-xy face"": 784, ""odd-y xy face"": 168, ""x-separator xy face"": 32}"
8,1,32,"{""bridge+right-end"": 32, ""left-end+bridge+right-end"": 32}","{""non-xy face"": 784, ""odd-y xy face"": 168, ""x-separator xy face"": 64}"
8,2,32,"{""left-end"": 32, ""left-end+bridge+right-end"": 32, ""right-end"": 32}","{""non-xy face"": 784, ""odd-y xy face"": 168, ""x-separator xy face"": 64}"
