basis_index,length,energy_over_alpha,cycle_class,support
0,0,0,vacuum,[]
1,4,3,face-four-cycle,"[0, 1, 5, 9]"
2,4,3,face-four-cycle,"[0, 2, 3, 10]"
3,4,3,face-four-cycle,"[1, 2, 4, 6]"
4,4,3,face-four-cycle,"[3, 4, 7, 12]"
5,4,3,face-four-cycle,"[5, 6, 7, 14]"
6,4,3,face-four-cycle,"[8, 9, 13, 16]"
7,4,3,face-four-cycle,"[8, 10, 11, 17]"
8,4,3,face-four-cycle,"[9, 10, 12, 14]"
9,4,3,face-four-cycle,"[11, 12, 15, 18]"
10,4,3,face-four-cycle,"[13, 14, 15, 19]"
11,4,3,face-four-cycle,"[16, 17, 18, 19]"
12,6,9/2,nonplanar-six-cycle,"[0, 1, 3, 4, 6, 10]"
13,6,9/2,planar-six-cycle,"[0, 1, 5, 8, 13, 16]"
14,6,9/2,nonplanar-six-cycle,"[0, 1, 5, 10, 12, 14]"
15,6,9/2,nonplanar-six-cycle,"[0, 1, 6, 7, 9, 14]"
16,6,9/2,nonplanar-six-cycle,"[0, 1, 6, 7, 10, 12]"
17,6,9/2,planar-six-cycle,"[0, 2, 3, 8, 11, 17]"
18,6,9/2,nonplanar-six-cycle,"[0, 2, 3, 9, 12, 14]"
19,6,9/2,nonplanar-six-cycle,"[0, 2, 4, 5, 6, 9]"
20,6,9/2,nonplanar-six-cycle,"[0, 2, 4, 7, 9, 14]"
21,6,9/2,nonplanar-six-cycle,"[0, 2, 4, 7, 10, 12]"
22,6,9/2,nonplanar-six-cycle,"[1, 2, 3, 5, 9, 10]"
23,6,9/2,nonplanar-six-cycle,"[1, 2, 3, 5, 12, 14]"
24,6,9/2,nonplanar-six-cycle,"[1, 2, 3, 6, 7, 12]"
25,6,9/2,nonplanar-six-cycle,"[1, 2, 4, 5, 7, 14]"
26,6,9/2,nonplanar-six-cycle,"[3, 4, 5, 6, 9, 10]"
27,6,9/2,nonplanar-six-cycle,"[3, 4, 5, 6, 12, 14]"
28,6,9/2,nonplanar-six-cycle,"[3, 4, 7, 9, 10, 14]"
29,6,9/2,planar-six-cycle,"[3, 4, 7, 11, 15, 18]"
30,6,9/2,nonplanar-six-cycle,"[5, 6, 7, 9, 10, 12]"
31,6,9/2,planar-six-cycle,"[5, 6, 7, 13, 15, 19]"
32,6,9/2,nonplanar-six-cycle,"[8, 9, 11, 12, 14, 17]"
33,6,9/2,nonplanar-six-cycle,"[8, 9, 13, 17, 18, 19]"
34,6,9/2,nonplanar-six-cycle,"[8, 9, 14, 15, 16, 19]"
35,6,9/2,nonplanar-six-cycle,"[8, 9, 14, 15, 17, 18]"
36,6,9/2,nonplanar-six-cycle,"[8, 10, 11, 16, 18, 19]"
37,6,9/2,nonplanar-six-cycle,"[8, 10, 12, 13, 14, 16]"
38,6,9/2,nonplanar-six-cycle,"[8, 10, 12, 15, 16, 19]"
39,6,9/2,nonplanar-six-cycle,"[8, 10, 12, 15, 17, 18]"
40,6,9/2,nonplanar-six-cycle,"[9, 10, 11, 13, 16, 17]"
41,6,9/2,nonplanar-six-cycle,"[9, 10, 11, 13, 18, 19]"
42,6,9/2,nonplanar-six-cycle,"[9, 10, 11, 14, 15, 18]"
43,6,9/2,nonplanar-six-cycle,"[9, 10, 12, 13, 15, 19]"
44,6,9/2,nonplanar-six-cycle,"[11, 12, 13, 14, 16, 17]"
45,6,9/2,nonplanar-six-cycle,"[11, 12, 13, 14, 18, 19]"
46,6,9/2,nonplanar-six-cycle,"[11, 12, 15, 16, 17, 19]"
47,6,9/2,nonplanar-six-cycle,"[13, 14, 15, 16, 17, 18]"
