basis_index,energy_over_alpha,cycle_length,pvp_abs_row_sum,pvp_abs_col_sum,gram_abs_row_sum,gram_abs_col_sum
1,3,4,5/4,5/4,37/8,37/8
2,3,4,5/4,5/4,37/8,37/8
3,3,4,1,1,19/4,19/4
4,3,4,5/4,5/4,37/8,37/8
5,3,4,5/4,5/4,37/8,37/8
6,3,4,5/4,5/4,37/8,37/8
7,3,4,5/4,5/4,37/8,37/8
8,3,4,2,2,17/4,17/4
9,3,4,5/4,5/4,37/8,37/8
10,3,4,5/4,5/4,37/8,37/8
11,3,4,1,1,19/4,19/4
12,9/2,6,1,1,47/16,47/16
13,9/2,6,1/2,1/2,25/8,25/8
14,9/2,6,1,1,51/16,51/16
15,9/2,6,1,1,3,3
16,9/2,6,3/2,3/2,19/8,19/8
17,9/2,6,1/2,1/2,25/8,25/8
18,9/2,6,1,1,51/16,51/16
19,9/2,6,1,1,47/16,47/16
20,9/2,6,3/2,3/2,19/8,19/8
21,9/2,6,1,1,3,3
22,9/2,6,1,1,3,3
23,9/2,6,3/2,3/2,19/8,19/8
24,9/2,6,1,1,47/16,47/16
25,9/2,6,1,1,47/16,47/16
26,9/2,6,3/2,3/2,19/8,19/8
27,9/2,6,1,1,3,3
28,9/2,6,1,1,51/16,51/16
29,9/2,6,1/2,1/2,25/8,25/8
30,9/2,6,1,1,51/16,51/16
31,9/2,6,1/2,1/2,25/8,25/8
32,9/2,6,1,1,51/16,51/16
33,9/2,6,1,1,47/16,47/16
34,9/2,6,1,1,3,3
35,9/2,6,3/2,3/2,19/8,19/8
36,9/2,6,1,1,47/16,47/16
37,9/2,6,1,1,51/16,51/16
38,9/2,6,3/2,3/2,19/8,19/8
39,9/2,6,1,1,3,3
40,9/2,6,1,1,3,3
41,9/2,6,3/2,3/2,19/8,19/8
42,9/2,6,1,1,51/16,51/16
43,9/2,6,1,1,51/16,51/16
44,9/2,6,3/2,3/2,19/8,19/8
45,9/2,6,1,1,3,3
46,9/2,6,1,1,47/16,47/16
47,9/2,6,1,1,47/16,47/16
