kind,N,lower,upper,width,meets_target
primary,0,-7/25,7/25,14/25,False
primary,2,-9245/21232827,9277/21232827,14/16049,False
primary,4,25939/48789366741,5498207/5220459518553,1640006645545520/3144480419842303835133,False
primary,6,22591053434/28510677029489247,22595288798/28510677025253883,13417021198628903507876/90317633839899188682636443721789,False
primary,8,13325994408253817/16816281566993287151031,13325994823319489/16816281566992872085359,15827362222920875013479698816/641241101452134297757442177940463603076769,True
negative_kappa,0,-7/25,7/25,14/25,False
negative_kappa,2,-9245/21232827,9277/21232827,14/16049,False
negative_kappa,4,2376113/5220452288007,5098847/5220449565273,175480363079729680/336458121943883720266431,False
negative_kappa,6,61227038062/85531867964161821,61239744154/85531867951455729,40250983749661900140268/270951868013038349141597713834167,False
negative_kappa,8,12038974297206137/16816249495448420068791,12038974712271809/16816249495448005003119,775539210479212919753777674624/31420694121462473632001418957751926016617681,True
freeze_W,0,-3/13,3/13,6/13,False
freeze_W,2,-724/2654613,734/2654613,18/32773,False
freeze_W,4,1596509/870103881846,1806461/870103671894,62647594441560/259629829397608959889,False
freeze_W,6,195140503630/99790462005635889,195145542478/99790462000597041,6207777199747047197952/122939954404881863757000306874129,False
freeze_W,8,230200077131314333/117717618921058738708902,3541539659337053/1811040291093200201766,50071739884633300529267712/8123432054473122619048872734510331532553,True
