index,lower,upper
0,1/4,1/4
1,1821909965398071188984602967851/8000000000000000000000000000000,1821909965398071188984602967853/8000000000000000000000000000000
2,830648842828000135555031205103/4000000000000000000000000000000,1661297685656000271110062410211/8000000000000000000000000000000
3,1516318396971372541559847848487/8000000000000000000000000000000,303263679394274508311969569699/1600000000000000000000000000000
4,692665721392019145924484900983/4000000000000000000000000000000,1385331442784038291848969801977/8000000000000000000000000000000
5,316719264366408008279045482127/2000000000000000000000000000000,633438528732816016558090964261/4000000000000000000000000000000
6,289913957882996726420812222521/2000000000000000000000000000000,11596558315319869056832488901/80000000000000000000000000000
7,1062510546106400439933652862391/8000000000000000000000000000000,1062510546106400439933652862409/8000000000000000000000000000000
8,487205050442037872599661652573/4000000000000000000000000000000,194882020176815149039864661033/1600000000000000000000000000000
9,178887058417854547912739565459/1600000000000000000000000000000,447217646044636369781848913657/4000000000000000000000000000000
10,410883112689590171140753967331/4000000000000000000000000000000,821766225379180342281507934683/8000000000000000000000000000000
11,47229448360980464843726506953/500000000000000000000000000000,755671173775687437499624111271/8000000000000000000000000000000
12,347748356444722268035663510849/4000000000000000000000000000000,347748356444722268035663510861/4000000000000000000000000000000
13,8008237316065924023856619601/100000000000000000000000000000,128131797057054784381705913621/1600000000000000000000000000000
14,590635963128953529266014440993/8000000000000000000000000000000,295317981564476764633007220509/4000000000000000000000000000000
15,544960593521727456522372206669/8000000000000000000000000000000,108992118704345491304474441339/1600000000000000000000000000000
16,125803681102013753372380816281/2000000000000000000000000000000,10064294488161100269790465303/160000000000000000000000000000
17,2325118604218470669432678063/40000000000000000000000000000,465023720843694133886535612627/8000000000000000000000000000000
18,215025845960107033290142913351/4000000000000000000000000000000,43005169192021406658028582673/800000000000000000000000000000
19,397997257921722778735438295731/8000000000000000000000000000000,397997257921722778735438295759/8000000000000000000000000000000
20,368589795484088895494414101103/8000000000000000000000000000000,92147448871022223873603525283/2000000000000000000000000000000
21,341586105763435345639542866269/8000000000000000000000000000000,170793052881717672819771433149/4000000000000000000000000000000
22,79191864252863512628354381341/2000000000000000000000000000000,316767457011454050513417525393/8000000000000000000000000000000
23,293936958599235480119851293393/8000000000000000000000000000000,146968479299617740059925646711/4000000000000000000000000000000
24,272917228516293771912622886401/8000000000000000000000000000000,27291722851629377191262288643/800000000000000000000000000000
25,12677416038725261992542890483/400000000000000000000000000000,253548320774505239850857809689/8000000000000000000000000000000
26,7365183844872376873380907917/250000000000000000000000000000,235685883035916059948189053373/8000000000000000000000000000000
27,4383990364379406445833859517/160000000000000000000000000000,219199518218970322291692975879/8000000000000000000000000000000
28,25496415859095453427562943877/1000000000000000000000000000000,40794265374552725484100710209/1600000000000000000000000000000
29,11868413111894617691310345649/500000000000000000000000000000,47473652447578470765241382603/2000000000000000000000000000000
30,176872712700937571531715663297/8000000000000000000000000000000,44218178175234392882928915831/2000000000000000000000000000000
31,1287640601368382978908868019/62500000000000000000000000000,164817996975153021300335106459/8000000000000000000000000000000
32,153650922125346872187717516233/8000000000000000000000000000000,7682546106267343609385875813/400000000000000000000000000000
33,143299227520201450426444924267/8000000000000000000000000000000,71649613760100725213222462147/4000000000000000000000000000000
34,26739440435143774653832778691/1600000000000000000000000000000,66848601087859436634581946741/4000000000000000000000000000000
35,62392516381388867526965326347/4000000000000000000000000000000,1559812909534721688174133159/100000000000000000000000000000
36,23301644220021328655872164703/1600000000000000000000000000000,116508221100106643279360823541/8000000000000000000000000000000
37,108817063399648130417871529047/8000000000000000000000000000000,108817063399648130417871529073/8000000000000000000000000000000
38,25416546103446030219234019337/2000000000000000000000000000000,50833092206892060438468038687/4000000000000000000000000000000
39,95014120414280345459757378177/8000000000000000000000000000000,95014120414280345459757378203/8000000000000000000000000000000
40,44411472811492131133082361439/4000000000000000000000000000000,11102868202873032783270590363/1000000000000000000000000000000
41,83057937324788806718946101871/8000000000000000000000000000000,83057937324788806718946101897/8000000000000000000000000000000
42,77687275433432847014837382703/8000000000000000000000000000000,77687275433432847014837382729/8000000000000000000000000000000
43,72681772758543439881452491031/8000000000000000000000000000000,72681772758543439881452491057/8000000000000000000000000000000
44,68014632645171639695894728231/8000000000000000000000000000000,68014632645171639695894728257/8000000000000000000000000000000
45,63661231031323673516594303677/8000000000000000000000000000000,63661231031323673516594303703/8000000000000000000000000000000
46,59598920300287015374246806871/8000000000000000000000000000000,59598920300287015374246806897/8000000000000000000000000000000
47,27903426298940657696907392513/4000000000000000000000000000000,55806852597881315393814785053/8000000000000000000000000000000
48,52265820544530301402387583069/8000000000000000000000000000000,10453164108906060280477516619/1600000000000000000000000000000
49,9791622700428373755208166871/1600000000000000000000000000000,48958113502141868776040834381/8000000000000000000000000000000
50,9173477551927025313792238733/1600000000000000000000000000000,45867387759635126568961193691/8000000000000000000000000000000
51,1719141967264004895588528981/320000000000000000000000000000,42978549181600122389713224551/8000000000000000000000000000000
52,10069411756174895583570684647/2000000000000000000000000000000,20138823512349791167141369307/4000000000000000000000000000000
53,3775177776839122471872352053/800000000000000000000000000000,9437944442097806179680880139/2000000000000000000000000000000
54,8847249483114302274876319881/2000000000000000000000000000000,707779958649144181990105591/160000000000000000000000000000
55,33178244965523707712090638891/8000000000000000000000000000000,33178244965523707712090638917/8000000000000000000000000000000
56,7777316346968254236947357109/2000000000000000000000000000000,15554632693936508473894714231/4000000000000000000000000000000
57,29172549459837715408130899429/8000000000000000000000000000000,5834509891967543081626179891/1600000000000000000000000000000
58,6839817931299508787741652723/2000000000000000000000000000000,27359271725198035150966610917/8000000000000000000000000000000
59,641530921210215102706613857/200000000000000000000000000000,5132247369681720821652910861/1600000000000000000000000000000
60,24070830226156941819253185177/8000000000000000000000000000000,12035415113078470909626592601/4000000000000000000000000000000
61,22580972908585859265276707301/8000000000000000000000000000000,11290486454292929632638353663/4000000000000000000000000000000
62,5296270103568857438051574971/2000000000000000000000000000000,21185080414275429752206299909/8000000000000000000000000000000
63,19877025066467459077169400839/8000000000000000000000000000000,621157033327108096161543777/250000000000000000000000000000
64,4662775379159173033134852597/2000000000000000000000000000000,18651101516636692132539410413/8000000000000000000000000000000
65,17501995155908237722962473363/8000000000000000000000000000000,4375498788977059430740618347/2000000000000000000000000000000
66,8212376572733771319045236241/4000000000000000000000000000000,16424753145467542638090472507/8000000000000000000000000000000
67,7707378912215193395912932379/4000000000000000000000000000000,15414757824430386791825864783/8000000000000000000000000000000
68,578708091120395977906235171/320000000000000000000000000000,144677022780098994476558793/80000000000000000000000000000
69,2715913574113332321314742617/1600000000000000000000000000000,1357956787056666160657371311/800000000000000000000000000000
70,12746603567549749517987546573/8000000000000000000000000000000,6373301783774874758993773299/4000000000000000000000000000000
71,11965306887690718583982215183/8000000000000000000000000000000,1495663360961339822997776901/1000000000000000000000000000000
72,5616203171164493022820385483/4000000000000000000000000000000,11232406342328986045640770991/8000000000000000000000000000000
73,10544845232629571381468069311/8000000000000000000000000000000,1318105654078696422683508667/1000000000000000000000000000000
74,197995333757664460173981253/160000000000000000000000000000,395990667515328920347962507/320000000000000000000000000000
75,4647249919607304285941352117/4000000000000000000000000000000,9294499839214608571882704259/8000000000000000000000000000000
76,4363273516504167384271346633/4000000000000000000000000000000,8726547033008334768542693291/8000000000000000000000000000000
77,204839299933022406995413693/200000000000000000000000000000,1638714399464179255963309549/1600000000000000000000000000000
78,961673610323853805503981273/1000000000000000000000000000000,7693388882590830444031850209/8000000000000000000000000000000
79,902994013148550157345397873/1000000000000000000000000000000,7223952105188401258763183009/8000000000000000000000000000000
80,847918366105993993521454991/1000000000000000000000000000000,6783346928847951948171639953/8000000000000000000000000000000
81,6369780724878697644396744051/8000000000000000000000000000000,1592445181219674411099186019/2000000000000000000000000000000
82,239262994292900174752859787/320000000000000000000000000000,59815748573225043688214947/80000000000000000000000000000
83,561715714398171855094758789/800000000000000000000000000000,1123431428796343710189517583/1600000000000000000000000000000
84,1318763712132782858587735107/2000000000000000000000000000000,5275054848531131434350940453/8000000000000000000000000000000
85,990777632560876222904943697/1600000000000000000000000000000,495388816280438111452471851/800000000000000000000000000000
86,290772758865614703538535073/500000000000000000000000000000,4652364141849835256616561193/8000000000000000000000000000000
87,4369271057522820907437154191/8000000000000000000000000000000,546158882190352613429644277/1000000000000000000000000000000
88,256467071203394540798583637/500000000000000000000000000000,4103473139254312652777338217/8000000000000000000000000000000
89,3853905673241449843564299479/8000000000000000000000000000000,240869104577590615222768719/500000000000000000000000000000
90,36195704336697981765181199/80000000000000000000000000000,144782817346791927060724797/320000000000000000000000000000
91,3399531421725422253231448141/8000000000000000000000000000000,1699765710862711126615724083/4000000000000000000000000000000
92,3192910890108297778715359349/8000000000000000000000000000000,1596455445054148889357679687/4000000000000000000000000000000
93,2998885632536744003233803383/8000000000000000000000000000000,187430352033546500202112713/500000000000000000000000000000
94,22533468154821702766063327/64000000000000000000000000000,28166835193527128457579159/80000000000000000000000000000
95,330697532726926182580986913/1000000000000000000000000000000,2645580261815409460647895329/8000000000000000000000000000000
96,4853313259804075454695019/15625000000000000000000000000,2484896389019686632803849753/8000000000000000000000000000000
97,2333994422608347746889186991/8000000000000000000000000000000,291749302826043468361148377/1000000000000000000000000000000
98,2192276235575014132369073529/8000000000000000000000000000000,1096138117787507066184536777/4000000000000000000000000000000
99,1029590291243258286991717093/4000000000000000000000000000000,2059180582486516573983434211/8000000000000000000000000000000
100,120886299337486744575402301/500000000000000000000000000000,1934180789399787913206436841/8000000000000000000000000000000
101,1816782592615981648873380543/8000000000000000000000000000000,227097824076997706109172571/1000000000000000000000000000000
102,853261058105612195088031989/4000000000000000000000000000000,1706522116211224390176064003/8000000000000000000000000000000
103,160296397901550626718089753/800000000000000000000000000000,320592795803101253436179511/1600000000000000000000000000000
104,752849761192276750854344299/4000000000000000000000000000000,1505699522384553501708688623/8000000000000000000000000000000
105,11314761205834906122471217/64000000000000000000000000000,28286903014587265306178043/160000000000000000000000000000
106,166067597167393456287018219/1000000000000000000000000000000,1328540777339147650296145777/8000000000000000000000000000000
107,623974184280001830328744779/4000000000000000000000000000000,1247948368560003660657489583/8000000000000000000000000000000
108,1172250579877558485314722679/8000000000000000000000000000000,234450115975511697062944541/1600000000000000000000000000000
109,275287369475155596940126907/2000000000000000000000000000000,1101149477900622387760507653/8000000000000000000000000000000
110,1034365342657671824097729273/8000000000000000000000000000000,517182671328835912048864649/4000000000000000000000000000000
111,194327109000328341703953611/1600000000000000000000000000000,12145444312520521356497101/100000000000000000000000000000
112,114089186784202471985900007/1000000000000000000000000000000,912713494273619775887200081/8000000000000000000000000000000
113,428683825852479766204036671/4000000000000000000000000000000,428683825852479766204036683/4000000000000000000000000000000
114,805380605342197491614959641/8000000000000000000000000000000,161076121068439498322991933/1600000000000000000000000000000
115,75654820256191744428981347/800000000000000000000000000000,378274101280958722144906747/4000000000000000000000000000000
116,710678736505116951660492579/8000000000000000000000000000000,710678736505116951660492603/8000000000000000000000000000000
117,83449022875538657858707547/1000000000000000000000000000000,1668980457510773157174151/20000000000000000000000000000
118,78389935600375712656088251/1000000000000000000000000000000,39194967800187856328044127/500000000000000000000000000000
119,589101880077709390803836471/8000000000000000000000000000000,117820376015541878160767299/1600000000000000000000000000000
120,110678054493667081778074311/1600000000000000000000000000000,553390272468335408890371579/8000000000000000000000000000000
121,519844640005174783198688003/8000000000000000000000000000000,519844640005174783198688027/8000000000000000000000000000000
122,24416674024508259053786357/400000000000000000000000000000,122083370122541295268931791/2000000000000000000000000000000
123,45873329104825879977529819/800000000000000000000000000000,229366645524129399887649107/4000000000000000000000000000000
124,430928079711949134676473977/8000000000000000000000000000000,430928079711949134676474001/8000000000000000000000000000000
125,404808907039323579827185189/8000000000000000000000000000000,404808907039323579827185213/8000000000000000000000000000000
126,190136727947037290653472131/4000000000000000000000000000000,380273455894074581306944287/8000000000000000000000000000000
127,89306406908849071619337767/2000000000000000000000000000000,357225627635396286477351093/8000000000000000000000000000000
128,41946895384653887241987861/1000000000000000000000000000000,335575163077231097935902913/8000000000000000000000000000000
129,15761864334023878568966331/400000000000000000000000000000,63047457336095514275865329/1600000000000000000000000000000
130,4627068320922653160091727/125000000000000000000000000000,296132372539049802245870553/8000000000000000000000000000000
131,278185630811570568508932353/8000000000000000000000000000000,139092815405785284254466189/4000000000000000000000000000000
132,52265362667086176236995781/1600000000000000000000000000000,26132681333543088118497893/800000000000000000000000000000
133,61372484309842082367941203/2000000000000000000000000000000,245489937239368329471764837/8000000000000000000000000000000
134,28826628180623234078407573/1000000000000000000000000000000,230613025444985872627260609/8000000000000000000000000000000
135,216637863017103371914312379/8000000000000000000000000000000,43327572603420674382862481/1600000000000000000000000000000
136,203509768387832026035529927/8000000000000000000000000000000,203509768387832026035529953/8000000000000000000000000000000
137,95588689270044478160601641/4000000000000000000000000000000,47794344635022239080300827/2000000000000000000000000000000
138,4489811182330138234751959/200000000000000000000000000000,89796223646602764695039193/4000000000000000000000000000000
139,42177413971647117512441161/2000000000000000000000000000000,42177413971647117512441167/2000000000000000000000000000000
140,158486435107308690232214081/8000000000000000000000000000000,31697287021461738046442821/1600000000000000000000000000000
141,148882798254243203580117323/8000000000000000000000000000000,148882798254243203580117347/8000000000000000000000000000000
142,139861184275188882583086291/8000000000000000000000000000000,27972236855037776516617263/1600000000000000000000000000000
143,65693155227198472328497051/4000000000000000000000000000000,65693155227198472328497063/4000000000000000000000000000000
144,7714064629151516382879551/500000000000000000000000000000,3085625851660606553151821/200000000000000000000000000000
145,57973111224114885711133117/4000000000000000000000000000000,57973111224114885711133129/4000000000000000000000000000000
146,108920630975217789865782967/8000000000000000000000000000000,108920630975217789865782991/8000000000000000000000000000000
147,51160394229295329057274049/4000000000000000000000000000000,51160394229295329057274061/4000000000000000000000000000000
148,96120889511056664414716211/8000000000000000000000000000000,19224177902211332882943247/1600000000000000000000000000000
149,11287086681971546649444281/1000000000000000000000000000000,2821771670492886662361071/250000000000000000000000000000
