index,lower,upper
0,1/4,1/4
1,7287640730063971386604870145973/32000000000000000000000000000000,7287640730063971386604870145981/32000000000000000000000000000000
2,1661300850210629908841785825291/8000000000000000000000000000000,1661300850210629908841785825297/8000000000000000000000000000000
3,189541624466208414796483184947/1000000000000000000000000000000,3032665991459334636743730959169/16000000000000000000000000000000
4,5541494003849418836092728686111/32000000000000000000000000000000,5541494003849418836092728686159/32000000000000000000000000000000
5,79185667917290367635580081483/500000000000000000000000000000,5067882746706583528677125214969/32000000000000000000000000000000
6,4639331693242737394841231376761/32000000000000000000000000000000,4639331693242737394841231376827/32000000000000000000000000000000
7,850247922107538365151884164149/6400000000000000000000000000000,2125619805268845912879710410409/16000000000000000000000000000000
8,1949752448188841605699167499629/16000000000000000000000000000000,3899504896377683211398334999333/32000000000000000000000000000000
9,1790233992537453376030168932367/16000000000000000000000000000000,223779249067181672003771116551/2000000000000000000000000000000
10,1645430388079266786522257959619/16000000000000000000000000000000,102839399254954174157641122479/1000000000000000000000000000000
11,605552437394239789669171147203/6400000000000000000000000000000,189235136685699934271615983507/2000000000000000000000000000000
12,697139762446499760155793910537/8000000000000000000000000000000,2788559049785999040623175642247/32000000000000000000000000000000
13,642727919319476629758494054549/8000000000000000000000000000000,321363959659738314879247027287/4000000000000000000000000000000
14,2372723509323339071541907042207/32000000000000000000000000000000,593180877330834767885476760577/8000000000000000000000000000000
15,274014291390343128290375918549/4000000000000000000000000000000,1096057165561372513161503674247/16000000000000000000000000000000
16,2027396619227111192373011033999/32000000000000000000000000000000,2027396619227111192373011034101/32000000000000000000000000000000
17,375410925929304987035847658591/6400000000000000000000000000000,1877054629646524935179238293059/32000000000000000000000000000000
18,434931473017514169571628200403/8000000000000000000000000000000,1739725892070056678286512801717/32000000000000000000000000000000
19,1614184817399376528188881972743/32000000000000000000000000000000,1614184817399376528188881972849/32000000000000000000000000000000
20,749664081605984219528378529469/16000000000000000000000000000000,299865632642393687811351411809/6400000000000000000000000000000
21,34854053355332026886552617543/800000000000000000000000000000,348540533553320268865526175457/8000000000000000000000000000000
22,1297790922890030482284375527691/32000000000000000000000000000000,6488954614450152411421877639/160000000000000000000000000000
23,37793953750743283929664468313/1000000000000000000000000000000,604703260011892542874631493063/16000000000000000000000000000000
24,1128279645968209836073503871437/32000000000000000000000000000000,564139822984104918036751935773/16000000000000000000000000000000
25,1053751672068345950608891257501/32000000000000000000000000000000,105375167206834595060889125761/3200000000000000000000000000000
26,985227417679453557145223206871/32000000000000000000000000000000,985227417679453557145223206981/32000000000000000000000000000000
27,92216872224806348163816829347/3200000000000000000000000000000,922168722248063481638168293581/32000000000000000000000000000000
28,864088704126451177282933670493/32000000000000000000000000000000,172817740825290235456586734121/6400000000000000000000000000000
29,810546628443118207042415913447/32000000000000000000000000000000,20263665711077955176060397839/800000000000000000000000000000
30,95142914456576848800496505363/4000000000000000000000000000000,761143315652614790403972043017/32000000000000000000000000000000
31,178879257629130368045013334271/8000000000000000000000000000000,715517030516521472180053337197/32000000000000000000000000000000
32,67333979837771144656821431243/3200000000000000000000000000000,21041868699303482705256697267/1000000000000000000000000000000
33,317157050907658698258282722403/16000000000000000000000000000000,15857852545382934912914136123/800000000000000000000000000000
34,119633983244660971592545322849/6400000000000000000000000000000,299084958111652428981363307179/16000000000000000000000000000000
35,141165511910218343683756584081/8000000000000000000000000000000,282331023820436687367513168219/16000000000000000000000000000000
36,66695967545545208567992148057/4000000000000000000000000000000,533567740364361668543937184571/32000000000000000000000000000000
