index,s,value_lower,value_upper
0,0,1/4,1/4
1,1/32,1821909965398071188984602967851/8000000000000000000000000000000,1821909965398071188984602967853/8000000000000000000000000000000
2,1/16,830648842828000135555031205103/4000000000000000000000000000000,1661297685656000271110062410211/8000000000000000000000000000000
3,3/32,1516318396971372541559847848487/8000000000000000000000000000000,303263679394274508311969569699/1600000000000000000000000000000
4,1/8,692665721392019145924484900983/4000000000000000000000000000000,1385331442784038291848969801977/8000000000000000000000000000000
5,5/32,316719264366408008279045482127/2000000000000000000000000000000,633438528732816016558090964261/4000000000000000000000000000000
6,3/16,289913957882996726420812222521/2000000000000000000000000000000,11596558315319869056832488901/80000000000000000000000000000
7,7/32,1062510546106400439933652862391/8000000000000000000000000000000,1062510546106400439933652862409/8000000000000000000000000000000
8,1/4,487205050442037872599661652573/4000000000000000000000000000000,194882020176815149039864661033/1600000000000000000000000000000
9,9/32,178887058417854547912739565459/1600000000000000000000000000000,447217646044636369781848913657/4000000000000000000000000000000
10,5/16,410883112689590171140753967331/4000000000000000000000000000000,821766225379180342281507934683/8000000000000000000000000000000
11,11/32,47229448360980464843726506953/500000000000000000000000000000,755671173775687437499624111271/8000000000000000000000000000000
12,3/8,347748356444722268035663510849/4000000000000000000000000000000,347748356444722268035663510861/4000000000000000000000000000000
13,13/32,8008237316065924023856619601/100000000000000000000000000000,128131797057054784381705913621/1600000000000000000000000000000
14,7/16,590635963128953529266014440993/8000000000000000000000000000000,295317981564476764633007220509/4000000000000000000000000000000
15,15/32,544960593521727456522372206669/8000000000000000000000000000000,108992118704345491304474441339/1600000000000000000000000000000
16,1/2,125803681102013753372380816281/2000000000000000000000000000000,10064294488161100269790465303/160000000000000000000000000000
17,17/32,2325118604218470669432678063/40000000000000000000000000000,465023720843694133886535612627/8000000000000000000000000000000
18,9/16,215025845960107033290142913351/4000000000000000000000000000000,43005169192021406658028582673/800000000000000000000000000000
19,19/32,397997257921722778735438295731/8000000000000000000000000000000,397997257921722778735438295759/8000000000000000000000000000000
20,5/8,368589795484088895494414101103/8000000000000000000000000000000,92147448871022223873603525283/2000000000000000000000000000000
21,21/32,341586105763435345639542866269/8000000000000000000000000000000,170793052881717672819771433149/4000000000000000000000000000000
22,11/16,79191864252863512628354381341/2000000000000000000000000000000,316767457011454050513417525393/8000000000000000000000000000000
23,23/32,293936958599235480119851293393/8000000000000000000000000000000,146968479299617740059925646711/4000000000000000000000000000000
24,3/4,272917228516293771912622886401/8000000000000000000000000000000,27291722851629377191262288643/800000000000000000000000000000
25,25/32,12677416038725261992542890483/400000000000000000000000000000,253548320774505239850857809689/8000000000000000000000000000000
26,13/16,7365183844872376873380907917/250000000000000000000000000000,235685883035916059948189053373/8000000000000000000000000000000
27,27/32,4383990364379406445833859517/160000000000000000000000000000,219199518218970322291692975879/8000000000000000000000000000000
28,7/8,25496415859095453427562943877/1000000000000000000000000000000,40794265374552725484100710209/1600000000000000000000000000000
29,29/32,11868413111894617691310345649/500000000000000000000000000000,47473652447578470765241382603/2000000000000000000000000000000
30,15/16,176872712700937571531715663297/8000000000000000000000000000000,44218178175234392882928915831/2000000000000000000000000000000
31,31/32,1287640601368382978908868019/62500000000000000000000000000,164817996975153021300335106459/8000000000000000000000000000000
32,1,153650922125346872187717516233/8000000000000000000000000000000,7682546106267343609385875813/400000000000000000000000000000
33,33/32,143299227520201450426444924267/8000000000000000000000000000000,71649613760100725213222462147/4000000000000000000000000000000
34,17/16,26739440435143774653832778691/1600000000000000000000000000000,66848601087859436634581946741/4000000000000000000000000000000
35,35/32,62392516381388867526965326347/4000000000000000000000000000000,1559812909534721688174133159/100000000000000000000000000000
36,9/8,23301644220021328655872164703/1600000000000000000000000000000,116508221100106643279360823541/8000000000000000000000000000000
37,37/32,108817063399648130417871529047/8000000000000000000000000000000,108817063399648130417871529073/8000000000000000000000000000000
38,19/16,25416546103446030219234019337/2000000000000000000000000000000,50833092206892060438468038687/4000000000000000000000000000000
39,39/32,95014120414280345459757378177/8000000000000000000000000000000,95014120414280345459757378203/8000000000000000000000000000000
40,5/4,44411472811492131133082361439/4000000000000000000000000000000,11102868202873032783270590363/1000000000000000000000000000000
41,41/32,83057937324788806718946101871/8000000000000000000000000000000,83057937324788806718946101897/8000000000000000000000000000000
42,21/16,77687275433432847014837382703/8000000000000000000000000000000,77687275433432847014837382729/8000000000000000000000000000000
43,43/32,72681772758543439881452491031/8000000000000000000000000000000,72681772758543439881452491057/8000000000000000000000000000000
44,11/8,68014632645171639695894728231/8000000000000000000000000000000,68014632645171639695894728257/8000000000000000000000000000000
45,45/32,63661231031323673516594303677/8000000000000000000000000000000,63661231031323673516594303703/8000000000000000000000000000000
46,23/16,59598920300287015374246806871/8000000000000000000000000000000,59598920300287015374246806897/8000000000000000000000000000000
47,47/32,27903426298940657696907392513/4000000000000000000000000000000,55806852597881315393814785053/8000000000000000000000000000000
48,3/2,52265820544530301402387583069/8000000000000000000000000000000,10453164108906060280477516619/1600000000000000000000000000000
49,49/32,9791622700428373755208166871/1600000000000000000000000000000,48958113502141868776040834381/8000000000000000000000000000000
50,25/16,9173477551927025313792238733/1600000000000000000000000000000,45867387759635126568961193691/8000000000000000000000000000000
51,51/32,1719141967264004895588528981/320000000000000000000000000000,42978549181600122389713224551/8000000000000000000000000000000
52,13/8,10069411756174895583570684647/2000000000000000000000000000000,20138823512349791167141369307/4000000000000000000000000000000
53,53/32,3775177776839122471872352053/800000000000000000000000000000,9437944442097806179680880139/2000000000000000000000000000000
54,27/16,8847249483114302274876319881/2000000000000000000000000000000,707779958649144181990105591/160000000000000000000000000000
55,55/32,33178244965523707712090638891/8000000000000000000000000000000,33178244965523707712090638917/8000000000000000000000000000000
56,7/4,7777316346968254236947357109/2000000000000000000000000000000,15554632693936508473894714231/4000000000000000000000000000000
57,57/32,29172549459837715408130899429/8000000000000000000000000000000,5834509891967543081626179891/1600000000000000000000000000000
58,29/16,6839817931299508787741652723/2000000000000000000000000000000,27359271725198035150966610917/8000000000000000000000000000000
59,59/32,641530921210215102706613857/200000000000000000000000000000,5132247369681720821652910861/1600000000000000000000000000000
60,15/8,24070830226156941819253185177/8000000000000000000000000000000,12035415113078470909626592601/4000000000000000000000000000000
61,61/32,22580972908585859265276707301/8000000000000000000000000000000,11290486454292929632638353663/4000000000000000000000000000000
62,31/16,5296270103568857438051574971/2000000000000000000000000000000,21185080414275429752206299909/8000000000000000000000000000000
63,63/32,19877025066467459077169400839/8000000000000000000000000000000,621157033327108096161543777/250000000000000000000000000000
64,2,4662775379159173033134852597/2000000000000000000000000000000,18651101516636692132539410413/8000000000000000000000000000000
