index,s,value_lower,value_upper
0,0,1/4,1/4
1,1/32,7287640730063971386604870145973/32000000000000000000000000000000,7287640730063971386604870145981/32000000000000000000000000000000
2,1/16,1661300850210629908841785825291/8000000000000000000000000000000,1661300850210629908841785825297/8000000000000000000000000000000
3,3/32,189541624466208414796483184947/1000000000000000000000000000000,3032665991459334636743730959169/16000000000000000000000000000000
4,1/8,5541494003849418836092728686111/32000000000000000000000000000000,5541494003849418836092728686159/32000000000000000000000000000000
5,5/32,79185667917290367635580081483/500000000000000000000000000000,5067882746706583528677125214969/32000000000000000000000000000000
6,3/16,4639331693242737394841231376761/32000000000000000000000000000000,4639331693242737394841231376827/32000000000000000000000000000000
7,7/32,850247922107538365151884164149/6400000000000000000000000000000,2125619805268845912879710410409/16000000000000000000000000000000
8,1/4,1949752448188841605699167499629/16000000000000000000000000000000,3899504896377683211398334999333/32000000000000000000000000000000
9,9/32,1790233992537453376030168932367/16000000000000000000000000000000,223779249067181672003771116551/2000000000000000000000000000000
10,5/16,1645430388079266786522257959619/16000000000000000000000000000000,102839399254954174157641122479/1000000000000000000000000000000
11,11/32,605552437394239789669171147203/6400000000000000000000000000000,189235136685699934271615983507/2000000000000000000000000000000
12,3/8,697139762446499760155793910537/8000000000000000000000000000000,2788559049785999040623175642247/32000000000000000000000000000000
13,13/32,642727919319476629758494054549/8000000000000000000000000000000,321363959659738314879247027287/4000000000000000000000000000000
14,7/16,2372723509323339071541907042207/32000000000000000000000000000000,593180877330834767885476760577/8000000000000000000000000000000
15,15/32,274014291390343128290375918549/4000000000000000000000000000000,1096057165561372513161503674247/16000000000000000000000000000000
16,1/2,2027396619227111192373011033999/32000000000000000000000000000000,2027396619227111192373011034101/32000000000000000000000000000000
17,17/32,375410925929304987035847658591/6400000000000000000000000000000,1877054629646524935179238293059/32000000000000000000000000000000
18,9/16,434931473017514169571628200403/8000000000000000000000000000000,1739725892070056678286512801717/32000000000000000000000000000000
19,19/32,1614184817399376528188881972743/32000000000000000000000000000000,1614184817399376528188881972849/32000000000000000000000000000000
20,5/8,749664081605984219528378529469/16000000000000000000000000000000,299865632642393687811351411809/6400000000000000000000000000000
21,21/32,34854053355332026886552617543/800000000000000000000000000000,348540533553320268865526175457/8000000000000000000000000000000
22,11/16,1297790922890030482284375527691/32000000000000000000000000000000,6488954614450152411421877639/160000000000000000000000000000
23,23/32,37793953750743283929664468313/1000000000000000000000000000000,604703260011892542874631493063/16000000000000000000000000000000
24,3/4,1128279645968209836073503871437/32000000000000000000000000000000,564139822984104918036751935773/16000000000000000000000000000000
25,25/32,1053751672068345950608891257501/32000000000000000000000000000000,105375167206834595060889125761/3200000000000000000000000000000
26,13/16,985227417679453557145223206871/32000000000000000000000000000000,985227417679453557145223206981/32000000000000000000000000000000
27,27/32,92216872224806348163816829347/3200000000000000000000000000000,922168722248063481638168293581/32000000000000000000000000000000
28,7/8,864088704126451177282933670493/32000000000000000000000000000000,172817740825290235456586734121/6400000000000000000000000000000
29,29/32,810546628443118207042415913447/32000000000000000000000000000000,20263665711077955176060397839/800000000000000000000000000000
30,15/16,95142914456576848800496505363/4000000000000000000000000000000,761143315652614790403972043017/32000000000000000000000000000000
31,31/32,178879257629130368045013334271/8000000000000000000000000000000,715517030516521472180053337197/32000000000000000000000000000000
32,1,67333979837771144656821431243/3200000000000000000000000000000,21041868699303482705256697267/1000000000000000000000000000000
33,33/32,317157050907658698258282722403/16000000000000000000000000000000,15857852545382934912914136123/800000000000000000000000000000
34,17/16,119633983244660971592545322849/6400000000000000000000000000000,299084958111652428981363307179/16000000000000000000000000000000
35,35/32,141165511910218343683756584081/8000000000000000000000000000000,282331023820436687367513168219/16000000000000000000000000000000
36,9/8,66695967545545208567992148057/4000000000000000000000000000000,533567740364361668543937184571/32000000000000000000000000000000
37,37/32,100936905112537622680323674761/6400000000000000000000000000000,3154278284766800708760114837/200000000000000000000000000000
38,19/16,59728535670803728296936943981/4000000000000000000000000000000,477828285366429826375495551963/32000000000000000000000000000000
39,39/32,452831509760663298473769693887/32000000000000000000000000000000,226415754880331649236884847001/16000000000000000000000000000000
40,5/4,429541726132472458984006049169/32000000000000000000000000000000,107385431533118114746001512321/8000000000000000000000000000000
