index,s,datum,reference_lower,reference_upper,arithmetic_radius,analytic_error,certified_actual_error,trapezoid_weight,tau
0,0,1/4,1/4,1/4,0,4041458417660713684897383333360933172240390112500961/10000000000000000000000000000000000000000000000000000000000,4041458417660713684897383333360933172240390112500961/10000000000000000000000000000000000000000000000000000000000,1/64,1/100000000000000
1,1/32,1821020722760068255687009772553/8000000000000000000000000000000,227627590345008531960876221569/1000000000000000000000000000000,910510361380034127843504886277/4000000000000000000000000000000,1/8000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153111087464333065161657249471357236710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
2,1/16,1658058236360800686029291018687/8000000000000000000000000000000,414514559090200171507322754671/2000000000000000000000000000000,165805823636080068602929101869/800000000000000000000000000000,3/8000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153192899773020299360575547476129736710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
3,3/32,377419800994503668663673547959/2000000000000000000000000000000,188709900497251834331836773979/1000000000000000000000000000000,9435495024862591716591838699/50000000000000000000000000000,1/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153233805927363916460034696478515986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
4,1/8,687289278790972198545202339147/4000000000000000000000000000000,85911159848871524818150292393/500000000000000000000000000000,13745785575819443970904046783/80000000000000000000000000000,3/4000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153315618236051150658952994483288486710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
5,5/32,1251568019209182243359748913071/8000000000000000000000000000000,156446002401147780419968614133/1000000000000000000000000000000,625784009604591121679874456539/4000000000000000000000000000000,7/8000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153356524390394767758412143485674736710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
6,3/16,56978282473092300976662968983/400000000000000000000000000000,284891412365461504883314844913/2000000000000000000000000000000,284891412365461504883314844917/2000000000000000000000000000000,1/1000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153397430544738384857871292488060986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
7,7/32,1037586331307778712685290914677/8000000000000000000000000000000,259396582826944678171322728667/2000000000000000000000000000000,518793165653889356342645457343/4000000000000000000000000000000,9/8000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153438336699082001957330441490447236710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
8,1/4,944733105482029414276093101889/8000000000000000000000000000000,23618327637050735356902327547/200000000000000000000000000000,472366552741014707138046550949/4000000000000000000000000000000,9/8000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153438336699082001957330441490447236710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
9,9/32,430094640640062251395946518607/4000000000000000000000000000000,215047320320031125697973259301/2000000000000000000000000000000,107523660160015562848986629653/1000000000000000000000000000000,1/800000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153479242853425619056789590492833486710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
10,5/16,783211253353597986453615456939/8000000000000000000000000000000,24475351667299937076675483029/250000000000000000000000000000,15664225067071959729072309139/160000000000000000000000000000,11/8000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153520149007769236156248739495219736710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
11,11/32,356560980663946984440103735867/4000000000000000000000000000000,356560980663946984440103735861/4000000000000000000000000000000,356560980663946984440103735873/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
12,3/8,324652467358349729797068137473/4000000000000000000000000000000,324652467358349729797068137467/4000000000000000000000000000000,324652467358349729797068137479/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
13,13/32,2364795483018965969012426759/32000000000000000000000000000,295599435377370746126553344869/4000000000000000000000000000000,295599435377370746126553344881/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
14,7/16,269146348729183882901199012909/4000000000000000000000000000000,269146348729183882901199012903/4000000000000000000000000000000,53829269745836776580239802583/800000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
15,15/32,122530269622762953178655828607/2000000000000000000000000000000,30632567405690738294663957151/500000000000000000000000000000,12253026962276295317865582861/200000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
16,1/2,44626032029685965786656094153/800000000000000000000000000000,223130160148429828933280470759/4000000000000000000000000000000,223130160148429828933280470771/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
17,17/32,203162322751531732932799547171/4000000000000000000000000000000,40632464550306346586559909433/800000000000000000000000000000,203162322751531732932799547177/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
18,9/16,184981399907304287593137916421/4000000000000000000000000000000,36996279981460857518627583283/800000000000000000000000000000,184981399907304287593137916427/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
19,19/32,84213740639092119207159402977/2000000000000000000000000000000,42106870319546059603579701487/1000000000000000000000000000000,4210687031954605960357970149/100000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
20,5/8,153354966844928463295564478211/4000000000000000000000000000000,30670993368985692659112895641/800000000000000000000000000000,153354966844928463295564478217/4000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
21,21/32,139631286281398967209801659549/4000000000000000000000000000000,139631286281398967209801659543/4000000000000000000000000000000,27926257256279793441960331911/800000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
22,11/16,15891966616504446915105234609/500000000000000000000000000000,63567866466017787660420938433/2000000000000000000000000000000,63567866466017787660420938439/2000000000000000000000000000000,3/2000000000000000000000000000000,277897811233733718277153070181309989448062198100468970986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,277897811233733718277153561055162112853255707888497605986710012444378918515534549/327249234748936795673192019090000000000000000000000000000000000000000000000000000000000,1/32,1/100000000000000
