index,s,reference_lower,reference_upper,datum,reference_arithmetic_error,analytic_comparison_error,actual_correlation_error,actual_lower,actual_upper
0,0,1/4,1/4,1/4,0,75777284081138381591825777441/93750000000000000000000000000000000,75777284081138381591825777441/93750000000000000000000000000000000,23437424222715918861618408174222559/93750000000000000000000000000000000,23437575777284081138381591825777441/93750000000000000000000000000000000
1,1/32,36420414455201365113740195451050083/160000000000000000000000000000000000,227627590345008531960876221569063019/1000000000000000000000000000000000000,1821020722760068255687009772552504151/8000000000000000000000000000000000000,1/8000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,23314178921793418731913303473779/24000000000000000000000000000000000000,2731519427050641486821148702177019337/12000000000000000000000000000000000000,682885685307390820059970153870123279/3000000000000000000000000000000000000
2,1/16,41451455909020017150732275467154093/200000000000000000000000000000000000,829029118180400343014645509343081863/4000000000000000000000000000000000000,1658058236360800686029291018686163723/8000000000000000000000000000000000000,3/8000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,4662835784358683746382660694757/4800000000000000000000000000000000000,621768924362935033083642642844377173/3000000000000000000000000000000000000,2487099011630661925753302484680982477/12000000000000000000000000000000000000
3,3/32,23588737562156479291479596747422807/125000000000000000000000000000000000,754839601989007337327347095917529829/4000000000000000000000000000000000000,1509679203978014674654694191835059653/8000000000000000000000000000000000000,1/1600000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,23314178921793418731913303473791/24000000000000000000000000000000000000,283063393609695139409084416387606573/1500000000000000000000000000000000000,18116243704451863269531257955234611/96000000000000000000000000000000000
4,1/8,343644639395486099272601169573256793/2000000000000000000000000000000000000,687289278790972198545202339146513593/4000000000000000000000000000000000000,1374578557581944397090404678293027179/8000000000000000000000000000000000000,7/8000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,23314178921793418731913303473797/24000000000000000000000000000000000000,206185617928345569892624106078780387/1200000000000000000000000000000000000,2061879493462377492344972974091277667/12000000000000000000000000000000000000
5,5/32,625784009604591121679874456535199469/4000000000000000000000000000000000000,625784009604591121679874456535199477/4000000000000000000000000000000000000,625784009604591121679874456535199473/4000000000000000000000000000000000000,1/1000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,116570894608967093659566517369/120000000000000000000000000000000000,1877340371724312468330257412953861519/12000000000000000000000000000000000000,1877363685903234261748989326257335319/12000000000000000000000000000000000000
6,3/16,56978282473092300976662968982912281/400000000000000000000000000000000000,569782824730923009766629689829122819/4000000000000000000000000000000000000,1139565649461846019533259379658245629/8000000000000000000000000000000000000,9/8000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,23314178921793418731913303473803/24000000000000000000000000000000000000,854668408551654066295261556417815771/6000000000000000000000000000000000000,341872026256445985201851005227821069/2400000000000000000000000000000000000
7,7/32,518793165653889356342645457337325107/4000000000000000000000000000000000000,518793165653889356342645457337325117/4000000000000000000000000000000000000,64849145706736169542830682167165639/500000000000000000000000000000000000,1/800000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,11657089460896709365956651736903/12000000000000000000000000000000000000,1556367839872207172318570415360238433/12000000000000000000000000000000000000,1556391154051128965737302328663712239/12000000000000000000000000000000000000
8,1/4,236183276370507353569023275471633953/2000000000000000000000000000000000000,472366552741014707138046550943267917/4000000000000000000000000000000000000,944733105482029414276093101886535823/8000000000000000000000000000000000000,11/8000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,23314178921793418731913303473809/24000000000000000000000000000000000000,141708800113358322470477369617806683/1200000000000000000000000000000000000,1417111315312505018123505609481540639/12000000000000000000000000000000000000
9,9/32,430094640640062251395946518606042779/4000000000000000000000000000000000000,43009464064006225139594651860604279/400000000000000000000000000000000000,860189281280124502791893037212085569/8000000000000000000000000000000000000,11/8000000000000000000000000000000000000,1457136182612088670744581467111/1500000000000000000000000000000000000,23314178921793418731913303473809/24000000000000000000000000000000000000,1290272264830725857478473599166391449/12000000000000000000000000000000000000,645147789504823825448602756234932629/6000000000000000000000000000000000000
