mass,L,N,a,mode,massless_zero_mode_excluded,omega,continuum_k1_omega,infinite_volume_limit
0.0,4.0,32,0.125,1,True,1.5682742452729697,1.5707963267948966,0.0
0.0,8.0,64,0.125,1,True,0.7850827892386882,0.7853981633974483,0.0
0.0,16.0,128,0.125,1,True,0.3926596563665966,0.39269908169872414,0.0
0.0,32.0,256,0.125,1,True,0.1963446125715188,0.19634954084936207,0.0
0.0,64.0,512,0.125,1,True,0.0981741543864716,0.09817477042468103,0.0
0.0,128.0,1024,0.125,1,True,0.04908730820745562,0.04908738521234052,0.0
0.0,256.0,2048,0.125,1,True,0.024543682980556248,0.02454369260617026,0.0
0.0,512.0,4096,0.125,1,True,0.012271845099883272,0.01227184630308513,0.0
0.0,1024.0,8192,0.125,1,True,0.006135923001142329,0.006135923151542565,0.0
0.7,4.0,32,0.125,1,True,1.7174062153103158,1.7197095976566332,0.7
0.7,8.0,64,0.125,1,True,1.051834105721429,1.0520695200736903,0.7
0.7,16.0,128,0.125,1,True,0.8026092484752052,0.8026285372244256,0.7
0.7,32.0,256,0.125,1,True,0.7270152728009638,0.7270166037937202,0.7
0.7,64.0,512,0.125,1,True,0.7068508786084224,0.7068509641699152,0.7
0.7,128.0,1024,0.125,1,True,0.7017190063173818,0.7017190117041041,0.7
0.7,256.0,2048,0.125,1,True,0.7004301481048985,0.7004301484421884,0.7
0.7,512.0,4096,0.125,1,True,0.7001075618661432,0.7001075618872334,0.7
0.7,1024.0,8192,0.125,1,True,0.7000268920199251,0.7000268920212434,0.7
