warmup_sweep,plaquette_mean,acceptance
1,0.8714721111119568,0.671875
17,0.1371518135822178,0.875
33,0.17668883974161256,0.921875
49,0.09442311936528565,0.859375
65,0.1442722179451029,0.90625
81,0.14626633520649238,0.859375
97,0.009673788914501538,0.96875
113,0.1397539822844548,0.953125
129,0.23784877011610658,0.8125
145,0.15448456771988173,0.9375
161,0.12746889274604079,0.796875
177,0.07833268967098211,0.953125
193,0.08264334969378626,0.828125
209,0.20355659608841117,0.84375
225,0.09752633030554013,0.90625
241,0.12474850233477681,0.875
257,0.12773384619279268,0.859375
273,0.12299817547342362,0.890625
289,0.1712308133862527,0.953125
305,0.07175642604671417,0.890625
321,0.12607960608737492,0.921875
337,0.21019174736607157,0.875
353,0.14888835527813568,0.875
369,0.17551312640086522,0.921875
385,0.16051942177250203,0.859375
401,0.07298106908565552,0.890625
417,0.18338831418559956,0.859375
433,0.06060052348248842,0.953125
449,0.05665237756974384,0.84375
465,0.10830015221506091,0.859375
481,0.06799907873779994,0.90625
497,0.10881429961166138,0.96875
512,0.09904961112464324,0.84375
