warmup_sweep,plaquette_mean,acceptance
1,0.13498451709417394,0.9375
17,0.07739797840683012,0.921875
33,0.11457300605387179,0.875
49,0.15231300754504334,0.859375
65,0.1118021441845668,0.9375
81,0.10627727009288133,0.921875
97,0.12368062343894408,0.859375
113,0.07023004376486185,0.9375
129,0.21124536903802693,0.78125
145,0.17327762432123006,0.8125
161,0.1181435740592786,0.875
177,0.08653813292361723,0.953125
193,0.06108938466289087,0.890625
209,0.0592171875065479,0.78125
225,0.16112323502481343,0.796875
241,0.12299696733270259,0.890625
257,0.10549566794972925,0.859375
273,0.10327229787248297,0.90625
289,0.06492276917117266,0.9375
305,0.11380617695775135,0.84375
321,0.04004304064268785,0.875
337,0.08702422519578368,0.84375
353,0.09625057589823549,0.796875
369,0.09518977493035473,0.953125
385,0.08702417792907736,0.859375
401,0.10265259581000936,0.828125
417,0.004365049705032653,0.890625
433,-0.0055975290681572155,0.875
449,0.13767100197229917,0.921875
465,0.17833422795069617,0.84375
481,0.16497396541405268,0.890625
497,0.04158040702818999,0.921875
512,0.11105049397458992,0.8125
