warmup_sweep,plaquette_mean,acceptance
1,0.33712328177549883,1.0
17,-0.04116493608673076,1.0
33,0.02074101056389554,1.0
49,-0.04457928072686834,1.0
65,0.05168586037171696,1.0
81,-0.06487298521252495,1.0
97,-0.0009642399189049231,1.0
113,0.07892912161382785,1.0
129,0.14309492694392487,1.0
145,0.08725239896526586,1.0
161,-0.006854564381466523,1.0
177,-0.03224404232999323,1.0
193,-0.052564027769948375,1.0
209,-0.011710119014021239,1.0
225,0.00759949290066841,1.0
241,0.012752377421524972,1.0
257,0.10106576722899879,1.0
273,-0.027775492667446264,1.0
289,-0.12180169234386772,1.0
305,0.012224847290425766,1.0
321,-0.039891310293475084,1.0
337,-0.009129460276112234,1.0
353,-0.010088545562118733,1.0
369,0.007618638361942732,1.0
385,-0.026626865609600658,1.0
401,-0.03632145659449589,1.0
417,-0.010258176383847628,1.0
433,0.1056850175469865,1.0
449,0.018568942005292983,1.0
465,-0.047906093687626244,1.0
481,0.025033169326250108,1.0
497,0.045573247934838745,1.0
512,0.005439315633589403,1.0
