warmup_sweep,plaquette_mean,acceptance
1,0.046044452136149196,1.0
17,-0.005130864198973718,1.0
33,-0.06438077444068523,1.0
49,0.04453975285325834,1.0
65,-0.07691463591823877,1.0
81,0.11209967783612829,1.0
97,-0.06692524744880152,1.0
113,0.017034488779372366,1.0
129,0.025872992545642112,1.0
145,-0.003527981228334262,1.0
161,0.04896164618518813,1.0
177,-0.0637502064951924,1.0
193,0.09496787124949295,1.0
209,0.010481667172083792,1.0
225,-0.0092160437031706,1.0
241,-0.02553051253015633,1.0
257,-0.05119517475276792,1.0
273,-0.049827298083682,1.0
289,-0.0001063452987857677,1.0
305,-0.04561002225871671,1.0
321,0.007670308739202843,1.0
337,0.07411127936164696,1.0
353,0.025368542858797135,1.0
369,0.037217297366875284,1.0
385,-0.017809077537701806,1.0
401,0.02917301149475776,1.0
417,0.00032582635593772735,1.0
433,-0.01017879537249964,1.0
449,0.027356712970826067,1.0
465,-0.0011661940194748453,1.0
481,0.09596107471660824,1.0
497,-0.003959569166875686,1.0
512,-0.003968653008330787,1.0
